accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,coverage,fpr95,known_id_accuracy,method,open_fraction,seed,semantic_goodput,severity,threshold
218,218,1.0,0.0,0,0.6,0.9972432454427084,0.340625,0.0026041666666666665,1.0,opensemcom,0.25,0,0.340625,mild,1.502465871453751e-05
224,223,0.9955357142857143,0.004464285714285714,1,0.6,0.9972432454427084,0.35,0.0026041666666666665,1.0,opensemcom,0.25,0,0.3484375,mild,1.6209227942454164e-05
231,230,0.9956709956709957,0.004329004329004329,1,0.6,0.9972432454427084,0.3609375,0.0026041666666666665,1.0,opensemcom,0.25,0,0.359375,mild,1.7442940588807687e-05
237,236,0.9957805907172996,0.004219409282700422,1,0.6,0.9972432454427084,0.3703125,0.0026041666666666665,1.0,opensemcom,0.25,0,0.36875,mild,1.8755516284727497e-05
243,242,0.9958847736625515,0.00411522633744856,1,0.6,0.9972432454427084,0.3796875,0.0026041666666666665,1.0,opensemcom,0.25,0,0.378125,mild,1.9496014465403275e-05
250,249,0.996,0.004,1,0.6,0.9972432454427084,0.390625,0.0026041666666666665,1.0,opensemcom,0.25,0,0.3890625,mild,2.1495033342944237e-05
257,256,0.9961089494163424,0.0038910505836575876,1,0.6,0.9972432454427084,0.4015625,0.0026041666666666665,1.0,opensemcom,0.25,0,0.4,mild,2.4216045858338475e-05
262,261,0.9961832061068703,0.003816793893129771,1,0.6,0.9972432454427084,0.409375,0.0026041666666666665,1.0,opensemcom,0.25,0,0.4078125,mild,2.6740159319160744e-05
269,268,0.9962825278810409,0.0037174721189591076,1,0.6,0.9972432454427084,0.4203125,0.0026041666666666665,1.0,opensemcom,0.25,0,0.41875,mild,2.9148363937565586e-05
275,274,0.9963636363636363,0.0036363636363636364,1,0.6,0.9972432454427084,0.4296875,0.0026041666666666665,1.0,opensemcom,0.25,0,0.428125,mild,3.2759679343143936e-05
282,281,0.9964539007092199,0.0035460992907801418,1,0.6,0.9972432454427084,0.440625,0.0026041666666666665,1.0,opensemcom,0.25,0,0.4390625,mild,3.5802906932076457e-05
288,287,0.9965277777777778,0.003472222222222222,1,0.6,0.9972432454427084,0.45,0.0026041666666666665,1.0,opensemcom,0.25,0,0.4484375,mild,3.9379193913191565e-05
294,293,0.9965986394557823,0.003401360544217687,1,0.6,0.9972432454427084,0.459375,0.0026041666666666665,1.0,opensemcom,0.25,0,0.4578125,mild,4.617520360625349e-05
301,300,0.9966777408637874,0.0033222591362126247,1,0.6,0.9972432454427084,0.4703125,0.0026041666666666665,1.0,opensemcom,0.25,0,0.46875,mild,5.430980781966356e-05
307,306,0.996742671009772,0.003257328990228013,1,0.6,0.9972432454427084,0.4796875,0.0026041666666666665,1.0,opensemcom,0.25,0,0.478125,mild,6.25624947133474e-05
314,313,0.9968152866242038,0.0031847133757961785,1,0.6,0.9972432454427084,0.490625,0.0026041666666666665,1.0,opensemcom,0.25,0,0.4890625,mild,6.860873101686595e-05
320,319,0.996875,0.003125,1,0.6,0.9972432454427084,0.5,0.0026041666666666665,1.0,opensemcom,0.25,0,0.4984375,mild,7.57600246288348e-05
326,325,0.9969325153374233,0.003067484662576687,1,0.6,0.9972432454427084,0.509375,0.0026041666666666665,1.0,opensemcom,0.25,0,0.5078125,mild,9.691020160971672e-05
333,332,0.996996996996997,0.003003003003003003,1,0.6,0.9972432454427084,0.5203125,0.0026041666666666665,1.0,opensemcom,0.25,0,0.51875,mild,0.00010898654029006139
