accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,backbone,coverage,detector_control,fpr95,known_id_accuracy,method,open_fraction,seed,semantic_goodput,severity,threshold
199,199,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.3109375,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.3109375,mild,0.00011797076455566196
205,205,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.3203125,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.3203125,mild,0.0001401282555864429
211,211,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.3296875,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.3296875,mild,0.0001493298638846216
218,218,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.340625,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.340625,mild,0.00015611525595315694
224,224,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.35,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.35,mild,0.00016601437948067805
231,231,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.3609375,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.3609375,mild,0.00019187863870621062
237,237,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.3703125,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.3703125,mild,0.00021638704540704882
243,243,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.3796875,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.3796875,mild,0.0002297945030413892
250,250,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.390625,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.390625,mild,0.00024468634114346334
257,257,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.4015625,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.4015625,mild,0.00026390082409976425
262,262,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.409375,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.409375,mild,0.0002921503171486945
269,269,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.4203125,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.4203125,mild,0.0003185282600070109
275,275,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.4296875,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.4296875,mild,0.00036743470453167696
283,283,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.4421875,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.4421875,mild,0.00040894372863104145
288,288,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.45,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.45,mild,0.0004834720550860664
294,294,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.459375,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.459375,mild,0.000602911839932935
301,301,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.4703125,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.4703125,mild,0.000680908040941973
307,307,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.4796875,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.4796875,mild,0.0008112941869765154
314,314,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.490625,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.490625,mild,0.0009063592013766237
320,320,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.5,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.5,mild,0.000977426494650963
326,326,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.509375,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.509375,mild,0.0011520382919469074
333,333,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.5203125,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.5203125,mild,0.0013552888794869321
340,340,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.53125,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.53125,mild,0.0015629820377453297
346,346,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.540625,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.540625,mild,0.00201461115888639
353,353,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.5515625,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.5515625,mild,0.0025528014219630703
358,358,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.559375,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.559375,mild,0.003406159779981371
365,365,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.5703125,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.5703125,mild,0.004982587435879683
371,371,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.5796875,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.5796875,mild,0.010175195940175635
378,378,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.590625,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.590625,mild,0.07485135916264742
384,384,1.0,0.0,0,0.6,1.0,dino+siglip2+openclip,0.6,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.19858171426803584
390,384,0.9846153846153847,0.015384615384615385,6,0.6,1.0,dino+siglip2+openclip,0.609375,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9743101478426957
397,384,0.9672544080604534,0.0327455919395466,13,0.6,1.0,dino+siglip2+openclip,0.6203125,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9865756988601717
403,384,0.9528535980148883,0.04714640198511166,19,0.6,1.0,dino+siglip2+openclip,0.6296875,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9937222497382668
409,384,0.9388753056234719,0.061124694376528114,25,0.6,1.0,dino+siglip2+openclip,0.6390625,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9972573999069052
416,384,0.9230769230769231,0.07692307692307693,32,0.6,1.0,dino+siglip2+openclip,0.65,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9987393075438588
422,384,0.909952606635071,0.09004739336492891,38,0.6,1.0,dino+siglip2+openclip,0.659375,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9990457454022551
429,384,0.8951048951048951,0.1048951048951049,45,0.6,1.0,dino+siglip2+openclip,0.6703125,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9992853658878303
435,384,0.8827586206896552,0.11724137931034483,51,0.6,1.0,dino+siglip2+openclip,0.6796875,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9995219076695843
