accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,coverage,fpr95,goodput_per_latency,goodput_per_resource,latency_per_sample,latency_units,method,refine_rate,reject_rate,resource_budget,resource_per_sample,resource_units,retransmission_rate,seed,semantic_goodput,target_openout,task
65,62,0.9538461538461539,0.046153846153846156,3,0.9312977099236641,0.6475409836065574,0.4961832061068702,0.8688524590163934,0.7928388746803069,0.7328605200945627,0.5969465648854962,78.2,opensemcom_no_channel,0.0,0.5038167938931297,0.6,0.6458015267175572,84.6,0.0,0,0.4732824427480916,0.05,deepsense-sector
77,74,0.961038961038961,0.03896103896103896,3,0.9236641221374046,0.7305785123966942,0.5877862595419847,0.7603305785123967,0.8428246013667426,0.8980582524271844,0.6702290076335877,87.8,opensemcom_progressive,0.0,0.4122137404580153,0.6,0.6290076335877863,82.4,0.0,0,0.5648854961832062,0.05,deepsense-sector
3,3,1.0,0.0,0,0.4507042253521127,0.7113381410256411,0.02112676056338028,0.6875,0.09740259740259741,0.1775147928994083,0.21690140845070424,30.8,dino_detector,0.0,0.9788732394366197,0.6,0.11901408450704225,16.9,0.0,0,0.02112676056338028,0.05,deepsense-exact
1,1,1.0,0.0,0,0.4014084507042254,0.6817337461300309,0.007042253521126761,0.8421052631578947,0.03424657534246575,0.06535947712418301,0.20563380281690144,29.200000000000003,ensemble_detector,0.0,0.9929577464788732,0.6,0.10774647887323945,15.3,0.0,0,0.007042253521126761,0.05,deepsense-exact
1,1,1.0,0.0,0,0.38028169014084506,0.6420454545454546,0.007042253521126761,0.7962962962962963,0.03424657534246575,0.06756756756756756,0.20563380281690144,29.200000000000003,deepjscc_pca,0.0,0.9929577464788732,0.6,0.10422535211267606,14.8,0.0,0,0.007042253521126761,0.05,deepsense-exact
1,1,1.0,0.0,0,0.4084507042253521,0.6732348111658456,0.007042253521126761,0.8448275862068966,0.03424657534246575,0.06451612903225806,0.20563380281690144,29.200000000000003,witt_context_style,0.0,0.9929577464788732,0.6,0.1091549295774648,15.500000000000002,0.0,0,0.007042253521126761,0.05,deepsense-exact
1,1,1.0,0.0,0,0.4084507042253521,0.6732348111658456,0.007042253521126761,0.8448275862068966,0.03424657534246575,0.06369426751592357,0.20563380281690144,29.200000000000003,fixed_refine_all,0.0,0.9929577464788732,0.6,0.11056338028169015,15.700000000000001,0.0,0,0.007042253521126761,0.05,deepsense-exact
0,0,0.0,0.0,0,0.43661971830985913,0.6794354838709677,0.0,0.7903225806451613,0.0,0.0,0.2,28.400000000000002,opensemcom_receiver_only,0.0,1.0,0.6,0.1,14.200000000000001,0.0,0,0.0,0.05,deepsense-exact
1,1,1.0,0.0,0,0.44366197183098594,0.6775165762507535,0.007042253521126761,0.8095238095238095,0.03424657534246575,0.06535947712418301,0.20563380281690144,29.200000000000003,opensemcom_no_channel,0.0,0.9929577464788732,0.6,0.10774647887323945,15.3,0.0,0,0.007042253521126761,0.05,deepsense-exact
1,1,1.0,0.0,0,0.4507042253521127,0.7113381410256411,0.007042253521126761,0.6875,0.03424657534246575,0.0662251655629139,0.20563380281690144,29.200000000000003,opensemcom_progressive,0.0,0.9929577464788732,0.6,0.1063380281690141,15.100000000000001,0.0,0,0.007042253521126761,0.05,deepsense-exact
