accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,backbone,coverage,detector_control,fpr95,known_id_accuracy,method,open_fraction,seed,semantic_goodput,severity,threshold
103,103,1.0,0.0,0,0.71484375,0.9514973958333334,DINOv3,0.40234375,msp,0.20833333333333334,0.953125,dino_msp,0.25,0,0.40234375,mild,0.011777548051961073
115,115,1.0,0.0,0,0.71484375,0.9514973958333334,DINOv3,0.44921875,msp,0.20833333333333334,0.953125,dino_msp,0.25,0,0.44921875,mild,0.014549499155258327
128,127,0.9921875,0.0078125,1,0.71484375,0.9514973958333334,DINOv3,0.5,msp,0.20833333333333334,0.953125,dino_msp,0.25,0,0.49609375,mild,0.022093413506054482
141,139,0.9858156028368794,0.014184397163120567,2,0.71484375,0.9514973958333334,DINOv3,0.55078125,msp,0.20833333333333334,0.953125,dino_msp,0.25,0,0.54296875,mild,0.03956729308597179
154,152,0.987012987012987,0.012987012987012988,2,0.71484375,0.9514973958333334,DINOv3,0.6015625,msp,0.20833333333333334,0.953125,dino_msp,0.25,0,0.59375,mild,0.06936224420725148
166,159,0.9578313253012049,0.04216867469879518,7,0.71484375,0.9514973958333334,DINOv3,0.6484375,msp,0.20833333333333334,0.953125,dino_msp,0.25,0,0.62109375,mild,0.10238534858476042
179,169,0.9441340782122905,0.055865921787709494,10,0.71484375,0.9514973958333334,DINOv3,0.69921875,msp,0.20833333333333334,0.953125,dino_msp,0.25,0,0.66015625,mild,0.18659438595153657
192,175,0.9114583333333334,0.08854166666666667,17,0.71484375,0.9514973958333334,DINOv3,0.75,msp,0.20833333333333334,0.953125,dino_msp,0.25,0,0.68359375,mild,0.2810948265820289
205,178,0.8682926829268293,0.13170731707317074,27,0.71484375,0.9514973958333334,DINOv3,0.80078125,msp,0.20833333333333334,0.953125,dino_msp,0.25,0,0.6953125,mild,0.3913729355176675
217,180,0.8294930875576036,0.17050691244239632,37,0.71484375,0.9514973958333334,DINOv3,0.84765625,msp,0.20833333333333334,0.953125,dino_msp,0.25,0,0.703125,mild,0.508835487239047
230,181,0.7869565217391304,0.21304347826086956,49,0.71484375,0.9514973958333334,DINOv3,0.8984375,msp,0.20833333333333334,0.953125,dino_msp,0.25,0,0.70703125,mild,0.578076746341265
243,183,0.7530864197530864,0.24691358024691357,60,0.71484375,0.9514973958333334,DINOv3,0.94921875,msp,0.20833333333333334,0.953125,dino_msp,0.25,0,0.71484375,mild,0.6410356831188281
256,183,0.71484375,0.28515625,73,0.71484375,0.9514973958333334,DINOv3,1.0,msp,0.20833333333333334,0.953125,dino_msp,0.25,0,0.71484375,mild,0.7729551685118263
1,1,1.0,0.0,0,0.71484375,0.9654134114583334,DINOv3,0.00390625,energy,0.15625,0.953125,dino_energy,0.25,0,0.00390625,mild,-8.812106973427506
13,13,1.0,0.0,0,0.71484375,0.9654134114583334,DINOv3,0.05078125,energy,0.15625,0.953125,dino_energy,0.25,0,0.05078125,mild,-7.613796576298896
26,26,1.0,0.0,0,0.71484375,0.9654134114583334,DINOv3,0.1015625,energy,0.15625,0.953125,dino_energy,0.25,0,0.1015625,mild,-7.1748792066827995
39,39,1.0,0.0,0,0.71484375,0.9654134114583334,DINOv3,0.15234375,energy,0.15625,0.953125,dino_energy,0.25,0,0.15234375,mild,-6.734333371239474
52,52,1.0,0.0,0,0.71484375,0.9654134114583334,DINOv3,0.203125,energy,0.15625,0.953125,dino_energy,0.25,0,0.203125,mild,-6.46608946952219
64,64,1.0,0.0,0,0.71484375,0.9654134114583334,DINOv3,0.25,energy,0.15625,0.953125,dino_energy,0.25,0,0.25,mild,-6.166905408339716
77,77,1.0,0.0,0,0.71484375,0.9654134114583334,DINOv3,0.30078125,energy,0.15625,0.953125,dino_energy,0.25,0,0.30078125,mild,-6.04042023985664
90,90,1.0,0.0,0,0.71484375,0.9654134114583334,DINOv3,0.3515625,energy,0.15625,0.953125,dino_energy,0.25,0,0.3515625,mild,-5.730985537714458
103,103,1.0,0.0,0,0.71484375,0.9654134114583334,DINOv3,0.40234375,energy,0.15625,0.953125,dino_energy,0.25,0,0.40234375,mild,-5.546171002715012
