coverage,goodput_proxy,run,selected,selected_open,selected_open_outage,selected_precision,threshold
0.00030120481927710846,0.0,full-open_dinov3_torch_mlp_conf80_login_seed0_login_20260617204446,1,0,1.0,0.0,0.1321477490417985
0.010240963855421687,0.0030120481927710845,full-open_dinov3_torch_mlp_conf80_login_seed0_login_20260617204446,34,9,0.7058823529411765,0.29411764705882354,0.2454085846906827
0.020180722891566263,0.005421686746987952,full-open_dinov3_torch_mlp_conf80_login_seed0_login_20260617204446,67,23,0.7313432835820896,0.26865671641791045,0.26352845109550227
0.030120481927710843,0.008433734939759036,full-open_dinov3_torch_mlp_conf80_login_seed0_login_20260617204446,100,33,0.72,0.28,0.2742772409334132
0.04006024096385542,0.011144578313253013,full-open_dinov3_torch_mlp_conf80_login_seed0_login_20260617204446,133,44,0.7218045112781954,0.2781954887218045,0.28401393055410507
0.05,0.01355421686746988,full-open_dinov3_torch_mlp_conf80_login_seed0_login_20260617204446,166,57,0.7289156626506024,0.2710843373493976,0.29257159475337546
0.060240963855421686,0.014759036144578313,full-open_dinov3_torch_mlp_conf80_login_seed0_login_20260617204446,200,77,0.755,0.245,0.30110214110432565
0.07018072289156627,0.01566265060240964,full-open_dinov3_torch_mlp_conf80_login_seed0_login_20260617204446,233,95,0.776824034334764,0.22317596566523606,0.30661280317443995
0.08012048192771085,0.016265060240963854,full-open_dinov3_torch_mlp_conf80_login_seed0_login_20260617204446,266,121,0.7969924812030075,0.20300751879699247,0.311357385346225
0.09006024096385543,0.01716867469879518,full-open_dinov3_torch_mlp_conf80_login_seed0_login_20260617204446,299,147,0.8093645484949833,0.19063545150501673,0.3168750678399271
0.1,0.01897590361445783,full-open_dinov3_torch_mlp_conf80_login_seed0_login_20260617204446,332,169,0.8132530120481928,0.1897590361445783,0.3197651725213106
0.11024096385542169,0.01927710843373494,full-open_dinov3_torch_mlp_conf80_login_seed0_login_20260617204446,366,197,0.8278688524590164,0.17486338797814208,0.3250162269271728
0.12018072289156627,0.02078313253012048,full-open_dinov3_torch_mlp_conf80_login_seed0_login_20260617204446,399,220,0.8295739348370927,0.17293233082706766,0.3283611931052873
0.13012048192771083,0.021987951807228914,full-open_dinov3_torch_mlp_conf80_login_seed0_login_20260617204446,432,246,0.8333333333333334,0.16898148148148148,0.3328279701575121
0.14006024096385541,0.022590361445783132,full-open_dinov3_torch_mlp_conf80_login_seed0_login_20260617204446,465,274,0.8408602150537634,0.16129032258064516,0.33513860987315874
0.15,0.022590361445783132,full-open_dinov3_torch_mlp_conf80_login_seed0_login_20260617204446,498,301,0.8514056224899599,0.15060240963855423,0.33829397868924777
0.1602409638554217,0.02289156626506024,full-open_dinov3_torch_mlp_conf80_login_seed0_login_20260617204446,532,330,0.8590225563909775,0.14285714285714285,0.340581099943356
0.17018072289156627,0.02289156626506024,full-open_dinov3_torch_mlp_conf80_login_seed0_login_20260617204446,565,358,0.8672566371681416,0.13451327433628318,0.3435028419731538
0.18012048192771085,0.02289156626506024,full-open_dinov3_torch_mlp_conf80_login_seed0_login_20260617204446,598,387,0.8745819397993311,0.12709030100334448,0.34673185497551035
0.19006024096385543,0.02319277108433735,full-open_dinov3_torch_mlp_conf80_login_seed0_login_20260617204446,631,416,0.8795562599049128,0.12202852614896989,0.3493248531892019
0.2,0.024096385542168676,full-open_dinov3_torch_mlp_conf80_login_seed0_login_20260617204446,664,445,0.8825301204819277,0.12048192771084337,0.3515644081809909
0.2099397590361446,0.024096385542168676,full-open_dinov3_torch_mlp_conf80_login_seed0_login_20260617204446,697,476,0.8880918220946915,0.11477761836441894,0.3541853591179881
0.22018072289156626,0.024096385542168676,full-open_dinov3_torch_mlp_conf80_login_seed0_login_20260617204446,731,506,0.893296853625171,0.1094391244870041,0.35635811586682553
0.23012048192771084,0.02469879518072289,full-open_dinov3_torch_mlp_conf80_login_seed0_login_20260617204446,764,535,0.8965968586387435,0.10732984293193717,0.35921055296996046
0.24006024096385542,0.02530120481927711,full-open_dinov3_torch_mlp_conf80_login_seed0_login_20260617204446,797,562,0.8983688833124216,0.1053952321204517,0.36192583304665005
0.25,0.025602409638554216,full-open_dinov3_torch_mlp_conf80_login_seed0_login_20260617204446,830,594,0.9012048192771084,0.10240963855421686,0.36439343061652296
0.2599397590361446,0.025602409638554216,full-open_dinov3_torch_mlp_conf80_login_seed0_login_20260617204446,863,625,0.9049826187717266,0.0984936268829664,0.36602697963931996
0.27018072289156625,0.02650602409638554,full-open_dinov3_torch_mlp_conf80_login_seed0_login_20260617204446,897,653,0.9052396878483835,0.09810479375696766,0.36780164037094326
