accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,backbone,coverage,detector_control,fpr95,known_id_accuracy,method,open_fraction,seed,semantic_goodput,severity,target_openout,threshold
31,21,0.6774193548387096,0.3225806451612903,10,0.0859375,0.9468184362754245,DINOv3,0.12109375,energy,0.08695652173913043,0.9565217391304348,dino_energy,0.91,0,0.08203125,extreme,openout<=0.10,-3.842022632785336
183,22,0.12021857923497267,0.8797814207650273,161,0.0859375,0.9367419294644523,DINOv3,0.71484375,mahalanobis,0.2608695652173913,0.9565217391304348,dino_mahalanobis,0.91,0,0.0859375,extreme,openout<=0.05,0.583302678716167
198,22,0.1111111111111111,0.8888888888888888,176,0.0859375,0.9367419294644523,DINOv3,0.7734375,mahalanobis,0.2608695652173913,0.9565217391304348,dino_mahalanobis,0.91,0,0.0859375,extreme,openout<=0.10,0.6178172570526176
198,22,0.1111111111111111,0.8888888888888888,176,0.0859375,0.9337562978167568,DINOv3,0.7734375,vim,0.30434782608695654,0.9565217391304348,dino_vim,0.91,0,0.0859375,extreme,openout<=0.05,0.6374010264873504
209,22,0.10526315789473684,0.8947368421052632,187,0.0859375,0.9337562978167568,DINOv3,0.81640625,vim,0.30434782608695654,0.9565217391304348,dino_vim,0.91,0,0.0859375,extreme,openout<=0.10,0.6663561791181565
20,18,0.9,0.1,2,0.0859375,0.9451390184735958,DINOv3,0.078125,react_energy,0.08695652173913043,0.9565217391304348,dino_react_energy,0.91,0,0.0703125,extreme,openout<=0.05,-4.10655014724271
31,21,0.6774193548387096,0.3225806451612903,10,0.0859375,0.9451390184735958,DINOv3,0.12109375,react_energy,0.08695652173913043,0.9565217391304348,dino_react_energy,0.91,0,0.08203125,extreme,openout<=0.10,-3.427607692873458
19,18,0.9473684210526315,0.05263157894736842,1,0.0859375,0.9447658145176339,DINOv3,0.07421875,ash_energy,0.08695652173913043,0.9565217391304348,dino_ash_energy,0.91,0,0.0703125,extreme,openout<=0.05,-6.706926091895595
40,21,0.525,0.475,19,0.0859375,0.9447658145176339,DINOv3,0.15625,ash_energy,0.08695652173913043,0.9565217391304348,dino_ash_energy,0.91,0,0.08203125,extreme,openout<=0.10,-4.806304889145001
34,22,0.6470588235294118,0.35294117647058826,12,0.0859375,0.9964545624183616,DINOv3,0.1328125,one_vs_rest,0.0,0.9565217391304348,dino_one_vs_rest,0.91,0,0.0859375,extreme,openout<=0.05,0.3672740015268961
56,22,0.39285714285714285,0.6071428571428571,34,0.0859375,0.9964545624183616,DINOv3,0.21875,one_vs_rest,0.0,0.9565217391304348,dino_one_vs_rest,0.91,0,0.0859375,extreme,openout<=0.10,0.752572709144081
115,21,0.1826086956521739,0.8173913043478261,94,0.0859375,0.9376749393543572,DINOv3,0.44921875,deepjscc,0.30434782608695654,0.9565217391304348,deepjscc_style,0.91,0,0.08203125,extreme,openout<=0.05,0.41286583483219147
135,21,0.15555555555555556,0.8444444444444444,114,0.0859375,0.9376749393543572,DINOv3,0.52734375,deepjscc,0.30434782608695654,0.9565217391304348,deepjscc_style,0.91,0,0.08203125,extreme,openout<=0.10,0.4411166563630104
24,20,0.8333333333333334,0.16666666666666666,4,0.08203125,0.9850718417615226,SigLIP2,0.09375,best_ood:one_vs_rest,0.08695652173913043,0.9130434782608695,siglip2_best_ood,0.91,0,0.078125,extreme,openout<=0.05,0.36067154028602616
43,20,0.46511627906976744,0.5348837209302325,23,0.08203125,0.9850718417615226,SigLIP2,0.16796875,best_ood:one_vs_rest,0.08695652173913043,0.9130434782608695,siglip2_best_ood,0.91,0,0.078125,extreme,openout<=0.10,0.7407133778046708
28,23,0.8214285714285714,0.17857142857142858,5,0.08984375,0.9970143683523045,OpenCLIP-DFN5B,0.109375,best_ood:one_vs_rest,0.0,1.0,openclip_best_ood,0.91,0,0.08984375,extreme,openout<=0.05,0.2742163735103874
43,23,0.5348837209302325,0.46511627906976744,20,0.08984375,0.9970143683523045,OpenCLIP-DFN5B,0.16796875,best_ood:one_vs_rest,0.0,1.0,openclip_best_ood,0.91,0,0.08984375,extreme,openout<=0.10,0.7079480253316269
