accepted,accepted_correct,accepted_open_outage,accepted_precision,accepted_unsafe,accuracy,decision_accept,decision_fallback,decision_refine,decision_semantic-HARQ,known_id_accuracy,known_id_count,open_exposure_count,rate_accept,rate_fallback,rate_refine,rate_semantic-HARQ,run,samples
10,8,0.2,0.8,2,0.03975903614457831,10,3212,45,53,0.2838541666666667,384,2936,0.0030120481927710845,0.9674698795180723,0.01355421686746988,0.015963855421686747,full-open_dinov3_torch_power_fullopen_login_seed0_login_20260617204855,3320
3,1,0.6666666666666666,0.3333333333333333,2,0.04156626506024096,3,3173,58,86,0.3098958333333333,384,2936,0.0009036144578313253,0.9557228915662651,0.01746987951807229,0.025903614457831327,full-open_dinov3_torch_power_fullopen_login_seed1_login_20260617204855,3320
4,2,0.5,0.5,2,0.04246987951807229,4,3182,43,91,0.3203125,384,2936,0.0012048192771084338,0.958433734939759,0.012951807228915663,0.027409638554216867,full-open_dinov3_torch_power_fullopen_login_seed2_login_20260617204855,3320
