target_openout,severity,method,seeds,semantic_goodput_mean,semantic_goodput_std,accepted_open_outage_mean,accepted_open_outage_std,coverage_mean,known_id_accuracy_mean,auroc_mean,fpr95_mean,accepted_mean
0.05,extreme,energy,2,0.0244140625,0.006905339660024878,0.039938556067588324,0.010861855317765706,0.025390625,1.0,0.988611448031349,0.03804347826086957,26.0
0.05,extreme,mahalanobis,3,0.05078125,0.0,0.0,0.0,0.05078125,0.9963768115942028,0.9790422653480126,0.15942028985507248,52.0
0.05,extreme,msp,2,0.0244140625,0.006905339660024878,0.039938556067588324,0.010861855317765706,0.025390625,1.0,0.9880924612800897,0.03804347826086957,26.0
0.05,extreme,one_vs_rest,3,0.08919270833333333,0.001127637244510988,0.017921146953405017,0.012416134821282274,0.0908203125,0.9963768115942028,0.9999494619642969,0.0,93.0
0.05,extreme,openmax,3,0.049153645833333336,0.000563818622255494,0.032051282051282055,0.01110288979210819,0.05078125,0.9963768115942028,0.9861078714934379,0.13043478260869565,52.0
0.05,extreme,opensemcom,3,0.07845052083333333,0.009781887500857239,0.024076988081708772,0.010531016065490187,0.08040364583333333,0.9963768115942028,0.9977938203644959,0.0036231884057971015,82.33333333333333
0.05,hard,energy,3,0.17805989583333334,0.0552542249810384,0.04870854018274696,6.230846850740755e-05,0.18717447916666666,0.99609375,0.9835425482855902,0.040364583333333336,191.66666666666666
0.05,hard,mahalanobis,3,0.16145833333333334,0.014230138668225516,0.03287878115464323,0.0071384031784515216,0.1669921875,0.99609375,0.9780442979600695,0.13541666666666666,171.0
0.05,hard,msp,3,0.17805989583333334,0.0552542249810384,0.04870854018274696,6.230846850740755e-05,0.18717447916666666,0.99609375,0.981475830078125,0.040364583333333336,191.66666666666666
0.05,hard,one_vs_rest,3,0.2490234375,0.0016914558667664816,0.041353383458646614,0.006511469201386757,0.259765625,0.99609375,0.999967787000868,0.0,266.0
0.05,hard,openmax,3,0.17643229166666666,0.006278418464188121,0.0407946407946408,0.006870616380696256,0.18391927083333334,0.99609375,0.9863535563151041,0.13020833333333334,188.33333333333334
0.05,hard,opensemcom,3,0.24348958333333334,0.00481726842023071,0.03852404448621554,0.0031334591957312935,0.2532552083333333,0.99609375,0.9976611667209202,0.006510416666666667,259.3333333333333
0.05,medium,energy,3,0.3999255952380952,0.008951792719877946,0.04696164706455158,0.002141923454930612,0.41964285714285715,0.9965277777777778,0.9826524522569443,0.044270833333333336,376.0
0.05,medium,mahalanobis,3,0.3128720238095238,0.030571666300672262,0.043462220751646574,0.004285115806310147,0.32700892857142855,0.9965277777777778,0.9764912923177084,0.17361111111111108,293.0
0.05,medium,msp,3,0.3999255952380952,0.008951792719877946,0.04696164706455158,0.002141923454930612,0.41964285714285715,0.9965277777777778,0.9809536404079862,0.044270833333333336,376.0
0.05,medium,one_vs_rest,3,0.4270833333333333,0.0025774565588822487,0.006060606060606061,0.005998444355216892,0.4296875,0.9965277777777778,0.999969482421875,0.0,385.0
0.05,medium,openmax,3,0.3530505952380952,0.025943159779183243,0.047271811565835896,0.0017594765633772603,0.37053571428571425,0.9965277777777778,0.9883032904730903,0.0954861111111111,332.0
0.05,medium,opensemcom,3,0.4244791666666667,0.0025774565588822487,0.04192330784765696,0.006672278620769126,0.44308035714285715,0.9973958333333334,0.9969940185546875,0.006944444444444444,397.0
0.05,mild,energy,3,0.578125,0.007160274523368493,0.04640758547008547,0.004676415047199874,0.6062500000000001,0.9965277777777778,0.9818352593315972,0.04340277777777777,388.0
0.05,mild,mahalanobis,3,0.5098958333333333,0.08575738701175155,0.043895559367257475,0.0036008936292586304,0.5333333333333333,0.9965277777777778,0.9741583930121528,0.20920138888888892,341.3333333333333
0.05,mild,msp,3,0.578125,0.007160274523368493,0.04640758547008547,0.004676415047199874,0.6062500000000001,0.9965277777777778,0.9802585177951388,0.04513888888888889,388.0
0.05,mild,one_vs_rest,3,0.5979166666666667,0.0036084391824351483,0.018803418803418803,0.005921541222457699,0.609375,0.9965277777777778,0.99993896484375,0.0,390.0
0.05,mild,openmax,3,0.5973958333333332,0.0032526031241658163,0.041731514064332786,0.00849368354083373,0.6234375,0.9965277777777778,0.9884134928385416,0.07118055555555557,399.0
0.05,mild,opensemcom,3,0.5947916666666666,0.0032526031241658163,0.029703545824452626,0.004983640980684861,0.6130208333333333,0.9973958333333334,0.9970550537109375,0.006944444444444444,392.3333333333333
0.1,extreme,energy,2,0.05029296875,0.00621480569402239,0.09646401985111663,0.0004386518493713017,0.0556640625,1.0,0.988611448031349,0.03804347826086957,57.0
0.1,extreme,mahalanobis,3,0.0556640625,0.0009765625,0.08064516129032258,0.016129032258064516,0.060546875,0.9963768115942028,0.9790422653480126,0.15942028985507248,62.0
0.1,extreme,msp,2,0.05029296875,0.00621480569402239,0.09646401985111663,0.0004386518493713017,0.0556640625,1.0,0.9880924612800897,0.03804347826086957,57.0
0.1,extreme,one_vs_rest,3,0.08919270833333333,0.001127637244510988,0.017921146953405017,0.012416134821282274,0.0908203125,0.9963768115942028,0.9999494619642969,0.0,93.0
0.1,extreme,openmax,3,0.05859375,0.005167483029423029,0.08154121863799282,0.016203531648768033,0.06380208333333333,0.9963768115942028,0.9861078714934379,0.13043478260869565,65.33333333333333
0.1,extreme,opensemcom,3,0.08528645833333333,0.002983447718070208,0.06093189964157706,0.03285000498176229,0.0908203125,0.9963768115942028,0.9977938203644959,0.0036231884057971015,93.0
0.1,hard,energy,3,0.23307291666666666,0.01462672001214907,0.09262998563592216,0.005649212877814254,0.2568359375,0.99609375,0.9835425482855902,0.040364583333333336,263.0
