auroc,fpr95,known_id_accuracy,known_subset_accuracy,method,open_fraction,samples,seed,severity
0.9758097330729166,0.044270833333333336,0.42410714285714285,0.9895833333333334,msp,0.5,896,2,medium
0.9783274332682291,0.041666666666666664,0.42410714285714285,0.9895833333333334,energy,0.5,896,2,medium
0.9703470865885416,0.203125,0.42410714285714285,0.9895833333333334,mahalanobis,0.5,896,2,medium
0.9857279459635416,0.16666666666666666,0.42410714285714285,0.9895833333333334,openmax,0.5,896,2,medium
0.5179189046223959,0.7369791666666666,0.42410714285714285,0.9895833333333334,vim,0.5,896,2,medium
0.9999643961588541,0.0,0.42410714285714285,0.9895833333333334,one_vs_rest,0.5,896,2,medium
0.9963455200195312,0.01171875,0.248046875,0.9921875,opensemcom,0.75,1024,2,hard
0.976409912109375,0.04296875,0.2470703125,0.98828125,msp,0.75,1024,2,hard
0.979339599609375,0.04296875,0.2470703125,0.98828125,energy,0.75,1024,2,hard
0.9748382568359375,0.15234375,0.2470703125,0.98828125,mahalanobis,0.75,1024,2,hard
0.9844767252604166,0.15625,0.2470703125,0.98828125,openmax,0.75,1024,2,hard
0.5026499430338541,0.8125,0.2470703125,0.98828125,vim,0.75,1024,2,hard
0.9999542236328125,0.0,0.2470703125,0.98828125,one_vs_rest,0.75,1024,2,hard
0.9948276264228401,0.010869565217391304,0.0888671875,0.9891304347826086,opensemcom,0.91,1024,2,extreme
0.9769429930957269,0.06521739130434782,0.0888671875,0.9891304347826086,msp,0.91,1024,2,extreme
0.9798003358835604,0.06521739130434782,0.0888671875,0.9891304347826086,energy,0.91,1024,2,extreme
0.9730126889345027,0.17391304347826086,0.0888671875,0.9891304347826086,mahalanobis,0.91,1024,2,extreme
0.9850601791378989,0.15217391304347827,0.0888671875,0.9891304347826086,openmax,0.91,1024,2,extreme
0.5528783355103564,1.0,0.0888671875,0.9891304347826086,vim,0.91,1024,2,extreme
0.9998483858928905,0.0,0.0888671875,0.9891304347826086,one_vs_rest,0.91,1024,2,extreme
