accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,coverage,fpr95,goodput_per_latency,goodput_per_resource,latency_per_sample,latency_units,method,refine_rate,reject_rate,resource_budget,resource_per_sample,resource_units,retransmission_rate,seed,semantic_goodput,target_openout,task
352,352,1.0,0.0,0,0.98125,0.9993082682291666,0.55,0.005208333333333333,0.6842923794712287,0.7888839085611834,0.80375,514.4,opensemcom_progressive,0.15625,0.45,1.0,0.6971875,446.2,0.15625,0,0.55,0.01,full-open-mild
238,238,1.0,0.0,0,0.98125,0.9910913592272413,0.371875,0.013089005235602094,0.7474874371859297,0.8554996405463695,0.49749999999999994,318.4,dino_detector,0.0,0.628125,0.3,0.4346875,278.2,0.0,0,0.371875,0.02,full-open-mild
0,0,0.0,0.0,0,0.996875,0.999725341796875,0.0,0.0,0.0,0.0,0.2,128.0,ensemble_detector,0.0,1.0,0.3,0.1,64.0,0.0,0,0.0,0.02,full-open-mild
0,0,0.0,0.0,0,0.9421875,0.9088295605323469,0.0,0.4037433155080214,0.0,0.0,0.2,128.0,deepjscc_pca,0.0,1.0,0.3,0.1,64.0,0.0,0,0.0,0.02,full-open-mild
0,0,0.0,0.0,0,0.9953125,0.9997456868489584,0.0,0.0,0.0,0.0,0.2,128.0,witt_context_style,0.0,1.0,0.3,0.1,64.0,0.0,0,0.0,0.02,full-open-mild
0,0,0.0,0.0,0,0.9953125,0.9997456868489584,0.0,0.0,0.0,0.0,0.2,128.0,fixed_refine_all,0.0,1.0,0.3,0.1,64.0,0.0,0,0.0,0.02,full-open-mild
0,0,0.0,0.0,0,0.6,0.9998982747395834,0.0,0.0,0.0,0.0,0.2,128.0,opensemcom_receiver_only,0.0,1.0,0.3,0.1,64.0,0.0,0,0.0,0.02,full-open-mild
0,0,0.0,0.0,0,0.6,0.9998881022135416,0.0,0.0,0.0,0.0,0.2,128.0,opensemcom_no_channel,0.0,1.0,0.3,0.1,64.0,0.0,0,0.0,0.02,full-open-mild
254,254,1.0,0.0,0,0.6,0.9998982747395834,0.396875,0.0,0.7669082125603865,0.8680792891319207,0.5175,331.2,opensemcom_progressive,0.0,0.603125,0.3,0.4571875,292.6,0.0,0,0.396875,0.02,full-open-mild
238,238,1.0,0.0,0,0.98125,0.9910913592272413,0.371875,0.013089005235602094,0.7474874371859297,0.8554996405463695,0.49749999999999994,318.4,dino_detector,0.0,0.628125,0.45,0.4346875,278.2,0.0,0,0.371875,0.02,full-open-mild
353,353,1.0,0.0,0,0.996875,0.999725341796875,0.5515625,0.0,0.8601364522417154,0.7804554499226178,0.64125,410.4,ensemble_detector,0.0,0.4484375,0.45,0.70671875,452.29999999999995,0.0,0,0.5515625,0.02,full-open-mild
0,0,0.0,0.0,0,0.9421875,0.9088295605323469,0.0,0.4037433155080214,0.0,0.0,0.2,128.0,deepjscc_pca,0.0,1.0,0.45,0.1,64.0,0.0,0,0.0,0.02,full-open-mild
248,248,1.0,0.0,0,0.9953125,0.9997456868489584,0.3875,0.0,0.7598039215686275,0.6418219461697723,0.51,326.4,witt_context_style,0.0,0.6125,0.45,0.60375,386.4,0.0,0,0.3875,0.02,full-open-mild
248,248,1.0,0.0,0,0.9953125,0.9997456868489584,0.3875,0.0,0.7598039215686275,0.5688073394495413,0.51,326.4,fixed_refine_all,0.0,0.6125,0.45,0.68125,436.0,0.0,0,0.3875,0.02,full-open-mild
356,356,1.0,0.0,0,0.6,0.9998982747395834,0.55625,0.0,0.8624031007751938,0.7813871817383671,0.645,412.8,opensemcom_receiver_only,0.0,0.44375,0.45,0.7118749999999999,455.59999999999997,0.0,0,0.55625,0.02,full-open-mild
