accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,coverage,fpr95,known_id_accuracy,method,open_fraction,seed,semantic_goodput,severity,threshold
275,275,1.0,0.0,0,0.6,0.9998575846354166,0.4296875,0.0,1.0,opensemcom,0.25,0,0.4296875,mild,0.0010273052424139635
282,282,1.0,0.0,0,0.6,0.9998575846354166,0.440625,0.0,1.0,opensemcom,0.25,0,0.440625,mild,0.0012150791524784931
288,288,1.0,0.0,0,0.6,0.9998575846354166,0.45,0.0,1.0,opensemcom,0.25,0,0.45,mild,0.0013694564442720955
295,295,1.0,0.0,0,0.6,0.9998575846354166,0.4609375,0.0,1.0,opensemcom,0.25,0,0.4609375,mild,0.0014372855627228464
301,301,1.0,0.0,0,0.6,0.9998575846354166,0.4703125,0.0,1.0,opensemcom,0.25,0,0.4703125,mild,0.0017707620782412242
307,307,1.0,0.0,0,0.6,0.9998575846354166,0.4796875,0.0,1.0,opensemcom,0.25,0,0.4796875,mild,0.0020150020004474265
316,316,1.0,0.0,0,0.6,0.9998575846354166,0.49375,0.0,1.0,opensemcom,0.25,0,0.49375,mild,0.0023827858871146323
320,320,1.0,0.0,0,0.6,0.9998575846354166,0.5,0.0,1.0,opensemcom,0.25,0,0.5,mild,0.002640139967799004
326,326,1.0,0.0,0,0.6,0.9998575846354166,0.509375,0.0,1.0,opensemcom,0.25,0,0.509375,mild,0.003095208254200937
333,333,1.0,0.0,0,0.6,0.9998575846354166,0.5203125,0.0,1.0,opensemcom,0.25,0,0.5203125,mild,0.0034857526788234484
339,339,1.0,0.0,0,0.6,0.9998575846354166,0.5296875,0.0,1.0,opensemcom,0.25,0,0.5296875,mild,0.0038628684035898423
346,346,1.0,0.0,0,0.6,0.9998575846354166,0.540625,0.0,1.0,opensemcom,0.25,0,0.540625,mild,0.004294231481247291
353,353,1.0,0.0,0,0.6,0.9998575846354166,0.5515625,0.0,1.0,opensemcom,0.25,0,0.5515625,mild,0.0054221974694628
359,359,1.0,0.0,0,0.6,0.9998575846354166,0.5609375,0.0,1.0,opensemcom,0.25,0,0.5609375,mild,0.00585844082929822
365,365,1.0,0.0,0,0.6,0.9998575846354166,0.5703125,0.0,1.0,opensemcom,0.25,0,0.5703125,mild,0.007144795708486217
371,371,1.0,0.0,0,0.6,0.9998575846354166,0.5796875,0.0,1.0,opensemcom,0.25,0,0.5796875,mild,0.011005082997673193
378,378,1.0,0.0,0,0.6,0.9998575846354166,0.590625,0.0,1.0,opensemcom,0.25,0,0.590625,mild,0.037697321786559185
384,381,0.9921875,0.0078125,3,0.6,0.9998575846354166,0.6,0.0,1.0,opensemcom,0.25,0,0.5953125,mild,0.05952934517524404
390,383,0.982051282051282,0.017948717948717947,7,0.6,0.9998575846354166,0.609375,0.0,1.0,opensemcom,0.25,0,0.5984375,mild,0.7314695281162996
397,384,0.9672544080604534,0.0327455919395466,13,0.6,0.9998575846354166,0.6203125,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9398553769055806
403,384,0.9528535980148883,0.04714640198511166,19,0.6,0.9998575846354166,0.6296875,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9784170560686625
409,384,0.9388753056234719,0.061124694376528114,25,0.6,0.9998575846354166,0.6390625,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9867355137982398
416,384,0.9230769230769231,0.07692307692307693,32,0.6,0.9998575846354166,0.65,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9941981010900373
422,384,0.909952606635071,0.09004739336492891,38,0.6,0.9998575846354166,0.659375,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9965716776182425
429,384,0.8951048951048951,0.1048951048951049,45,0.6,0.9998575846354166,0.6703125,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9982817228693638
435,384,0.8827586206896552,0.11724137931034483,51,0.6,0.9998575846354166,0.6796875,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9986335094703032
441,384,0.8707482993197279,0.1292517006802721,57,0.6,0.9998575846354166,0.6890625,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9988597053321988
448,384,0.8571428571428571,0.14285714285714285,64,0.6,0.9998575846354166,0.7,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9992244443789035
454,384,0.8458149779735683,0.15418502202643172,70,0.6,0.9998575846354166,0.709375,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9993247672268324
461,384,0.8329718004338394,0.16702819956616052,77,0.6,0.9998575846354166,0.7203125,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9994280746427293
467,384,0.8222698072805139,0.1777301927194861,83,0.6,0.9998575846354166,0.7296875,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9995681191355559
473,384,0.8118393234672304,0.18816067653276955,89,0.6,0.9998575846354166,0.7390625,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9996647041131321
480,384,0.8,0.2,96,0.6,0.9998575846354166,0.75,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9997300339778508
486,384,0.7901234567901234,0.20987654320987653,102,0.6,0.9998575846354166,0.759375,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9997607011014552
493,384,0.7789046653144016,0.2210953346855984,109,0.6,0.9998575846354166,0.7703125,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9997959603700312
499,384,0.7695390781563126,0.23046092184368738,115,0.6,0.9998575846354166,0.7796875,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9998274749245057
505,384,0.7603960396039604,0.2396039603960396,121,0.6,0.9998575846354166,0.7890625,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9998654105746589
512,384,0.75,0.25,128,0.6,0.9998575846354166,0.8,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9998869347543888
518,384,0.7413127413127413,0.25868725868725867,134,0.6,0.9998575846354166,0.809375,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9998973104399396
524,384,0.732824427480916,0.26717557251908397,140,0.6,0.9998575846354166,0.81875,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9999113961687993
531,384,0.7231638418079096,0.2768361581920904,147,0.6,0.9998575846354166,0.8296875,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9999241320300889
537,384,0.7150837988826816,0.2849162011173184,153,0.6,0.9998575846354166,0.8390625,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9999451771907168
544,384,0.7058823529411765,0.29411764705882354,160,0.6,0.9998575846354166,0.85,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9999568957977917
550,384,0.6981818181818182,0.3018181818181818,166,0.6,0.9998575846354166,0.859375,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9999647940071927
556,384,0.6906474820143885,0.30935251798561153,172,0.6,0.9998575846354166,0.86875,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9999748121830274
563,384,0.6820603907637656,0.31793960923623443,179,0.6,0.9998575846354166,0.8796875,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9999824361839131
569,384,0.6748681898066784,0.3251318101933216,185,0.6,0.9998575846354166,0.8890625,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9999865089965866
576,384,0.6666666666666666,0.3333333333333333,192,0.6,0.9998575846354166,0.9,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.999992888237671
582,384,0.6597938144329897,0.3402061855670103,198,0.6,0.9998575846354166,0.909375,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9999941568115629
588,384,0.6530612244897959,0.3469387755102041,204,0.6,0.9998575846354166,0.91875,0.0,1.0,opensemcom,0.25,0,0.6,mild,0.9999951967749721
