cal_goodput,cal_openout,method,q1,q2,qr,resource_budget,seed,target_openout,task,threshold
0.16964285714285715,0.05,dino_detector,,,,0.6,0,0.05,full-open,0.03702115204704619
0.4107142857142857,0.041666666666666664,ensemble_detector,,,,0.6,0,0.05,full-open,0.12865665973895388
0.19642857142857142,0.043478260869565216,deepjscc_pca,,,,0.6,0,0.05,full-open,0.1571661078538581
0.35714285714285715,0.047619047619047616,witt_context_style,,,,0.6,0,0.05,full-open,0.07856726173757442
0.32142857142857145,0.02702702702702703,fixed_refine_all,,,,0.6,0,0.05,full-open,0.022264006681351305
0.3392857142857143,0.05,opensemcom_progressive,0.04592565908750319,0.25490468600370164,0.13678392649545185,0.6,0,0.05,full-open,
0.007936507936507936,0.0,dino_detector,,,,0.6,0,0.05,deepsense-beam,0.0019674604464611223
0.007936507936507936,0.0,ensemble_detector,,,,0.6,0,0.05,deepsense-beam,0.000779421264174851
0.007936507936507936,0.0,deepjscc_pca,,,,0.6,0,0.05,deepsense-beam,0.0708058139170582
0.007936507936507936,0.0,witt_context_style,,,,0.6,0,0.05,deepsense-beam,0.0007471066513923263
0.007936507936507936,0.0,fixed_refine_all,,,,0.6,0,0.05,deepsense-beam,0.0007471066513923263
0.007936507936507936,0.0,opensemcom_progressive,0.0007471066513923263,0.008777432785330297,0.0007471066513923263,0.6,0,0.05,deepsense-beam,
