target_openout,severity,method,backbone,detector_control,seeds,semantic_goodput_mean,semantic_goodput_std,accepted_open_outage_mean,accepted_open_outage_std,coverage_mean,accepted_mean,accepted_known_accuracy_mean,known_id_accuracy_mean,auroc_mean,fpr95_mean
0.05,extreme,deepjscc_style,DINOv3,deepjscc,3,0.0615234375,0.005940197783494355,0.03614097968936678,0.0108394547859164,0.06380208333333333,65.33333333333333,0.9638590203106333,0.9855072463768115,0.9826926665422654,0.11231884057971014
0.05,extreme,dino_ash_energy,DINOv3,ash_energy,3,0.031901041666666664,0.010712553822854383,0.04839334107626791,0.00067055780393685,0.033528645833333336,34.333333333333336,0.9516066589237321,0.9891304347826088,0.9886406045904087,0.03623188405797101
0.05,extreme,dino_energy,DINOv3,energy,3,0.048177083333333336,0.009781887500857239,0.045209707680203354,0.005847395144725384,0.050455729166666664,51.666666666666664,0.9547902923197967,0.9891304347826088,0.9922521303725819,0.018115942028985508
0.05,extreme,dino_mahalanobis,DINOv3,mahalanobis,3,0.0732421875,0.005074367600299445,0.04640921409214092,0.004107166549113194,0.07682291666666667,78.66666666666667,0.9535907859078591,0.9891304347826088,0.9875754182994338,0.07971014492753623
0.05,extreme,dino_msp,DINOv3,msp,3,0.051106770833333336,0.011276372445109878,0.04851822711775505,0.0002271244174624824,0.0537109375,55.0,0.951481772882245,0.9891304347826088,0.9895736144803134,0.028985507246376812
0.05,extreme,dino_one_vs_rest,DINOv3,one_vs_rest,3,0.08854166666666667,0.0005638186222554939,0.025089605734767026,0.006208067410641136,0.0908203125,93.0,0.974910394265233,0.9891304347826088,0.9999805622939603,0.0
0.05,extreme,dino_react_energy,DINOv3,react_energy,3,0.045247395833333336,0.014495731821752811,0.03970223325062035,0.008135779806826303,0.047200520833333336,48.333333333333336,0.9602977667493797,0.9891304347826088,0.9921005162654724,0.021739130434782608
0.05,extreme,dino_vim,DINOv3,vim,3,0.0712890625,0.004256737249551439,0.030149051490514903,0.01756624954263438,0.07356770833333333,75.33333333333333,0.9698509485094852,0.9891304347826088,0.989977918765939,0.06884057971014493
0.05,extreme,openclip_best_ood,OpenCLIP-DFN5B,best_ood:one_vs_rest,3,0.0888671875,0.0,0.02150537634408602,4.2491873609703695e-18,0.0908203125,93.0,0.978494623655914,1.0,0.9999105865522174,0.0
0.05,extreme,opensemcom,dino+siglip2+openclip,learned_selective_risk+confirmed_fallback,3,0.08854166666666667,0.001127637244510988,0.025089605734767026,0.012416134821282274,0.0908203125,93.0,0.974910394265233,1.0,0.9998872613049699,0.0
0.05,extreme,siglip2_best_ood,SigLIP2,best_ood:one_vs_rest,3,0.08951822916666667,0.0005638186222554939,0.014336917562724016,0.0062080674106411386,0.0908203125,93.0,0.985663082437276,1.0,0.9998406108104746,0.0
0.05,hard,deepjscc_style,DINOv3,deepjscc,3,0.1962890625,0.0048828125,0.0382253330322872,0.012537593459400389,0.2041015625,209.0,0.9617746669677129,0.9947916666666666,0.9870249430338541,0.06901041666666667
0.05,hard,dino_ash_energy,DINOv3,ash_energy,3,0.1982421875,0.02198892626796426,0.04562755733181082,0.002389831259848579,0.20768229166666666,212.66666666666666,0.9543724426681891,0.99609375,0.988338894314236,0.033854166666666664
0.05,hard,dino_energy,DINOv3,energy,3,0.2197265625,0.015223102800898336,0.044923425978445834,0.006680627051315013,0.23014322916666666,235.66666666666666,0.9550765740215542,0.9947916666666666,0.9922553168402778,0.015625
0.05,hard,dino_mahalanobis,DINOv3,mahalanobis,3,0.22102864583333334,0.009830513587592122,0.042306336100199037,0.003741933905238443,0.23079427083333334,236.33333333333334,0.9576936638998009,0.9947916666666666,0.9901445176866318,0.05078125
0.05,hard,dino_msp,DINOv3,msp,3,0.20149739583333334,0.017203398778286215,0.04340821420467438,0.0032478512698891895,0.21061197916666666,215.66666666666666,0.9565917857953257,0.9947916666666666,0.9889492458767362,0.028645833333333332
0.05,hard,dino_one_vs_rest,DINOv3,one_vs_rest,3,0.24869791666666666,0.001491723859035104,0.030124138471177942,0.02339514223692175,0.2565104166666667,262.6666666666667,0.969875861528822,0.9947916666666666,0.9999016655815973,0.0
0.05,hard,dino_react_energy,DINOv3,react_energy,3,0.21614583333333334,0.005966895436140416,0.03632769903355052,0.007027712484441729,0.22428385416666666,229.66666666666666,0.9636723009664495,0.9947916666666666,0.9925469292534722,0.015625
0.05,hard,dino_vim,DINOv3,vim,3,0.22135416666666666,0.008807128423482215,0.03947383931616427,0.0036331354002187115,0.23046875,236.0,0.9605261606838358,0.9947916666666666,0.991119384765625,0.05859375
0.05,hard,openclip_best_ood,OpenCLIP-DFN5B,best_ood:one_vs_rest,3,0.24967447916666666,0.000563818622255494,0.03884711779448621,0.0021704897337955853,0.259765625,266.0,0.9611528822055138,1.0,0.9998355441623263,0.0
0.05,hard,opensemcom,dino+siglip2+openclip,learned_selective_risk+confirmed_fallback,3,0.24869791666666666,0.0014917238590351043,0.042606516290726815,0.005742576058841904,0.259765625,266.0,0.9573934837092732,0.9986979166666666,0.9993709988064237,0.0
0.05,hard,siglip2_best_ood,SigLIP2,best_ood:one_vs_rest,3,0.24772135416666666,0.000563818622255494,0.046365914786967416,0.0021704897337955858,0.259765625,266.0,0.9536340852130326,0.9921875,0.9997507731119791,0.0
0.05,medium,deepjscc_style,DINOv3,deepjscc,3,0.3668154761904762,0.006346250784684505,0.04458874458874459,0.004647419952295744,0.38392857142857145,344.0,0.9554112554112555,0.9939236111111112,0.984953138563368,0.0920138888888889
0.05,medium,dino_ash_energy,DINOv3,ash_energy,3,0.40959821428571425,0.0011160714285714246,0.04675324675324675,0.0025974025974025983,0.4296875,385.0,0.9532467532467533,0.9956597222222222,0.9863925509982638,0.027777777777777776
0.05,medium,dino_energy,DINOv3,energy,3,0.4148065476190476,0.007175335387643574,0.04293933914187079,0.003344570764696241,0.43340773809523814,388.3333333333333,0.9570606608581292,0.9947916666666666,0.9907124837239584,0.016493055555555556
0.05,medium,dino_mahalanobis,DINOv3,mahalanobis,3,0.3831845238095238,0.00837673381636735,0.042721658456859934,0.002406559547864933,0.40029761904761907,358.6666666666667,0.9572783415431401,0.9947916666666666,0.9889187282986112,0.07031250000000001
0.05,medium,dino_msp,DINOv3,msp,3,0.4129464285714286,0.005114481802406066,0.046377480387632675,0.004211300540376344,0.43303571428571425,388.0,0.9536225196123672,0.9947916666666666,0.9878692626953125,0.029513888888888885
0.05,medium,dino_one_vs_rest,DINOv3,one_vs_rest,3,0.42596726190476186,0.0017048272674686966,0.016173335970290286,0.016816180338057915,0.43303571428571425,388.0,0.9838266640297096,0.9947916666666666,0.9998524983723959,0.0
0.05,medium,dino_react_energy,DINOv3,react_energy,3,0.4162946428571428,0.005905694890769154,0.04604126837629376,0.0026118938804919538,0.43638392857142855,391.0,0.9539587316237063,0.9947916666666666,0.9908667670355903,0.016493055555555556
0.05,medium,dino_vim,DINOv3,vim,3,0.3898809523809524,0.014132008864004902,0.04200828142385974,0.006205207291464931,0.4069940476190476,364.6666666666667,0.9579917185761403,0.9947916666666666,0.9896291097005209,0.06684027777777778
0.05,medium,openclip_best_ood,OpenCLIP-DFN5B,best_ood:one_vs_rest,3,0.4281994047619047,0.0006443641397205461,0.02622673434856176,0.0014653560131716395,0.43973214285714285,394.0,0.9737732656514382,1.0,0.9997100830078125,0.0008680555555555555
0.05,medium,opensemcom,dino+siglip2+openclip,learned_selective_risk+confirmed_fallback,3,0.42782738095238093,0.0006443641397205461,0.03430909464968741,0.013326939165906857,0.44308035714285715,397.0,0.9656909053503125,0.9991319444444445,0.9994947645399305,0.0008680555555555555
0.05,medium,siglip2_best_ood,SigLIP2,best_ood:one_vs_rest,3,0.42485119047619047,0.003587667693821797,0.0336212883781248,0.014682310734529528,0.43973214285714285,394.0,0.9663787116218753,0.9921875,0.9997083875868055,0.0
0.05,mild,deepjscc_style,DINOv3,deepjscc,3,0.5630208333333333,0.007045702738785762,0.04584316037735849,0.004778227120069394,0.5901041666666668,377.6666666666667,0.9541568396226415,0.9939236111111112,0.9858262803819443,0.078125
0.05,mild,dino_ash_energy,DINOv3,ash_energy,3,0.5859375,0.004133986423538419,0.03917680547482185,0.009739072412653564,0.6098958333333333,390.3333333333333,0.9608231945251782,0.9956597222222222,0.9891594780815972,0.02690972222222222
0.05,mild,dino_energy,DINOv3,energy,3,0.5901041666666667,0.0032526031241658163,0.03162393162393162,0.005337605126836237,0.609375,390.0,0.9683760683760684,0.9947916666666666,0.9931403266059027,0.015625
0.05,mild,dino_mahalanobis,DINOv3,mahalanobis,3,0.56875,0.005633673867912456,0.04210758377425044,0.002672917912914934,0.59375,380.0,0.9578924162257496,0.9947916666666666,0.9898681640625,0.05295138888888889
0.05,mild,dino_msp,DINOv3,msp,3,0.5848958333333333,0.0018042195912176063,0.03516292735042735,0.010473244811033955,0.6062500000000001,388.0,0.9648370726495727,0.9947916666666666,0.99005126953125,0.028645833333333332
0.05,mild,dino_one_vs_rest,DINOv3,one_vs_rest,3,0.5968749999999999,0.001562499999999967,0.010296474358974359,0.01114451986767632,0.603125,386.0,0.9897035256410257,0.9947916666666666,0.9999932183159722,0.0
0.05,mild,dino_react_energy,DINOv3,react_energy,3,0.5901041666666667,0.0032526031241658163,0.0265892094017094,0.008872216393650177,0.6062500000000001,388.0,0.9734107905982906,0.9947916666666666,0.9931504991319443,0.014756944444444442
0.05,mild,dino_vim,DINOv3,vim,3,0.56875,0.015857643070456597,0.046327421268459006,0.0025091088994090285,0.5963541666666666,381.6666666666667,0.953672578731541,0.9947916666666666,0.9897427029079862,0.06684027777777778
0.05,mild,openclip_best_ood,OpenCLIP-DFN5B,best_ood:one_vs_rest,3,0.5994791666666667,0.0009021097956088031,0.011111111111111112,0.00970753563384662,0.6062500000000001,388.0,0.9888888888888889,1.0,0.9992913140190973,0.0008680555555555555
0.05,mild,opensemcom,dino+siglip2+openclip,learned_selective_risk+confirmed_fallback,3,0.5989583333333333,0.0009021097956088031,0.01773773385864066,0.017633188511668403,0.6098958333333333,390.3333333333333,0.9822622661413593,0.9991319444444445,0.9995490180121528,0.0008680555555555555
0.05,mild,siglip2_best_ood,SigLIP2,best_ood:one_vs_rest,3,0.5953125,0.00413398642353844,0.023914136446105756,0.005936743780183084,0.6098958333333333,390.3333333333333,0.9760858635538942,0.9921875,0.9998745388454862,0.0
0.1,extreme,deepjscc_style,DINOv3,deepjscc,3,0.0654296875,0.0068359375,0.0664211615234432,0.0327562624400412,0.0703125,72.0,0.9335788384765569,0.9855072463768115,0.9826926665422654,0.11231884057971014
