accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,backbone,coverage,detector_control,fpr95,known_id_accuracy,method,open_fraction,seed,semantic_goodput,severity,target_openout,threshold
387,377,0.9741602067183462,0.025839793281653745,10,0.5953125,0.994842529296875,DINOv3,0.6046875,energy,0.018229166666666668,0.9921875,dino_energy,0.25,2,0.5890625,mild,openout<=0.10,-5.286683405490706
312,311,0.9967948717948718,0.003205128205128205,1,0.5953125,0.9917805989583334,DINOv3,0.4875,mahalanobis,0.033854166666666664,0.9921875,dino_mahalanobis,0.25,2,0.4859375,mild,openout<=0.05,0.3602855569619771
331,328,0.9909365558912386,0.00906344410876133,3,0.5953125,0.9917805989583334,DINOv3,0.5171875,mahalanobis,0.033854166666666664,0.9921875,dino_mahalanobis,0.25,2,0.5125,mild,openout<=0.10,0.3940854072659494
294,294,1.0,0.0,0,0.5953125,0.9865010579427084,DINOv3,0.459375,vim,0.0859375,0.9921875,dino_vim,0.25,2,0.459375,mild,openout<=0.05,0.37813577950000765
308,305,0.9902597402597403,0.00974025974025974,3,0.5953125,0.9865010579427084,DINOv3,0.48125,vim,0.0859375,0.9921875,dino_vim,0.25,2,0.4765625,mild,openout<=0.10,0.40338057637214664
370,366,0.9891891891891892,0.010810810810810811,4,0.5953125,0.9949442545572916,DINOv3,0.578125,react_energy,0.015625,0.9921875,dino_react_energy,0.25,2,0.571875,mild,openout<=0.05,-5.603620714335843
388,377,0.9716494845360825,0.028350515463917526,11,0.5953125,0.9949442545572916,DINOv3,0.60625,react_energy,0.015625,0.9921875,dino_react_energy,0.25,2,0.5890625,mild,openout<=0.10,-4.835605633545061
355,351,0.9887323943661972,0.011267605633802818,4,0.596875,0.9929300944010416,DINOv3,0.5546875,ash_energy,0.0234375,0.9947916666666666,dino_ash_energy,0.25,2,0.5484375,mild,openout<=0.05,-9.188261249805638
379,370,0.9762532981530343,0.023746701846965697,9,0.596875,0.9929300944010416,DINOv3,0.5921875,ash_energy,0.0234375,0.9947916666666666,dino_ash_energy,0.25,2,0.578125,mild,openout<=0.10,-7.932093673336397
389,381,0.9794344473007712,0.02056555269922879,8,0.5953125,0.9999796549479166,DINOv3,0.6078125,one_vs_rest,0.0,0.9921875,dino_one_vs_rest,0.25,2,0.5953125,mild,openout<=0.05,0.8903096248181253
394,381,0.9670050761421319,0.03299492385786802,13,0.5953125,0.9999796549479166,DINOv3,0.615625,one_vs_rest,0.0,0.9921875,dino_one_vs_rest,0.25,2,0.5953125,mild,openout<=0.10,0.9596703443445139
266,264,0.9924812030075187,0.007518796992481203,2,0.5953125,0.9879862467447916,DINOv3,0.415625,deepjscc,0.06770833333333333,0.9921875,deepjscc_style,0.25,2,0.4125,mild,openout<=0.05,0.2163515341281891
308,303,0.9837662337662337,0.016233766233766232,5,0.5953125,0.9879862467447916,DINOv3,0.48125,deepjscc,0.06770833333333333,0.9921875,deepjscc_style,0.25,2,0.4734375,mild,openout<=0.10,0.2678733250498772
385,377,0.9792207792207792,0.02077922077922078,8,0.590625,0.9998677571614584,SigLIP2,0.6015625,best_ood:one_vs_rest,0.0,0.984375,siglip2_best_ood,0.25,2,0.5890625,mild,openout<=0.05,0.6477620983226877
391,378,0.9667519181585678,0.03324808184143223,13,0.590625,0.9998677571614584,SigLIP2,0.6109375,best_ood:one_vs_rest,0.0,0.984375,siglip2_best_ood,0.25,2,0.590625,mild,openout<=0.10,0.9417976949687251
388,383,0.9871134020618557,0.01288659793814433,5,0.6,0.9992574055989584,OpenCLIP-DFN5B,0.60625,best_ood:one_vs_rest,0.0026041666666666665,1.0,openclip_best_ood,0.25,2,0.5984375,mild,openout<=0.05,0.9343312046686679
394,383,0.9720812182741116,0.027918781725888325,11,0.6,0.9992574055989584,OpenCLIP-DFN5B,0.615625,best_ood:one_vs_rest,0.0026041666666666665,1.0,openclip_best_ood,0.25,2,0.5984375,mild,openout<=0.10,0.9837561141455249
403,383,0.9503722084367245,0.04962779156327544,20,0.42857142857142855,0.9989420572916666,dino+siglip2+openclip,0.4497767857142857,learned_selective_risk+confirmed_fallback,0.0026041666666666665,1.0,opensemcom,0.5,2,0.42745535714285715,medium,openout<=0.05,0.9275415351184404
427,383,0.8969555035128806,0.10304449648711944,44,0.42857142857142855,0.9989420572916666,dino+siglip2+openclip,0.4765625,learned_selective_risk+confirmed_fallback,0.0026041666666666665,1.0,opensemcom,0.5,2,0.42745535714285715,medium,openout<=0.10,0.984959402679362
380,364,0.9578947368421052,0.042105263157894736,16,0.4252232142857143,0.982574462890625,DINOv3,0.42410714285714285,msp,0.03125,0.9921875,dino_msp,0.5,2,0.40625,medium,openout<=0.05,0.006367045307617924
395,372,0.9417721518987342,0.05822784810126582,23,0.4252232142857143,0.982574462890625,DINOv3,0.4408482142857143,msp,0.03125,0.9921875,dino_msp,0.5,2,0.41517857142857145,medium,openout<=0.10,0.015731424485156586
384,367,0.9557291666666666,0.044270833333333336,17,0.4252232142857143,0.9864908854166666,DINOv3,0.42857142857142855,energy,0.018229166666666668,0.9921875,dino_energy,0.5,2,0.4095982142857143,medium,openout<=0.05,-6.175579557706244
407,377,0.9262899262899262,0.07371007371007371,30,0.4252232142857143,0.9864908854166666,DINOv3,0.45424107142857145,energy,0.018229166666666668,0.9921875,dino_energy,0.5,2,0.42075892857142855,medium,openout<=0.10,-5.286683405490706
348,336,0.9655172413793104,0.034482758620689655,12,0.4252232142857143,0.9901275634765625,DINOv3,0.38839285714285715,mahalanobis,0.059895833333333336,0.9921875,dino_mahalanobis,0.5,2,0.375,medium,openout<=0.05,0.3602855569619771
377,354,0.9389920424403183,0.0610079575596817,23,0.4252232142857143,0.9901275634765625,DINOv3,0.42075892857142855,mahalanobis,0.059895833333333336,0.9921875,dino_mahalanobis,0.5,2,0.3950892857142857,medium,openout<=0.10,0.3940854072659494
335,327,0.9761194029850746,0.023880597014925373,8,0.4252232142857143,0.985809326171875,DINOv3,0.37388392857142855,vim,0.0859375,0.9921875,dino_vim,0.5,2,0.36495535714285715,medium,openout<=0.05,0.37813577950000765
373,347,0.9302949061662198,0.06970509383378017,26,0.4252232142857143,0.985809326171875,DINOv3,0.41629464285714285,vim,0.0859375,0.9921875,dino_vim,0.5,2,0.3872767857142857,medium,openout<=0.10,0.40338057637214664
380,366,0.9631578947368421,0.03684210526315789,14,0.4252232142857143,0.9871877034505209,DINOv3,0.42410714285714285,react_energy,0.018229166666666668,0.9921875,dino_react_energy,0.5,2,0.40848214285714285,medium,openout<=0.05,-5.603620714335843
407,377,0.9262899262899262,0.07371007371007371,30,0.4252232142857143,0.9871877034505209,DINOv3,0.45424107142857145,react_energy,0.018229166666666668,0.9921875,dino_react_energy,0.5,2,0.42075892857142855,medium,openout<=0.10,-4.835605633545061
366,351,0.9590163934426229,0.040983606557377046,15,0.4263392857142857,0.9828898111979166,DINOv3,0.40848214285714285,ash_energy,0.028645833333333332,0.9947916666666666,dino_ash_energy,0.5,2,0.39174107142857145,medium,openout<=0.05,-9.188261249805638
395,370,0.9367088607594937,0.06329113924050633,25,0.4263392857142857,0.9828898111979166,DINOv3,0.4408482142857143,ash_energy,0.028645833333333332,0.9947916666666666,dino_ash_energy,0.5,2,0.41294642857142855,medium,openout<=0.10,-7.932093673336397
411,381,0.927007299270073,0.072992700729927,30,0.4252232142857143,0.9997762044270834,DINOv3,0.45870535714285715,one_vs_rest,0.0,0.9921875,dino_one_vs_rest,0.5,2,0.4252232142857143,medium,openout<=0.05,0.8903096248181253
420,381,0.9071428571428571,0.09285714285714286,39,0.4252232142857143,0.9997762044270834,DINOv3,0.46875,one_vs_rest,0.0,0.9921875,dino_one_vs_rest,0.5,2,0.4252232142857143,medium,openout<=0.10,0.9596703443445139
305,299,0.980327868852459,0.019672131147540985,6,0.4252232142857143,0.9860687255859375,DINOv3,0.3404017857142857,deepjscc,0.08072916666666667,0.9921875,deepjscc_style,0.5,2,0.33370535714285715,medium,openout<=0.05,0.2163515341281891
367,344,0.9373297002724795,0.06267029972752043,23,0.4252232142857143,0.9860687255859375,DINOv3,0.4095982142857143,deepjscc,0.08072916666666667,0.9921875,deepjscc_style,0.5,2,0.38392857142857145,medium,openout<=0.10,0.2678733250498772
394,377,0.9568527918781726,0.04314720812182741,17,0.421875,0.999542236328125,SigLIP2,0.43973214285714285,best_ood:one_vs_rest,0.0,0.984375,siglip2_best_ood,0.5,2,0.42075892857142855,medium,openout<=0.05,0.6477620983226877
408,378,0.9264705882352942,0.07352941176470588,30,0.421875,0.999542236328125,SigLIP2,0.45535714285714285,best_ood:one_vs_rest,0.0,0.984375,siglip2_best_ood,0.5,2,0.421875,medium,openout<=0.10,0.9417976949687251
401,383,0.9551122194513716,0.04488778054862843,18,0.42857142857142855,0.9993336995442709,OpenCLIP-DFN5B,0.44754464285714285,best_ood:one_vs_rest,0.0026041666666666665,1.0,openclip_best_ood,0.5,2,0.42745535714285715,medium,openout<=0.05,0.9343312046686679
415,383,0.9228915662650602,0.07710843373493977,32,0.42857142857142855,0.9993336995442709,OpenCLIP-DFN5B,0.46316964285714285,best_ood:one_vs_rest,0.0026041666666666665,1.0,openclip_best_ood,0.5,2,0.42745535714285715,medium,openout<=0.10,0.9837561141455249
277,256,0.924187725631769,0.07581227436823104,21,0.25,0.9998677571614584,dino+siglip2+openclip,0.2705078125,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.75,2,0.25,hard,openout<=0.05,0.9275415351184404
304,256,0.8421052631578947,0.15789473684210525,48,0.25,0.9998677571614584,dino+siglip2+openclip,0.296875,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.75,2,0.25,hard,openout<=0.10,0.984959402679362
265,243,0.9169811320754717,0.0830188679245283,22,0.2470703125,0.9857330322265625,DINOv3,0.2587890625,msp,0.03515625,0.98828125,dino_msp,0.75,2,0.2373046875,hard,openout<=0.05,0.006367045307617924
285,247,0.8666666666666667,0.13333333333333333,38,0.2470703125,0.9857330322265625,DINOv3,0.2783203125,msp,0.03515625,0.98828125,dino_msp,0.75,2,0.2412109375,hard,openout<=0.10,0.015731424485156586
268,244,0.9104477611940298,0.08955223880597014,24,0.2470703125,0.9911244710286459,DINOv3,0.26171875,energy,0.01953125,0.98828125,dino_energy,0.75,2,0.23828125,hard,openout<=0.05,-6.175579557706244
300,251,0.8366666666666667,0.16333333333333333,49,0.2470703125,0.9911244710286459,DINOv3,0.29296875,energy,0.01953125,0.98828125,dino_energy,0.75,2,0.2451171875,hard,openout<=0.10,-5.286683405490706
253,233,0.9209486166007905,0.07905138339920949,20,0.2470703125,0.9929046630859375,DINOv3,0.2470703125,mahalanobis,0.03125,0.98828125,dino_mahalanobis,0.75,2,0.2275390625,hard,openout<=0.05,0.3602855569619771
295,247,0.8372881355932204,0.16271186440677965,48,0.2470703125,0.9929046630859375,DINOv3,0.2880859375,mahalanobis,0.03125,0.98828125,dino_mahalanobis,0.75,2,0.2412109375,hard,openout<=0.10,0.3940854072659494
235,222,0.9446808510638298,0.05531914893617021,13,0.2470703125,0.9895121256510416,DINOv3,0.2294921875,vim,0.07421875,0.98828125,dino_vim,0.75,2,0.216796875,hard,openout<=0.05,0.37813577950000765
270,233,0.8629629629629629,0.13703703703703704,37,0.2470703125,0.9895121256510416,DINOv3,0.263671875,vim,0.07421875,0.98828125,dino_vim,0.75,2,0.2275390625,hard,openout<=0.10,0.40338057637214664
268,244,0.9104477611940298,0.08955223880597014,24,0.2470703125,0.9913279215494791,DINOv3,0.26171875,react_energy,0.01953125,0.98828125,dino_react_energy,0.75,2,0.23828125,hard,openout<=0.05,-5.603620714335843
301,251,0.8338870431893688,0.16611295681063123,50,0.2470703125,0.9913279215494791,DINOv3,0.2939453125,react_energy,0.01953125,0.98828125,dino_react_energy,0.75,2,0.2451171875,hard,openout<=0.10,-4.835605633545061
249,231,0.927710843373494,0.07228915662650602,18,0.248046875,0.9879862467447916,DINOv3,0.2431640625,ash_energy,0.03515625,0.9921875,dino_ash_energy,0.75,2,0.2255859375,hard,openout<=0.05,-9.188261249805638
285,246,0.8631578947368421,0.1368421052631579,39,0.248046875,0.9879862467447916,DINOv3,0.2783203125,ash_energy,0.03515625,0.9921875,dino_ash_energy,0.75,2,0.240234375,hard,openout<=0.10,-7.932093673336397
286,253,0.8846153846153846,0.11538461538461539,33,0.2470703125,0.9999542236328125,DINOv3,0.279296875,one_vs_rest,0.0,0.98828125,dino_one_vs_rest,0.75,2,0.2470703125,hard,openout<=0.05,0.8903096248181253
309,253,0.8187702265372169,0.18122977346278318,56,0.2470703125,0.9999542236328125,DINOv3,0.3017578125,one_vs_rest,0.0,0.98828125,dino_one_vs_rest,0.75,2,0.2470703125,hard,openout<=0.10,0.9596703443445139
245,226,0.9224489795918367,0.07755102040816327,19,0.2470703125,0.9889373779296875,DINOv3,0.2392578125,deepjscc,0.04296875,0.98828125,deepjscc_style,0.75,2,0.220703125,hard,openout<=0.05,0.2163515341281891
288,243,0.84375,0.15625,45,0.2470703125,0.9889373779296875,DINOv3,0.28125,deepjscc,0.04296875,0.98828125,deepjscc_style,0.75,2,0.2373046875,hard,openout<=0.10,0.2678733250498772
261,252,0.9655172413793104,0.034482758620689655,9,0.2470703125,0.999725341796875,SigLIP2,0.2548828125,best_ood:one_vs_rest,0.0,0.98828125,siglip2_best_ood,0.75,2,0.24609375,hard,openout<=0.05,0.6477620983226877
284,253,0.8908450704225352,0.10915492957746478,31,0.2470703125,0.999725341796875,SigLIP2,0.27734375,best_ood:one_vs_rest,0.0,0.98828125,siglip2_best_ood,0.75,2,0.2470703125,hard,openout<=0.10,0.9417976949687251
275,256,0.9309090909090909,0.06909090909090909,19,0.25,0.9999440511067709,OpenCLIP-DFN5B,0.2685546875,best_ood:one_vs_rest,0.0,1.0,openclip_best_ood,0.75,2,0.25,hard,openout<=0.05,0.9343312046686679
303,256,0.8448844884488449,0.1551155115511551,47,0.25,0.9999440511067709,OpenCLIP-DFN5B,0.2958984375,best_ood:one_vs_rest,0.0,1.0,openclip_best_ood,0.75,2,0.25,hard,openout<=0.10,0.9837561141455249
114,92,0.8070175438596491,0.19298245614035087,22,0.08984375,0.9997900727747714,dino+siglip2+openclip,0.111328125,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.91,2,0.08984375,extreme,openout<=0.05,0.9275415351184404
136,92,0.6764705882352942,0.3235294117647059,44,0.08984375,0.9997900727747714,dino+siglip2+openclip,0.1328125,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,0.91,2,0.08984375,extreme,openout<=0.10,0.984959402679362
99,88,0.8888888888888888,0.1111111111111111,11,0.0888671875,0.992804161224109,DINOv3,0.0966796875,msp,0.021739130434782608,0.9891304347826086,dino_msp,0.91,2,0.0859375,extreme,openout<=0.05,0.006367045307617924
118,89,0.7542372881355932,0.2457627118644068,29,0.0888671875,0.992804161224109,DINOv3,0.115234375,msp,0.021739130434782608,0.9891304347826086,dino_msp,0.91,2,0.0869140625,extreme,openout<=0.10,0.015731424485156586
106,90,0.8490566037735849,0.1509433962264151,16,0.0888671875,0.9940753871991043,DINOv3,0.103515625,energy,0.021739130434782608,0.9891304347826086,dino_energy,0.91,2,0.087890625,extreme,openout<=0.05,-6.175579557706244
