cal_goodput,cal_goodput_per_resource,cal_openout,cal_openout_upper,cal_refine_rate,cal_resource_per_sample,method,q1,q2,qr,resource_budget,route,seed,target_openout,task,threshold
0.1996527777777778,,0.004329004329004329,0.019097652162253856,,,dino_detector,,,,0.45,,0,0.02,full-open-mild,0.001830462958734503
0.2994791666666667,,0.002890173410404624,0.012801746923992054,,,ensemble_detector,,,,0.45,,0,0.02,full-open-mild,0.003146479664906919
0.0,,0.0,0.0,,,deepjscc_pca,,,,0.45,,0,0.02,full-open-mild,-9.99967099539866e-07
0.20052083333333334,,0.0,0.011509284110204302,,,witt_context_style,,,,0.45,,0,0.02,full-open-mild,0.0002673187292058734
0.20052083333333334,,0.0,0.011509284110204302,,,fixed_refine_all,,,,0.45,,0,0.02,full-open-mild,0.0002673187292058734
0.2994791666666667,,0.002890173410404624,0.012801746923992054,,,opensemcom_receiver_only,,,,0.45,,0,0.02,full-open-mild,0.0003624920335337645
0.2994791666666667,,0.002890173410404624,0.012801746923992054,,,opensemcom_no_channel,,,,0.45,,0,0.02,full-open-mild,0.00037497522950433757
0.3211805555555556,0.8205810601020183,0.00804289544235925,0.019902796211060926,0.0,0.39140624999999996,opensemcom_progressive,0.0014526703544502169,0.0014526703544502169,3.702290900395129e-07,0.45,trained_receiver_no_channel_core,0,0.02,full-open-mild,
0.1996527777777778,,0.004329004329004329,0.019097652162253856,,,dino_detector,,,,0.6,,0,0.02,full-open-mild,0.001830462958734503
0.2994791666666667,,0.002890173410404624,0.012801746923992054,,,ensemble_detector,,,,0.6,,0,0.02,full-open-mild,0.003146479664906919
0.0,,0.0,0.0,,,deepjscc_pca,,,,0.6,,0,0.02,full-open-mild,-9.99967099539866e-07
0.2994791666666667,,0.002890173410404624,0.012801746923992054,,,witt_context_style,,,,0.6,,0,0.02,full-open-mild,0.003235464892213283
0.2994791666666667,,0.002890173410404624,0.012801746923992054,,,fixed_refine_all,,,,0.6,,0,0.02,full-open-mild,0.003235464892213283
0.2994791666666667,,0.002890173410404624,0.012801746923992054,,,opensemcom_receiver_only,,,,0.6,,0,0.02,full-open-mild,0.0003624920335337645
0.2994791666666667,,0.002890173410404624,0.012801746923992054,,,opensemcom_no_channel,,,,0.6,,0,0.02,full-open-mild,0.00037497522950433757
0.3211805555555556,0.8205810601020183,0.00804289544235925,0.019902796211060926,0.0,0.39140624999999996,opensemcom_progressive,0.0014526703544502169,0.0014526703544502169,3.702290900395129e-07,0.6,trained_receiver_no_channel_core,0,0.02,full-open-mild,
0.1996527777777778,,0.004329004329004329,0.019097652162253856,,,dino_detector,,,,0.8,,0,0.02,full-open-mild,0.001830462958734503
0.2994791666666667,,0.002890173410404624,0.012801746923992054,,,ensemble_detector,,,,0.8,,0,0.02,full-open-mild,0.003146479664906919
0.0,,0.0,0.0,,,deepjscc_pca,,,,0.8,,0,0.02,full-open-mild,-9.99967099539866e-07
