accepted_samples,accuracy,adaptation_harm_rate,auroc_ood,avg_bandwidth,avg_compute,avg_energy,avg_harq_full_payload_rounds,avg_harq_refinement_rounds,avg_harq_transmissions,avg_latency,avg_power,avg_repetitions,avg_resource_cost,bandwidth_per_accepted,bandwidth_per_correct_accepted,calibration_samples,certified_accept_rate,correct_accepted_samples,coverage,dataset_manifest,decision_accept,decision_reject/open,evaluated_samples,fpr95,goodput_per_bandwidth,goodput_per_resource_cost,harq_full_payload_sample_rate,harq_hit_max_refinements_rate,harq_refined_sample_rate,name,open_semantic_outage,open_semantic_risk,open_set_f1,prediction_set_size,regime,resource_cost_per_correct_accepted,risk_latency_product,risk_per_joule,samples,seed,semantic_goodput,semantic_outage,total_bandwidth,total_compute,total_energy,total_harq_full_payload_rounds,total_harq_refinement_rounds,total_harq_transmissions,total_latency,total_power,total_repetitions,total_resource_cost,users
198.0,0.8671875,0.17391304347826086,0.5,1.2640624999999936,1.4463541666666664,5.24075520833331,1.0598958333333333,1.8229166666666667,2.8229166666666665,5.48906250000002,1.4557291666666667,3.5026041666666665,2.9796614583333336,2.451515151515139,2.463959390862932,640,0.0,197.0,0.9817708333333334,/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/manifests/opensemcom_rorqual_clip.csv,198,186,384,1.0,0.4058508446641965,0.17217420183710747,0.5572916666666666,0.484375,0.7630208333333334,channel-open_rorqual_clip_sionna_progressive_seed3_17325269_4,0.005050505050505051,0.38079525813930326,0.0,1.578125,channel-open,5.808071065989848,2.0902089716302767,0.00018921973621173444,20000,3,0.06057810578105781,0.1328125,485.3999999999976,555.3999999999999,2012.449999999991,407.0,700.0,1084.0,2107.8000000000075,559.0,1345.0,1144.19,4
202.0,0.09539473684210531,0.039647577092511016,0.9332283369076797,1.0525219298245652,1.0878563596491182,1.246162280701755,0.19736842105263158,0.35334429824561403,1.353344298245614,1.2683662280701755,1.0883360745614035,1.090734649122807,1.1486725603070176,19.007920792079275,20.53262032085569,640,0.0,187.0,0.07072368421052631,/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/manifests/opensemcom_rorqual_clip.csv,202,3446,3648,0.6354166666666666,0.048702989894780536,0.0446262639882158,0.10663377192982457,0.08717105263157894,0.15597587719298245,class-open_rorqual_clip_sionna_progressive_seed3_17325269_4,0.07425742574257425,0.8077876127907733,0.7169811320754718,0.19270833333333334,class-open,22.40832887700535,1.0245705275172445,0.00017769195177975647,20000,3,0.03339882121807466,0.9046052631578947,3839.6000000000136,3968.499999999983,4546.000000000002,720.0,1289.0,4937.0,4627.0,3970.25,3979.0,4190.3575,4
189.0,0.90625,0.08695652173913043,0.5,1.1687499999999955,1.2744791666666675,1.658333333333334,0.484375,1.0572916666666667,2.0572916666666665,1.7218749999999992,1.2643229166666667,1.2135416666666667,1.4170442708333333,2.3746031746031657,2.399999999999991,640,0.0,187.0,0.671875,/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/manifests/opensemcom_rorqual_clip.csv,189,195,384,1.0,0.41666666666666824,0.3436583998750333,0.2708333333333333,0.19010416666666666,0.5729166666666666,closed-id_rorqual_clip_sionna_progressive_seed3_17325269_4,0.010582010582010581,0.4443250365464797,0.0,0.6822916666666666,closed-id,2.9098663101604276,0.7650721723034694,0.000697746602616959,20000,3,0.1960167714884696,0.09375,448.7999999999983,489.4000000000003,636.8000000000003,186.0,406.0,790.0,661.1999999999997,485.5,466.0,544.145,4
195.0,0.09116022099447518,0.13306451612903225,0.9361262622753381,1.0506780512305418,1.0850577599196332,3.4197513812154536,0.19437468608739328,0.3437970868910095,1.3437970868910096,3.4668006027122207,1.0859492717227524,3.0904068307383223,2.021691988950277,21.455384615384705,22.738043478260966,640,0.0,184.0,0.06529382219989954,/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/manifests/opensemcom_rorqual_clip.csv,195,3787,3982,0.6302083333333334,0.04397915770352293,0.022856071035178158,0.10396785534907081,0.08613761928679056,0.14942240080361627,full-open_rorqual_clip_sionna_progressive_seed3_17325269_4,0.05641025641025641,0.9417031403278985,0.7124709250313115,0.21772978402812657,full-open,43.75205163043479,3.2646970144647494,6.915414709273049e-05,20000,3,0.01146203201893727,0.9088397790055248,4183.8000000000175,4320.699999999979,13617.449999999937,774.0,1369.0,5351.0,13804.800000000063,4324.25,12306.0,8050.377500000002,4
189.0,0.90625,0.08695652173913043,0.5,1.1687499999999955,1.2744791666666675,1.658333333333334,0.484375,1.0572916666666667,2.0572916666666665,1.7218749999999992,1.2643229166666667,1.2135416666666667,1.4170442708333333,2.3746031746031657,2.399999999999991,640,0.0,187.0,0.671875,/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/manifests/opensemcom_rorqual_clip.csv,189,195,384,1.0,0.41666666666666824,0.3436583998750333,0.2708333333333333,0.19010416666666666,0.5729166666666666,resource-open_rorqual_clip_sionna_progressive_seed3_17325269_4,0.010582010582010581,0.4443250365464797,0.0,0.6822916666666666,resource-open,2.9098663101604276,0.7650721723034694,0.000697746602616959,20000,3,0.1960167714884696,0.09375,448.7999999999983,489.4000000000003,636.8000000000003,186.0,406.0,790.0,661.1999999999997,485.5,466.0,544.145,4
189.0,0.5266544117647058,0.029850746268656716,0.9831321022727273,1.06580882352941,1.1074448529411773,1.2636029411764707,0.19761029411764705,0.4163602941176471,1.416360294117647,1.2887867647058822,1.1040900735294117,1.0873161764705883,1.1657789522058821,6.1354497354497255,6.201069518716567,640,0.0,187.0,0.43014705882352944,/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/manifests/opensemcom_rorqual_clip.csv,189,899,1088,0.0234375,0.16126250431183192,0.1474336105269175,0.11029411764705882,0.07904411764705882,0.21875,source-open_rorqual_clip_sionna_progressive_seed3_17325269_4,0.010582010582010581,0.48072824625032984,0.8717948717948718,0.7334558823529411,source-open,6.782713903743315,0.6195562011876952,0.0003496714040226431,20000,3,0.10803004043905257,0.4733455882352941,1159.599999999998,1204.900000000001,1374.8000000000002,215.0,453.0,1541.0,1402.1999999999998,1201.25,1183.0,1268.3674999999998,4
189.0,0.28515111695137974,0.06315789473684211,1.0,1.0425755584756888,1.0692509855453354,1.1660972404730618,0.12220762155059132,0.266754270696452,1.266754270696452,1.1821287779237843,1.066688567674113,1.0538764783180026,1.1052201051248358,8.395767195767187,8.485561497326195,640,0.0,187.0,0.21747700394218134,/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/manifests/opensemcom_rorqual_clip.csv,189,1333,1522,0.0,0.11784723972775409,0.1111675866230319,0.0683311432325887,0.047963206307490146,0.1445466491458607,task-open_rorqual_clip_sionna_progressive_seed3_17325269_4,0.010582010582010581,0.601575881937739,0.8014744602422327,0.8626806833114323,task-open,8.995427807486632,0.7111401621434822,0.0003389541818445678,20000,3,0.08938814531548757,0.7148488830486203,1586.7999999999984,1627.4000000000003,1774.8000000000002,186.0,406.0,1928.0,1799.1999999999998,1623.5,1604.0,1682.145,4
