coverage,goodput_proxy,run,selected,selected_open,selected_open_outage,selected_precision,threshold
0.00030120481927710846,0.00030120481927710846,full-open_dinov3_torch_power_fullopen_login_seed0_login_20260617204855,1,0,0.0,1.0,0.12412107148894498
0.010240963855421687,0.0036144578313253013,full-open_dinov3_torch_power_fullopen_login_seed0_login_20260617204855,34,8,0.6470588235294118,0.35294117647058826,0.4108049995148364
0.020180722891566263,0.00572289156626506,full-open_dinov3_torch_power_fullopen_login_seed0_login_20260617204855,67,15,0.7164179104477612,0.2835820895522388,0.424045717493703
0.030120481927710843,0.007530120481927711,full-open_dinov3_torch_power_fullopen_login_seed0_login_20260617204855,100,26,0.75,0.25,0.43374378491651555
0.04006024096385542,0.009337349397590362,full-open_dinov3_torch_power_fullopen_login_seed0_login_20260617204855,133,32,0.7669172932330827,0.23308270676691728,0.4463814504928272
0.05,0.011746987951807229,full-open_dinov3_torch_power_fullopen_login_seed0_login_20260617204855,166,44,0.7650602409638554,0.23493975903614459,0.45617439665074055
0.060240963855421686,0.014156626506024096,full-open_dinov3_torch_power_fullopen_login_seed0_login_20260617204855,200,58,0.765,0.235,0.4644019912439673
0.07018072289156627,0.01566265060240964,full-open_dinov3_torch_power_fullopen_login_seed0_login_20260617204855,233,74,0.776824034334764,0.22317596566523606,0.4726547603750704
0.08012048192771085,0.017771084337349398,full-open_dinov3_torch_power_fullopen_login_seed0_login_20260617204855,266,88,0.7781954887218046,0.22180451127819548,0.4790100232753533
0.09006024096385543,0.01957831325301205,full-open_dinov3_torch_power_fullopen_login_seed0_login_20260617204855,299,104,0.782608695652174,0.21739130434782608,0.4844772231038251
0.1,0.020481927710843374,full-open_dinov3_torch_power_fullopen_login_seed0_login_20260617204855,332,120,0.7951807228915663,0.20481927710843373,0.48922734639759496
0.11024096385542169,0.0213855421686747,full-open_dinov3_torch_power_fullopen_login_seed0_login_20260617204855,366,143,0.8087431693989071,0.19398907103825136,0.4939658349680411
0.12018072289156627,0.022590361445783132,full-open_dinov3_torch_power_fullopen_login_seed0_login_20260617204855,399,165,0.8170426065162907,0.18796992481203006,0.49850740100333035
