coverage,goodput_proxy,run,selected,selected_open,selected_open_outage,selected_precision,threshold
0.00030120481927710846,0.00030120481927710846,full-open_dinov3_torch_selective_login_seed0_login_20260617221622,1,0,0.0,1.0,0.08985439468991772
0.010240963855421687,0.00391566265060241,full-open_dinov3_torch_selective_login_seed0_login_20260617221622,34,9,0.6176470588235294,0.38235294117647056,0.13317260540093478
0.021686746987951807,0.00783132530120482,full-open_dinov3_torch_selective_login_seed0_login_20260617221622,72,16,0.6388888888888888,0.3611111111111111,0.1520520813105272
0.03102409638554217,0.009939759036144578,full-open_dinov3_torch_selective_login_seed0_login_20260617221622,103,25,0.6796116504854369,0.32038834951456313,0.16074861460656875
0.04006024096385542,0.012349397590361445,full-open_dinov3_torch_selective_login_seed0_login_20260617221622,133,39,0.6917293233082706,0.3082706766917293,0.19087994413043233
0.05,0.016566265060240965,full-open_dinov3_torch_selective_login_seed0_login_20260617221622,166,47,0.6686746987951807,0.3313253012048193,0.20902368621787656
0.060240963855421686,0.019879518072289156,full-open_dinov3_torch_selective_login_seed0_login_20260617221622,200,52,0.67,0.33,0.21512555702488617
0.07018072289156627,0.02289156626506024,full-open_dinov3_torch_selective_login_seed0_login_20260617221622,233,65,0.6738197424892703,0.3261802575107296,0.2217112819434592
0.08012048192771085,0.023493975903614458,full-open_dinov3_torch_selective_login_seed0_login_20260617221622,266,77,0.706766917293233,0.2932330827067669,0.2525891157448402
0.09006024096385543,0.025602409638554216,full-open_dinov3_torch_selective_login_seed0_login_20260617221622,299,87,0.7157190635451505,0.2842809364548495,0.2669790858126683
0.10060240963855421,0.027409638554216867,full-open_dinov3_torch_selective_login_seed0_login_20260617221622,334,97,0.7275449101796407,0.27245508982035926,0.2839229960330196
0.11114457831325301,0.029216867469879518,full-open_dinov3_torch_selective_login_seed0_login_20260617221622,369,115,0.7371273712737128,0.26287262872628725,0.29635757217988434
0.12018072289156627,0.03102409638554217,full-open_dinov3_torch_selective_login_seed0_login_20260617221622,399,127,0.7418546365914787,0.2581453634085213,0.30612635484530076
0.13012048192771083,0.03283132530120482,full-open_dinov3_torch_selective_login_seed0_login_20260617221622,432,146,0.7476851851851852,0.2523148148148148,0.33410580481549956
0.14036144578313253,0.035542168674698796,full-open_dinov3_torch_selective_login_seed0_login_20260617221622,466,153,0.7467811158798283,0.2532188841201717,0.3463968944920194
0.1503012048192771,0.03674698795180723,full-open_dinov3_torch_selective_login_seed0_login_20260617221622,499,166,0.7555110220440882,0.24448897795591182,0.3572519850587552
0.1602409638554217,0.03825301204819277,full-open_dinov3_torch_selective_login_seed0_login_20260617221622,532,180,0.7612781954887218,0.2387218045112782,0.36927920636614986
0.17048192771084336,0.04066265060240964,full-open_dinov3_torch_selective_login_seed0_login_20260617221622,566,191,0.7614840989399293,0.23851590106007067,0.434405588781804
0.18072289156626506,0.041867469879518074,full-open_dinov3_torch_selective_login_seed0_login_20260617221622,600,216,0.7683333333333333,0.23166666666666666,0.986006618388623
0.19126506024096385,0.041867469879518074,full-open_dinov3_torch_selective_login_seed0_login_20260617221622,635,251,0.7811023622047244,0.2188976377952756,0.9864981898934008
0.2033132530120482,0.04216867469879518,full-open_dinov3_torch_selective_login_seed0_login_20260617221622,675,291,0.794074074074074,0.2074074074074074,0.9868732700005773
0.2135542168674699,0.04216867469879518,full-open_dinov3_torch_selective_login_seed0_login_20260617221622,709,325,0.8039492242595204,0.19746121297602257,0.9869829819909044
0.22018072289156626,0.04216867469879518,full-open_dinov3_torch_selective_login_seed0_login_20260617221622,731,347,0.8098495212038304,0.19151846785225718,0.9870946418726353
0.23012048192771084,0.04216867469879518,full-open_dinov3_torch_selective_login_seed0_login_20260617221622,764,380,0.8180628272251309,0.18324607329842932,0.9872655256301406
0.2469879518072289,0.04216867469879518,full-open_dinov3_torch_selective_login_seed0_login_20260617221622,820,436,0.8304878048780487,0.17073170731707318,0.9873234690451723
0.252710843373494,0.0427710843373494,full-open_dinov3_torch_selective_login_seed0_login_20260617221622,839,455,0.834326579261025,0.16924910607866508,0.9873625770001577
0.2641566265060241,0.0430722891566265,full-open_dinov3_torch_selective_login_seed0_login_20260617221622,877,493,0.8415051311288484,0.1630558722919042,0.9874964804636649
