accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,coverage,fpr95,goodput_per_resource,method,refine_rate,reject_rate,resource_budget,resource_per_sample,resource_units,seed,semantic_goodput,target_openout,task
0,0,0.0,0.0,0,0.9732142857142857,0.9904811864648482,0.0,0.013089005235602094,0.0,dino_detector,0.0,1.0,0.3,0.1,89.60000000000001,0,0.0,0.01,full-open
0,0,0.0,0.0,0,0.9899553571428571,0.9992268880208334,0.0,0.0,0.0,ensemble_detector,0.0,1.0,0.3,0.1,89.60000000000001,0,0.0,0.01,full-open
0,0,0.0,0.0,0,0.9274553571428571,0.9093009199500072,0.0,0.44385026737967914,0.0,deepjscc_pca,0.0,1.0,0.3,0.1,89.60000000000001,0,0.0,0.01,full-open
0,0,0.0,0.0,0,0.9888392857142857,0.9993184407552084,0.0,0.0,0.0,witt_context_style,0.0,1.0,0.3,0.1,89.60000000000001,0,0.0,0.01,full-open
0,0,0.0,0.0,0,0.9888392857142857,0.9993184407552084,0.0,0.0,0.0,fixed_refine_all,0.0,1.0,0.3,0.1,89.60000000000001,0,0.0,0.01,full-open
0,0,0.0,0.0,0,0.42857142857142855,0.9997406005859375,0.0,0.0,0.0,opensemcom_receiver_only,0.0,1.0,0.3,0.1,89.60000000000001,0,0.0,0.01,full-open
0,0,0.0,0.0,0,0.42857142857142855,0.9997812906901041,0.0,0.0,0.0,opensemcom_no_channel,0.0,1.0,0.3,0.1,89.60000000000001,0,0.0,0.01,full-open
0,0,0.0,0.0,0,0.9732142857142857,0.9904811864648482,0.0,0.013089005235602094,0.0,opensemcom_progressive,0.0,1.0,0.3,0.1,89.60000000000001,0,0.0,0.01,full-open
0,0,0.0,0.0,0,0.9732142857142857,0.9904811864648482,0.0,0.013089005235602094,0.0,dino_detector,0.0,1.0,0.45,0.1,89.60000000000001,0,0.0,0.01,full-open
351,350,0.9971509971509972,0.002849002849002849,1,0.9899553571428571,0.9992268880208334,0.39174107142857145,0.0,0.7357578305654825,ensemble_detector,0.0,0.6082589285714286,0.45,0.5309151785714286,475.7,0,0.390625,0.01,full-open
0,0,0.0,0.0,0,0.9274553571428571,0.9093009199500072,0.0,0.44385026737967914,0.0,deepjscc_pca,0.0,1.0,0.45,0.1,89.60000000000001,0,0.0,0.01,full-open
303,303,1.0,0.0,0,0.9888392857142857,0.9993184407552084,0.33816964285714285,0.0,0.6266804550155118,witt_context_style,0.0,0.6618303571428571,0.45,0.5396205357142857,483.5,0,0.33816964285714285,0.01,full-open
0,0,0.0,0.0,0,0.9888392857142857,0.9993184407552084,0.0,0.0,0.0,fixed_refine_all,0.0,1.0,0.45,0.1,89.60000000000001,0,0.0,0.01,full-open
305,305,1.0,0.0,0,0.42857142857142855,0.9997406005859375,0.3404017857142857,0.0,0.7174782404140202,opensemcom_receiver_only,0.0,0.6595982142857143,0.45,0.47444196428571433,425.1,0,0.3404017857142857,0.01,full-open
309,309,1.0,0.0,0,0.42857142857142855,0.9997812906901041,0.34486607142857145,0.0,0.719441210710128,opensemcom_no_channel,0.0,0.6551339285714286,0.45,0.47935267857142855,429.5,0,0.34486607142857145,0.01,full-open
347,346,0.9971181556195965,0.002881844380403458,1,0.42857142857142855,0.9994710286458334,0.3872767857142857,0.0,0.739000427167877,opensemcom_progressive,0.05133928571428571,0.6127232142857143,0.45,0.5225446428571429,468.20000000000005,0,0.3861607142857143,0.01,full-open
0,0,0.0,0.0,0,0.9732142857142857,0.9904811864648482,0.0,0.013089005235602094,0.0,dino_detector,0.0,1.0,0.6,0.1,89.60000000000001,0,0.0,0.01,full-open
351,350,0.9971509971509972,0.002849002849002849,1,0.9899553571428571,0.9992268880208334,0.39174107142857145,0.0,0.7357578305654825,ensemble_detector,0.0,0.6082589285714286,0.6,0.5309151785714286,475.7,0,0.390625,0.01,full-open
0,0,0.0,0.0,0,0.9274553571428571,0.9093009199500072,0.0,0.44385026737967914,0.0,deepjscc_pca,0.0,1.0,0.6,0.1,89.60000000000001,0,0.0,0.01,full-open
348,347,0.9971264367816092,0.0028735632183908046,1,0.9888392857142857,0.9993184407552084,0.38839285714285715,0.0,0.6402214022140221,witt_context_style,0.0,0.6116071428571429,0.6,0.6049107142857143,542.0,0,0.3872767857142857,0.01,full-open
348,347,0.9971264367816092,0.0028735632183908046,1,0.9888392857142857,0.9993184407552084,0.38839285714285715,0.0,0.5673642903858731,fixed_refine_all,0.0,0.6116071428571429,0.6,0.6825892857142858,611.6,0,0.3872767857142857,0.01,full-open
305,305,1.0,0.0,0,0.42857142857142855,0.9997406005859375,0.3404017857142857,0.0,0.7174782404140202,opensemcom_receiver_only,0.0,0.6595982142857143,0.6,0.47444196428571433,425.1,0,0.3404017857142857,0.01,full-open
309,309,1.0,0.0,0,0.42857142857142855,0.9997812906901041,0.34486607142857145,0.0,0.719441210710128,opensemcom_no_channel,0.0,0.6551339285714286,0.6,0.47935267857142855,429.5,0,0.34486607142857145,0.01,full-open
368,368,1.0,0.0,0,0.9732142857142857,0.9916678550329008,0.4107142857142857,0.010471204188481676,0.6800961005359453,opensemcom_progressive,0.19866071428571427,0.5892857142857143,0.6,0.60390625,541.1,0,0.4107142857142857,0.01,full-open
0,0,0.0,0.0,0,0.9732142857142857,0.9904811864648482,0.0,0.013089005235602094,0.0,dino_detector,0.0,1.0,0.8,0.1,89.60000000000001,0,0.0,0.01,full-open
351,350,0.9971509971509972,0.002849002849002849,1,0.9899553571428571,0.9992268880208334,0.39174107142857145,0.0,0.7357578305654825,ensemble_detector,0.0,0.6082589285714286,0.8,0.5309151785714286,475.7,0,0.390625,0.01,full-open
0,0,0.0,0.0,0,0.9274553571428571,0.9093009199500072,0.0,0.44385026737967914,0.0,deepjscc_pca,0.0,1.0,0.8,0.1,89.60000000000001,0,0.0,0.01,full-open
348,347,0.9971264367816092,0.0028735632183908046,1,0.9888392857142857,0.9993184407552084,0.38839285714285715,0.0,0.6402214022140221,witt_context_style,0.0,0.6116071428571429,0.8,0.6049107142857143,542.0,0,0.3872767857142857,0.01,full-open
348,347,0.9971264367816092,0.0028735632183908046,1,0.9888392857142857,0.9993184407552084,0.38839285714285715,0.0,0.5673642903858731,fixed_refine_all,0.0,0.6116071428571429,0.8,0.6825892857142858,611.6,0,0.3872767857142857,0.01,full-open
305,305,1.0,0.0,0,0.42857142857142855,0.9997406005859375,0.3404017857142857,0.0,0.7174782404140202,opensemcom_receiver_only,0.0,0.6595982142857143,0.8,0.47444196428571433,425.1,0,0.3404017857142857,0.01,full-open
309,309,1.0,0.0,0,0.42857142857142855,0.9997812906901041,0.34486607142857145,0.0,0.719441210710128,opensemcom_no_channel,0.0,0.6551339285714286,0.8,0.47935267857142855,429.5,0,0.34486607142857145,0.01,full-open
368,368,1.0,0.0,0,0.9732142857142857,0.9916678550329008,0.4107142857142857,0.010471204188481676,0.6800961005359453,opensemcom_progressive,0.19866071428571427,0.5892857142857143,0.8,0.60390625,541.1,0,0.4107142857142857,0.01,full-open
0,0,0.0,0.0,0,0.9732142857142857,0.9904811864648482,0.0,0.013089005235602094,0.0,dino_detector,0.0,1.0,1.0,0.1,89.60000000000001,0,0.0,0.01,full-open
351,350,0.9971509971509972,0.002849002849002849,1,0.9899553571428571,0.9992268880208334,0.39174107142857145,0.0,0.7357578305654825,ensemble_detector,0.0,0.6082589285714286,1.0,0.5309151785714286,475.7,0,0.390625,0.01,full-open
0,0,0.0,0.0,0,0.9274553571428571,0.9093009199500072,0.0,0.44385026737967914,0.0,deepjscc_pca,0.0,1.0,1.0,0.1,89.60000000000001,0,0.0,0.01,full-open
348,347,0.9971264367816092,0.0028735632183908046,1,0.9888392857142857,0.9993184407552084,0.38839285714285715,0.0,0.6402214022140221,witt_context_style,0.0,0.6116071428571429,1.0,0.6049107142857143,542.0,0,0.3872767857142857,0.01,full-open
348,347,0.9971264367816092,0.0028735632183908046,1,0.9888392857142857,0.9993184407552084,0.38839285714285715,0.0,0.5673642903858731,fixed_refine_all,0.0,0.6116071428571429,1.0,0.6825892857142858,611.6,0,0.3872767857142857,0.01,full-open
