coverage,goodput_proxy,run,selected,selected_open,selected_open_outage,selected_precision,threshold
0.00030120481927710846,0.0,full-open_dinov3_torch_power_fallback_login_seed0_login_20260617205745,1,1,1.0,0.0,0.1662604538575651
0.010240963855421687,0.004819277108433735,full-open_dinov3_torch_power_fallback_login_seed0_login_20260617205745,34,5,0.5294117647058824,0.47058823529411764,0.41014107940509864
0.020180722891566263,0.00963855421686747,full-open_dinov3_torch_power_fallback_login_seed0_login_20260617205745,67,11,0.5223880597014925,0.47761194029850745,0.4214859201735207
0.030120481927710843,0.012650602409638554,full-open_dinov3_torch_power_fallback_login_seed0_login_20260617205745,100,20,0.58,0.42,0.42837415171936644
0.04006024096385542,0.01566265060240964,full-open_dinov3_torch_power_fallback_login_seed0_login_20260617205745,133,29,0.6090225563909775,0.39097744360902253,0.43670936696730295
0.05,0.02078313253012048,full-open_dinov3_torch_power_fallback_login_seed0_login_20260617205745,166,35,0.5843373493975904,0.41566265060240964,0.4495637476743023
0.060240963855421686,0.023493975903614458,full-open_dinov3_torch_power_fallback_login_seed0_login_20260617205745,200,44,0.61,0.39,0.46386908524988624
0.07018072289156627,0.02650602409638554,full-open_dinov3_torch_power_fallback_login_seed0_login_20260617205745,233,53,0.6223175965665236,0.3776824034334764,0.4711835484231079
0.08012048192771085,0.029216867469879518,full-open_dinov3_torch_power_fallback_login_seed0_login_20260617205745,266,64,0.6353383458646616,0.36466165413533835,0.4781758968709084
0.09006024096385543,0.03132530120481928,full-open_dinov3_torch_power_fallback_login_seed0_login_20260617205745,299,84,0.6521739130434783,0.34782608695652173,0.48413975823014643
0.1,0.033433734939759034,full-open_dinov3_torch_power_fallback_login_seed0_login_20260617205745,332,101,0.6656626506024096,0.33433734939759036,0.4896399398753262
0.11024096385542169,0.035542168674698796,full-open_dinov3_torch_power_fallback_login_seed0_login_20260617205745,366,122,0.6775956284153005,0.3224043715846995,0.4954071602462597
0.12018072289156627,0.03674698795180723,full-open_dinov3_torch_power_fallback_login_seed0_login_20260617205745,399,144,0.6942355889724311,0.3057644110275689,0.49947876473340935
0.13012048192771083,0.03855421686746988,full-open_dinov3_torch_power_fallback_login_seed0_login_20260617205745,432,165,0.7037037037037037,0.2962962962962963,0.5041500850727726
0.14006024096385541,0.04006024096385542,full-open_dinov3_torch_power_fallback_login_seed0_login_20260617205745,465,190,0.7139784946236559,0.2860215053763441,0.5082072166001186
0.15,0.04066265060240964,full-open_dinov3_torch_power_fallback_login_seed0_login_20260617205745,498,212,0.7289156626506024,0.2710843373493976,0.5123001900359826
0.1602409638554217,0.041867469879518074,full-open_dinov3_torch_power_fallback_login_seed0_login_20260617205745,532,239,0.7387218045112782,0.26127819548872183,0.5156466066621229
0.17018072289156627,0.0430722891566265,full-open_dinov3_torch_power_fallback_login_seed0_login_20260617205745,565,264,0.7469026548672566,0.25309734513274335,0.5188617311968274
0.18012048192771085,0.04457831325301205,full-open_dinov3_torch_power_fallback_login_seed0_login_20260617205745,598,291,0.7525083612040134,0.24749163879598662,0.5219492387728026
0.19006024096385543,0.045481927710843376,full-open_dinov3_torch_power_fallback_login_seed0_login_20260617205745,631,315,0.7606973058637084,0.2393026941362916,0.5246330272484526
0.2,0.04578313253012048,full-open_dinov3_torch_power_fallback_login_seed0_login_20260617205745,664,345,0.7710843373493976,0.2289156626506024,0.5273715671074538
0.2099397590361446,0.046686746987951805,full-open_dinov3_torch_power_fallback_login_seed0_login_20260617205745,697,373,0.7790530846484935,0.2223816355810617,0.5305597708373896
0.22018072289156626,0.04789156626506024,full-open_dinov3_torch_power_fallback_login_seed0_login_20260617205745,731,403,0.7838577291381669,0.21751025991792067,0.5327361133033103
0.23012048192771084,0.048493975903614456,full-open_dinov3_torch_power_fallback_login_seed0_login_20260617205745,764,434,0.7918848167539267,0.2107329842931937,0.5348220493438782
0.24006024096385542,0.04969879518072289,full-open_dinov3_torch_power_fallback_login_seed0_login_20260617205745,797,460,0.795483061480552,0.20702634880803011,0.5375638038114801
0.25,0.04969879518072289,full-open_dinov3_torch_power_fallback_login_seed0_login_20260617205745,830,493,0.8036144578313253,0.19879518072289157,0.5401495334975563
