auroc,fpr95,known_id_accuracy,known_subset_accuracy,method,open_fraction,samples,seed,severity
0.9903691609700521,0.015625,0.4263392857142857,0.9947916666666666,opensemcom,0.5,896,2,medium
0.9759368896484375,0.046875,0.42410714285714285,0.9895833333333334,msp,0.5,896,2,medium
0.9783579508463541,0.041666666666666664,0.42410714285714285,0.9895833333333334,energy,0.5,896,2,medium
0.978759765625,0.14322916666666666,0.42410714285714285,0.9895833333333334,mahalanobis,0.5,896,2,medium
0.96014404296875,0.23958333333333334,0.42410714285714285,0.9895833333333334,openmax,0.5,896,2,medium
0.5271479288736979,0.6640625,0.42410714285714285,0.9895833333333334,vim,0.5,896,2,medium
0.98760986328125,0.0390625,0.42410714285714285,0.9895833333333334,one_vs_rest,0.5,896,2,medium
0.9911168416341146,0.015625,0.2490234375,0.99609375,opensemcom,0.75,1024,2,hard
0.9765421549479166,0.04296875,0.2470703125,0.98828125,msp,0.75,1024,2,hard
0.9793599446614584,0.0390625,0.2470703125,0.98828125,energy,0.75,1024,2,hard
0.9802398681640625,0.12890625,0.2470703125,0.98828125,mahalanobis,0.75,1024,2,hard
0.9679133097330729,0.1953125,0.2470703125,0.98828125,openmax,0.75,1024,2,hard
0.5054601033528646,0.78125,0.2470703125,0.98828125,vim,0.75,1024,2,hard
0.9870503743489584,0.03515625,0.2470703125,0.98828125,one_vs_rest,0.75,1024,2,hard
0.989054627729054,0.010869565217391304,0.0888671875,0.9891304347826086,opensemcom,0.91,1024,2,extreme
0.977362847546184,0.06521739130434782,0.0888671875,0.9891304347826086,msp,0.91,1024,2,extreme
0.9799986004851652,0.06521739130434782,0.0888671875,0.9891304347826086,energy,0.91,1024,2,extreme
0.9771529203209554,0.14130434782608695,0.0888671875,0.9891304347826086,mahalanobis,0.91,1024,2,extreme
0.9641665889158425,0.2391304347826087,0.0888671875,0.9891304347826086,openmax,0.91,1024,2,extreme
0.5361424706101885,1.0,0.0888671875,0.9891304347826086,vim,0.91,1024,2,extreme
0.9846753125583131,0.06521739130434782,0.0888671875,0.9891304347826086,one_vs_rest,0.91,1024,2,extreme
