cal_goodput,cal_goodput_per_resource,cal_openout,cal_openout_upper,cal_refine_rate,cal_resource_per_sample,method,q1,q2,qr,resource_budget,route,seed,target_openout,task,threshold
0.2925347222222222,,0.0,0.00791781673622036,,,ensemble_detector,,,,0.45,,0,0.02,full-open,0.002406134038552529
0.0,,0.0,0.0,,,deepjscc_pca,,,,0.45,,0,0.02,full-open,-9.99967099539866e-07
0.25,,0.0,0.00925248099691217,,,witt_context_style,,,,0.45,,0,0.02,full-open,0.0008687186966857067
0.20833333333333334,,0.0,0.011082469129291077,,,fixed_refine_all,,,,0.45,,0,0.02,full-open,0.0003166290324439276
0.2907986111111111,,0.002976190476190476,0.013179564488161731,,,opensemcom_receiver_only,,,,0.45,,0,0.02,full-open,0.0003033326796755711
0.2907986111111111,,0.002976190476190476,0.013179564488161731,,,opensemcom_no_channel,,,,0.45,,0,0.02,full-open,0.0003253691647929935
0.3168402777777778,0.7849462365591398,0.005449591280653951,0.01628477923246495,0.024305555555555556,0.4036458333333333,opensemcom_progressive,0.00030484949176936253,0.0011007604000654683,0.04377872380155162,0.45,trained_receiver_dino_fusion_core,0,0.02,full-open,
0.2074652777777778,,0.004166666666666667,0.01838985173122169,,,dino_detector,,,,0.6,,0,0.02,full-open,0.002328984907941099
0.2925347222222222,,0.0,0.00791781673622036,,,ensemble_detector,,,,0.6,,0,0.02,full-open,0.002406134038552529
0.0,,0.0,0.0,,,deepjscc_pca,,,,0.6,,0,0.02,full-open,-9.99967099539866e-07
0.2916666666666667,,0.0,0.007941194533283572,,,witt_context_style,,,,0.6,,0,0.02,full-open,0.00225614609481167
0.2916666666666667,,0.0,0.007941194533283572,,,fixed_refine_all,,,,0.6,,0,0.02,full-open,0.00225614609481167
0.2907986111111111,,0.002976190476190476,0.013179564488161731,,,opensemcom_receiver_only,,,,0.6,,0,0.02,full-open,0.0003033326796755711
0.2907986111111111,,0.002976190476190476,0.013179564488161731,,,opensemcom_no_channel,,,,0.6,,0,0.02,full-open,0.0003253691647929935
0.3168402777777778,0.7849462365591398,0.005449591280653951,0.01628477923246495,0.024305555555555556,0.4036458333333333,opensemcom_progressive,0.00030484949176936253,0.0011007604000654683,0.04377872380155162,0.6,trained_receiver_dino_fusion_core,0,0.02,full-open,
0.2074652777777778,,0.004166666666666667,0.01838985173122169,,,dino_detector,,,,0.8,,0,0.02,full-open,0.002328984907941099
0.2925347222222222,,0.0,0.00791781673622036,,,ensemble_detector,,,,0.8,,0,0.02,full-open,0.002406134038552529
0.0,,0.0,0.0,,,deepjscc_pca,,,,0.8,,0,0.02,full-open,-9.99967099539866e-07
0.2916666666666667,,0.0,0.007941194533283572,,,witt_context_style,,,,0.8,,0,0.02,full-open,0.00225614609481167
0.2916666666666667,,0.0,0.007941194533283572,,,fixed_refine_all,,,,0.8,,0,0.02,full-open,0.00225614609481167
