target_openout,severity,method,backbone,detector_control,seeds,semantic_goodput_mean,semantic_goodput_std,accepted_open_outage_mean,accepted_open_outage_std,coverage_mean,accepted_mean,accepted_known_accuracy_mean,known_id_accuracy_mean,auroc_mean,fpr95_mean
0.01,extreme,dino_one_vs_rest,DINOv3,one_vs_rest,3,0.0634765625,0.0208765218031562,0.0,0.0,0.0634765625,65.0,1.0,0.9891304347826088,0.9999805622939603,0.0
0.01,extreme,openclip_best_ood,OpenCLIP-DFN5B,best_ood:one_vs_rest,3,0.080078125,0.0,0.0,0.0,0.080078125,82.0,1.0,1.0,0.9999105865522174,0.0
0.01,extreme,opensemcom,dino+siglip2+openclip,learned_selective_risk+semantic_harq_refine_no_fallback,3,0.080078125,0.0,0.0,0.0,0.080078125,82.0,1.0,1.0,0.9998872613049699,0.0
0.01,extreme,opensemcom_calibrated,dino+siglip2+openclip,mixed_open_calibration_no_fallback,3,0.080078125,0.0,0.0,0.0,0.080078125,82.0,1.0,1.0,0.9998872613049699,0.0
0.01,extreme,opensemcom_harq_refine,dino+siglip2+openclip,semantic_harq_refine_no_fallback,3,0.080078125,0.0,0.0,0.0,0.080078125,82.0,1.0,1.0,0.9998911488461778,0.0
0.01,extreme,opensemcom_risk_head,dino+siglip2+openclip,learned_risk_head_only_no_fallback,3,0.07682291666666667,0.005638186222554939,0.0,0.0,0.07682291666666667,78.66666666666667,1.0,1.0,0.9995490452198794,0.0
0.01,extreme,siglip2_best_ood,SigLIP2,best_ood:one_vs_rest,3,0.08040364583333333,0.0005638186222554939,0.0,0.0,0.08040364583333333,82.33333333333333,1.0,1.0,0.9998406108104746,0.0
0.01,hard,dino_one_vs_rest,DINOv3,one_vs_rest,3,0.2451171875,0.005940197783494355,0.006616277100271004,0.0023523179278764524,0.24674479166666666,252.66666666666666,0.993383722899729,0.9947916666666666,0.9999016655815973,0.0
0.01,hard,openclip_best_ood,OpenCLIP-DFN5B,best_ood:one_vs_rest,3,0.24837239583333334,0.000563818622255494,0.007802367055771725,1.7550774233633988e-05,0.2503255208333333,256.3333333333333,0.9921976329442282,1.0,0.9998355441623263,0.0
0.01,hard,opensemcom,dino+siglip2+openclip,learned_selective_risk+semantic_harq_refine_no_fallback,3,0.2421875,0.005167483029423029,0.0053141937669376705,0.004604965365241731,0.24348958333333334,249.33333333333334,0.9946858062330622,0.9986979166666666,0.9993709988064237,0.0
0.01,hard,opensemcom_calibrated,dino+siglip2+openclip,mixed_open_calibration_no_fallback,3,0.2421875,0.005167483029423029,0.0053141937669376705,0.004604965365241731,0.24348958333333334,249.33333333333334,0.9946858062330622,0.9986979166666666,0.9993709988064237,0.0
0.01,hard,opensemcom_harq_refine,dino+siglip2+openclip,semantic_harq_refine_no_fallback,3,0.2421875,0.005167483029423029,0.0053141937669376705,0.004604965365241731,0.24348958333333334,249.33333333333334,0.9946858062330622,0.9986979166666666,0.9993489583333334,0.0
0.01,hard,opensemcom_risk_head,dino+siglip2+openclip,learned_risk_head_only_no_fallback,3,0.23567708333333334,0.006278418464188121,0.006884413522650289,0.0024619342554729295,0.2373046875,243.0,0.9931155864773497,0.9986979166666666,0.9988505045572916,0.0013020833333333333
0.01,hard,siglip2_best_ood,SigLIP2,best_ood:one_vs_rest,3,0.2216796875,0.015347884419435265,0.008760654801444084,0.000591157283341503,0.2236328125,229.0,0.9912393451985558,0.9921875,0.9997507731119791,0.0
0.01,medium,dino_one_vs_rest,DINOv3,one_vs_rest,3,0.4203869047619047,0.01129017180468266,0.00614553475588898,0.0014317395202305817,0.42299107142857145,379.0,0.993854465244111,0.9947916666666666,0.9998524983723959,0.0
0.01,medium,openclip_best_ood,OpenCLIP-DFN5B,best_ood:one_vs_rest,3,0.4267113095238095,0.0006443641397205782,0.006926406926406926,0.0014996110888042227,0.4296875,385.0,0.9930735930735931,1.0,0.9997100830078125,0.0008680555555555555
0.01,medium,opensemcom,dino+siglip2+openclip,learned_selective_risk+semantic_harq_refine_no_fallback,3,0.4215029761904762,0.004225378233482341,0.003483927420097633,0.003960971334326315,0.42299107142857145,379.0,0.9965160725799024,0.9991319444444445,0.9994947645399305,0.0008680555555555555
0.01,medium,opensemcom_calibrated,dino+siglip2+openclip,mixed_open_calibration_no_fallback,3,0.4215029761904762,0.004225378233482341,0.003483927420097633,0.003960971334326315,0.42299107142857145,379.0,0.9965160725799024,0.9991319444444445,0.9994947645399305,0.0008680555555555555
