accepted_samples,accuracy,adaptation_harm_rate,auroc_ood,avg_bandwidth,avg_compute,avg_energy,avg_harq_full_payload_rounds,avg_harq_refinement_rounds,avg_harq_transmissions,avg_latency,avg_power,avg_repetitions,avg_resource_cost,bandwidth_per_accepted,bandwidth_per_correct_accepted,calibration_samples,certified_accept_rate,correct_accepted_samples,coverage,dataset_manifest,decision_accept,decision_reject/open,evaluated_samples,fpr95,goodput_per_bandwidth,goodput_per_resource_cost,harq_full_payload_sample_rate,harq_hit_max_refinements_rate,harq_refined_sample_rate,name,open_semantic_outage,open_semantic_risk,open_set_f1,prediction_set_size,regime,resource_cost_per_correct_accepted,risk_latency_product,risk_per_joule,samples,seed,semantic_goodput,semantic_outage,total_bandwidth,total_compute,total_energy,total_harq_full_payload_rounds,total_harq_refinement_rounds,total_harq_transmissions,total_latency,total_power,total_repetitions,total_resource_cost,users
207.0,0.8802083333333334,0.17391304347826086,0.5,1.2453124999999943,1.4135416666666665,5.06263020833331,0.96875,1.6822916666666667,2.6822916666666665,5.292187500000024,1.4205729166666667,3.4557291666666665,2.887200520833334,2.310144927536221,2.3326829268292575,640,0.0,205.0,0.90625,/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/manifests/opensemcom_rorqual_clip.csv,207,177,384,1.0,0.42869092429945826,0.18490373731041726,0.5130208333333334,0.4479166666666667,0.7135416666666666,channel-open_rorqual_clip_sionna_progressive_seed1_17325269_0,0.00966183574879227,0.31279396121574754,0.0,1.0546875,channel-open,5.408219512195123,1.6553642916214715,0.00016089810509799078,20000,1,0.06634304207119741,0.11979166666666667,478.1999999999978,542.8,1944.049999999991,372.0,646.0,1030.0,2032.2000000000091,545.5,1327.0,1108.6850000000002,4
195.0,0.0959429824561403,0.02643171806167401,0.9283048343035131,1.0571271929824606,1.0966282894736792,1.2859100877192982,0.22807017543859648,0.3950109649122807,1.3950109649122806,1.3111293859649125,1.0987527412280702,1.109375,1.1700157620614033,19.776410256410337,20.73333333333342,640,0.0,186.0,0.07291666666666667,/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/manifests/opensemcom_rorqual_clip.csv,195,3453,3648,0.6197916666666666,0.048231511254019095,0.04357791045090837,0.11869517543859649,0.10718201754385964,0.1669407894736842,class-open_rorqual_clip_sionna_progressive_seed1_17325269_0,0.046153846153846156,0.793119025333623,0.7169811320754718,0.20888157894736842,class-open,22.947405913978493,1.039881660682763,0.00016907248461599296,20000,1,0.031595039918464414,0.9040570175438597,3856.400000000016,4000.4999999999814,4691.0,832.0,1441.0,5089.0,4783.000000000001,4008.25,4047.0,4268.2175,4
189.0,0.9114583333333334,0.08695652173913043,0.5,1.1661458333333294,1.2716145833333339,1.6714843750000006,0.4921875,1.0546875,2.0546875,1.7354166666666657,1.263671875,1.2239583333333333,1.42126953125,2.369312169312161,2.407526881720422,640,0.0,186.0,0.6927083333333334,/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/manifests/opensemcom_rorqual_clip.csv,189,195,384,1.0,0.4153640017865132,0.3408044634391018,0.2682291666666667,0.2109375,0.5625,closed-id_rorqual_clip_sionna_progressive_seed1_17325269_0,0.015873015873015872,0.4088205095692749,0.0,0.703125,closed-id,2.9342338709677422,0.7094739259816788,0.0006369408889448855,20000,1,0.1935483870967742,0.08854166666666667,447.7999999999985,488.30000000000024,641.8500000000003,189.0,405.0,789.0,666.3999999999996,485.25,470.0,545.7675,4
187.0,0.09316926167754902,0.14516129032258066,0.9308824636372058,1.0541938724259206,1.0917127071823154,3.4616901054746148,0.21496735308890005,0.3751883475640382,1.375188347564038,3.512757408337541,1.0937970868910096,3.104218985434455,2.0429344550477153,22.448128342246072,23.45139664804478,640,0.0,179.0,0.06604721245605223,/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/manifests/opensemcom_rorqual_clip.csv,187,3795,3982,0.6276041666666666,0.04264138358187606,0.022003782437908456,0.110748367654445,0.10246107483676545,0.16022099447513813,full-open_rorqual_clip_sionna_progressive_seed1_17325269_0,0.0427807486631016,0.9374310409875487,0.7124709250313115,0.22250125565042692,full-open,45.44673184357543,3.2929678340345845,6.800641599683371e-05,20000,1,0.010896031166301437,0.906830738322451,4197.800000000016,4347.19999999998,13784.449999999915,856.0,1494.0,5476.0,13987.800000000087,4355.5,12361.0,8134.965000000002,4
189.0,0.9114583333333334,0.08695652173913043,0.5,1.1661458333333294,1.2716145833333339,1.6714843750000006,0.4921875,1.0546875,2.0546875,1.7354166666666657,1.263671875,1.2239583333333333,1.42126953125,2.369312169312161,2.407526881720422,640,0.0,186.0,0.6927083333333334,/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/manifests/opensemcom_rorqual_clip.csv,189,195,384,1.0,0.4153640017865132,0.3408044634391018,0.2682291666666667,0.2109375,0.5625,resource-open_rorqual_clip_sionna_progressive_seed1_17325269_0,0.015873015873015872,0.4088205095692749,0.0,0.703125,resource-open,2.9342338709677422,0.7094739259816788,0.0006369408889448855,20000,1,0.1935483870967742,0.08854166666666667,447.7999999999985,488.30000000000024,641.8500000000003,189.0,405.0,789.0,666.3999999999996,485.25,470.0,545.7675,4
189.0,0.34191176470588236,0.2537313432835821,0.9780754320549242,1.0632352941176455,1.1036764705882356,1.2606617647058824,0.19209558823529413,0.40441176470588236,1.4044117647058822,1.2852941176470585,1.1011029411764706,1.088235294117647,1.1626654411764705,6.120634920634912,6.219354838709669,640,0.0,186.0,0.24448529411764705,/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/manifests/opensemcom_rorqual_clip.csv,189,899,1088,0.08333333333333333,0.16078838174273882,0.1470378978323768,0.10386029411764706,0.08363970588235294,0.21231617647058823,source-open_rorqual_clip_sionna_progressive_seed1_17325269_0,0.015873015873015872,0.543847035743185,0.8717948717948718,0.6369485294117647,source-open,6.800967741935484,0.6990033959405053,0.00039650556703352654,20000,1,0.10813953488372093,0.6580882352941176,1156.7999999999984,1200.8000000000004,1371.6000000000001,209.0,440.0,1528.0,1398.3999999999996,1198.0,1184.0,1264.98,4
189.0,0.28909329829172137,0.25263157894736843,1.0,1.0419185282522985,1.0685282522996058,1.1694152431011828,0.12417871222076216,0.26609724047306177,1.2660972404730617,1.1855453350854137,1.0665243101182655,1.0565045992115638,1.1062861366622865,8.390476190476182,8.525806451612894,640,0.0,186.0,0.21484888304862024,/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/manifests/opensemcom_rorqual_clip.csv,189,1333,1522,0.0,0.11729095724555441,0.1104665578828431,0.06767411300919843,0.053219448094612355,0.14191852825229961,task-open_rorqual_clip_sionna_progressive_seed1_17325269_0,0.015873015873015872,0.6001481459723376,0.8014744602422327,0.44021024967148487,task-open,9.052513440860215,0.7115028348176647,0.00033719029467221254,20000,1,0.0886136255359695,0.7109067017082786,1585.7999999999984,1626.3000000000002,1779.8500000000004,189.0,405.0,1927.0,1804.3999999999996,1623.25,1608.0,1683.7675,4
