accepted,accepted_correct,accepted_open_outage,accepted_unsafe,coverage,method,seed,semantic_goodput,target_outage,threshold,top1_accuracy,top3_accuracy,top5_accuracy
1,1,0.0,0,0.007042253521126761,dino_logistic,0,0.007042253521126761,0.05,0.0001701052847057637,0.4647887323943662,0.7112676056338029,0.7676056338028169
1,1,0.0,0,0.007042253521126761,dino_logistic,0,0.007042253521126761,0.1,0.0001701052847057637,0.4647887323943662,0.7112676056338029,0.7676056338028169
1,1,0.0,0,0.007042253521126761,ensemble_logistic,0,0.007042253521126761,0.05,7.677963769284302e-05,0.4084507042253521,0.6619718309859155,0.7183098591549296
1,1,0.0,0,0.007042253521126761,ensemble_logistic,0,0.007042253521126761,0.1,7.677963769284302e-05,0.4084507042253521,0.6619718309859155,0.7183098591549296
1,1,0.0,0,0.007042253521126761,opensemcom_channel_mlp,0,0.007042253521126761,0.05,0.0005450385348335927,0.3028169014084507,0.5070422535211268,0.5985915492957746
1,1,0.0,0,0.007042253521126761,opensemcom_channel_mlp,0,0.007042253521126761,0.1,0.0005450385348335927,0.3028169014084507,0.5070422535211268,0.5985915492957746
4,4,0.0,0,0.028169014084507043,dino_logistic,1,0.028169014084507043,0.05,0.0001339611299718001,0.5211267605633803,0.7605633802816901,0.8169014084507042
49,42,0.14285714285714285,7,0.34507042253521125,dino_logistic,1,0.29577464788732394,0.1,0.013911590411374243,0.5211267605633803,0.7605633802816901,0.8169014084507042
4,4,0.0,0,0.028169014084507043,ensemble_logistic,1,0.028169014084507043,0.05,0.00017252508102008724,0.5,0.7253521126760564,0.823943661971831
4,4,0.0,0,0.028169014084507043,ensemble_logistic,1,0.028169014084507043,0.1,0.00017252508102008724,0.5,0.7253521126760564,0.823943661971831
4,4,0.0,0,0.028169014084507043,opensemcom_channel_mlp,1,0.028169014084507043,0.05,0.0011286535714682144,0.3873239436619718,0.5774647887323944,0.676056338028169
4,4,0.0,0,0.028169014084507043,opensemcom_channel_mlp,1,0.028169014084507043,0.1,0.0011286535714682144,0.3873239436619718,0.5774647887323944,0.676056338028169
2,2,0.0,0,0.014084507042253521,dino_logistic,2,0.014084507042253521,0.05,3.0472604900106837e-05,0.49295774647887325,0.7323943661971831,0.7887323943661971
2,2,0.0,0,0.014084507042253521,dino_logistic,2,0.014084507042253521,0.1,3.0472604900106837e-05,0.49295774647887325,0.7323943661971831,0.7887323943661971
5,5,0.0,0,0.035211267605633804,ensemble_logistic,2,0.035211267605633804,0.05,0.00020136116158234286,0.47183098591549294,0.6971830985915493,0.7394366197183099
5,5,0.0,0,0.035211267605633804,ensemble_logistic,2,0.035211267605633804,0.1,0.00020136116158234286,0.47183098591549294,0.6971830985915493,0.7394366197183099
0,0,0.0,0,0.0,opensemcom_channel_mlp,2,0.0,0.05,8.069114759988736e-07,0.36619718309859156,0.5563380281690141,0.6197183098591549
0,0,0.0,0,0.0,opensemcom_channel_mlp,2,0.0,0.1,8.069114759988736e-07,0.36619718309859156,0.5563380281690141,0.6197183098591549
0,0,0.0,0,0.0,dino_logistic,3,0.0,0.05,1.1195175653317846e-05,0.4859154929577465,0.7253521126760564,0.7605633802816901
0,0,0.0,0,0.0,dino_logistic,3,0.0,0.1,1.1195175653317846e-05,0.4859154929577465,0.7253521126760564,0.7605633802816901
0,0,0.0,0,0.0,ensemble_logistic,3,0.0,0.05,1.8192108155929865e-05,0.4295774647887324,0.6126760563380281,0.7605633802816901
0,0,0.0,0,0.0,ensemble_logistic,3,0.0,0.1,1.8192108155929865e-05,0.4295774647887324,0.6126760563380281,0.7605633802816901
0,0,0.0,0,0.0,opensemcom_channel_mlp,3,0.0,0.05,0.00015241564718285295,0.4084507042253521,0.6056338028169014,0.704225352112676
0,0,0.0,0,0.0,opensemcom_channel_mlp,3,0.0,0.1,0.00015241564718285295,0.4084507042253521,0.6056338028169014,0.704225352112676
0,0,0.0,0,0.0,dino_logistic,4,0.0,0.05,9.59298899630523e-06,0.5211267605633803,0.8098591549295775,0.8450704225352113
0,0,0.0,0,0.0,dino_logistic,4,0.0,0.1,9.59298899630523e-06,0.5211267605633803,0.8098591549295775,0.8450704225352113
1,1,0.0,0,0.007042253521126761,ensemble_logistic,4,0.007042253521126761,0.05,7.912048239458558e-05,0.47183098591549294,0.7746478873239436,0.8309859154929577
1,1,0.0,0,0.007042253521126761,ensemble_logistic,4,0.007042253521126761,0.1,7.912048239458558e-05,0.47183098591549294,0.7746478873239436,0.8309859154929577
0,0,0.0,0,0.0,opensemcom_channel_mlp,4,0.0,0.05,3.392083672107516e-05,0.4225352112676056,0.6690140845070423,0.7394366197183099
0,0,0.0,0,0.0,opensemcom_channel_mlp,4,0.0,0.1,3.392083672107516e-05,0.4225352112676056,0.6690140845070423,0.7394366197183099
