auroc,backbone,detector_control,fpr95,known_subset_accuracy,method,samples,seed,severity
1.0,dino+siglip2+openclip,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,640,0,mild
0.9903157552083334,DINOv3,msp,0.0234375,0.9947916666666666,dino_msp,640,0,mild
0.9932963053385416,DINOv3,energy,0.0078125,0.9947916666666666,dino_energy,640,0,mild
0.9911905924479166,DINOv3,mahalanobis,0.0546875,0.9947916666666666,dino_mahalanobis,640,0,mild
0.9924112955729166,DINOv3,vim,0.06510416666666667,0.9947916666666666,dino_vim,640,0,mild
0.993499755859375,DINOv3,react_energy,0.0078125,0.9947916666666666,dino_react_energy,640,0,mild
0.9863484700520834,DINOv3,ash_energy,0.028645833333333332,0.9947916666666666,dino_ash_energy,640,0,mild
1.0,DINOv3,one_vs_rest,0.0,0.9947916666666666,dino_one_vs_rest,640,0,mild
0.9872843424479166,DINOv3,deepjscc,0.07552083333333333,0.9921875,deepjscc_style,640,0,mild
0.999786376953125,SigLIP2,best_ood:one_vs_rest,0.0,0.9973958333333334,siglip2_best_ood,640,0,mild
1.0,OpenCLIP-DFN5B,best_ood:one_vs_rest,0.0,1.0,openclip_best_ood,640,0,mild
0.9998524983723959,dino+siglip2+openclip,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,896,0,medium
0.9902292887369791,DINOv3,msp,0.0234375,0.9947916666666666,dino_msp,896,0,medium
0.9936930338541666,DINOv3,energy,0.0078125,0.9947916666666666,dino_energy,896,0,medium
0.9913686116536459,DINOv3,mahalanobis,0.0546875,0.9947916666666666,dino_mahalanobis,896,0,medium
0.9934844970703125,DINOv3,vim,0.06510416666666667,0.9947916666666666,dino_vim,896,0,medium
0.9933369954427084,DINOv3,react_energy,0.0078125,0.9947916666666666,dino_react_energy,896,0,medium
0.9906361897786459,DINOv3,ash_energy,0.026041666666666668,0.9947916666666666,dino_ash_energy,896,0,medium
0.9997812906901041,DINOv3,one_vs_rest,0.0,0.9947916666666666,dino_one_vs_rest,896,0,medium
0.9878692626953125,DINOv3,deepjscc,0.07552083333333333,0.9921875,deepjscc_style,896,0,medium
0.999725341796875,SigLIP2,best_ood:one_vs_rest,0.0,0.9973958333333334,siglip2_best_ood,896,0,medium
0.9998982747395834,OpenCLIP-DFN5B,best_ood:one_vs_rest,0.0,1.0,openclip_best_ood,896,0,medium
0.9985758463541666,dino+siglip2+openclip,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,1024,0,hard
0.9896392822265625,DINOv3,msp,0.0234375,0.99609375,dino_msp,1024,0,hard
0.993316650390625,DINOv3,energy,0.0078125,0.99609375,dino_energy,1024,0,hard
0.9939066569010416,DINOv3,mahalanobis,0.03515625,0.99609375,dino_mahalanobis,1024,0,hard
0.9948781331380209,DINOv3,vim,0.05078125,0.99609375,dino_vim,1024,0,hard
0.9934031168619791,DINOv3,react_energy,0.0078125,0.99609375,dino_react_energy,1024,0,hard
0.9897308349609375,DINOv3,ash_energy,0.0390625,0.99609375,dino_ash_energy,1024,0,hard
0.9998677571614584,DINOv3,one_vs_rest,0.0,0.99609375,dino_one_vs_rest,1024,0,hard
0.9894307454427084,DINOv3,deepjscc,0.0546875,0.99609375,deepjscc_style,1024,0,hard
0.9996795654296875,SigLIP2,best_ood:one_vs_rest,0.0,0.99609375,siglip2_best_ood,1024,0,hard
0.9996897379557291,OpenCLIP-DFN5B,best_ood:one_vs_rest,0.0,1.0,openclip_best_ood,1024,0,hard
0.9999066990110095,dino+siglip2+openclip,learned_selective_risk+confirmed_fallback,0.0,1.0,opensemcom,1024,0,extreme
0.984185482366113,DINOv3,msp,0.043478260869565216,0.9891304347826086,dino_msp,1024,0,extreme
0.9893170367605897,DINOv3,energy,0.010869565217391304,0.9891304347826086,dino_energy,1024,0,extreme
0.9907632020899422,DINOv3,mahalanobis,0.06521739130434782,0.9891304347826086,dino_mahalanobis,1024,0,extreme
0.9938654599738758,DINOv3,vim,0.06521739130434782,0.9891304347826086,dino_vim,1024,0,extreme
