accepted_samples,accuracy,adaptation_harm_rate,auroc_ood,avg_bandwidth,avg_compute,avg_energy,avg_harq_full_payload_rounds,avg_harq_refinement_rounds,avg_harq_transmissions,avg_latency,avg_power,avg_repetitions,avg_resource_cost,bandwidth_per_accepted,bandwidth_per_correct_accepted,calibration_samples,certified_accept_rate,correct_accepted_samples,coverage,dataset_manifest,decision_accept,decision_reject/open,evaluated_samples,fpr95,goodput_per_bandwidth,goodput_per_resource_cost,harq_full_payload_sample_rate,harq_hit_max_refinements_rate,harq_refined_sample_rate,name,open_semantic_outage,open_semantic_risk,open_set_f1,prediction_set_size,regime,resource_cost_per_correct_accepted,risk_latency_product,risk_per_joule,samples,seed,semantic_goodput,semantic_outage,total_bandwidth,total_compute,total_energy,total_harq_full_payload_rounds,total_harq_refinement_rounds,total_harq_transmissions,total_latency,total_power,total_repetitions,total_resource_cost,users
110.0,0.9192708333333334,0.17391304347826086,0.5,1.0,1.0,3.0,0.0,0.0,1.0,3.0,1.0,3.0,1.8000000000000005,3.4909090909090907,3.4909090909090907,640,0.0,110.0,0.9427083333333334,/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/manifests/opensemcom_rorqual_clip.csv,110,274,384,1.0,0.2864583333333333,0.1591435185185185,0.0,0.7135416666666666,0.0,channel-open_rorqual_clip_sionna_no_refinement_seed1_17325269_1,0.0,0.2287730031252361,0.0,1.0729166666666667,channel-open,6.283636363636365,0.6863190093757083,0.00019858767632398967,20000,1,0.0954861111111111,0.08072916666666667,384.0,384.0,1152.0,0.0,0.0,384.0,1152.0,384.0,1152.0,691.2000000000002,4
78.0,0.0959429824561403,0.02643171806167401,0.9723036024305556,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,46.76923076923077,47.37662337662338,640,0.0,77.0,0.07949561403508772,/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/manifests/opensemcom_rorqual_clip.csv,78,3570,3648,0.16145833333333334,0.021107456140350877,0.021107456140350877,0.0,0.1669407894736842,0.0,class-open_rorqual_clip_sionna_no_refinement_seed1_17325269_1,0.01282051282051282,0.7482175541007903,0.7165880503144654,0.23656798245614036,class-open,47.37662337662338,0.7482175541007903,0.00020510349618990963,20000,1,0.021107456140350877,0.9040570175438597,3648.0,3648.0,3648.0,0.0,0.0,3648.0,3648.0,3648.0,3648.0,3648.0,4
78.0,0.9114583333333334,0.08695652173913043,0.5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.923076923076923,4.987012987012987,640,0.0,77.0,0.7552083333333334,/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/manifests/opensemcom_rorqual_clip.csv,78,306,384,1.0,0.20052083333333334,0.20052083333333334,0.0,0.5625,0.0,closed-id_rorqual_clip_sionna_no_refinement_seed1_17325269_1,0.01282051282051282,0.3047775121628647,0.0,0.765625,closed-id,4.987012987012987,0.3047775121628647,0.0007936914379241268,20000,1,0.20052083333333334,0.08854166666666667,384.0,384.0,384.0,0.0,0.0,384.0,384.0,384.0,384.0,384.0,4
72.0,0.09316926167754902,0.14516129032258066,0.9723761464702613,1.0,1.0,3.0,0.0,0.0,1.0,3.0,1.0,3.0,1.8000000000000003,55.30555555555556,56.08450704225352,640,0.0,71.0,0.07232546459065796,/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/manifests/opensemcom_rorqual_clip.csv,72,3910,3982,0.16666666666666666,0.01783023606228026,0.00990568670126681,0.0,0.16022099447513813,0.0,full-open_rorqual_clip_sionna_no_refinement_seed1_17325269_1,0.013888888888888888,0.8902318539917078,0.7121130792628377,0.2513812154696133,full-open,100.95211267605636,2.6706955619751236,7.452133383489937e-05,20000,1,0.005943412020760087,0.906830738322451,3982.0,3982.0,11946.0,0.0,0.0,3982.0,11946.0,3982.0,11946.0,7167.600000000001,4
78.0,0.9114583333333334,0.08695652173913043,0.5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.923076923076923,4.987012987012987,640,0.0,77.0,0.7552083333333334,/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/manifests/opensemcom_rorqual_clip.csv,78,306,384,1.0,0.20052083333333334,0.20052083333333334,0.0,0.5625,0.0,resource-open_rorqual_clip_sionna_no_refinement_seed1_17325269_1,0.01282051282051282,0.3047775121628647,0.0,0.765625,resource-open,4.987012987012987,0.3047775121628647,0.0007936914379241268,20000,1,0.20052083333333334,0.08854166666666667,384.0,384.0,384.0,0.0,0.0,384.0,384.0,384.0,384.0,384.0,4
78.0,0.34191176470588236,0.2537313432835821,0.9928903290719697,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,13.948717948717949,14.12987012987013,640,0.0,77.0,0.2665441176470588,/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/manifests/opensemcom_rorqual_clip.csv,78,1010,1088,0.03125,0.07077205882352941,0.07077205882352941,0.0,0.21231617647058823,0.0,source-open_rorqual_clip_sionna_no_refinement_seed1_17325269_1,0.01282051282051282,0.4827730970616533,0.8717948717948718,0.6636029411764706,source-open,14.12987012987013,0.4827730970616533,0.0004437252730346078,20000,1,0.07077205882352941,0.6580882352941176,1088.0,1088.0,1088.0,0.0,0.0,1088.0,1088.0,1088.0,1088.0,1088.0,4
78.0,0.28909329829172137,0.25263157894736843,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,19.512820512820515,19.766233766233768,640,0.0,77.0,0.23061760840998685,/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/manifests/opensemcom_rorqual_clip.csv,78,1444,1522,0.0,0.05059132720105125,0.05059132720105125,0.0,0.14191852825229961,0.0,task-open_rorqual_clip_sionna_no_refinement_seed1_17325269_1,0.01282051282051282,0.552197771644652,0.8014744602422327,0.4559789750328515,task-open,19.766233766233768,0.552197771644652,0.0003628106252592983,20000,1,0.05059132720105125,0.7109067017082786,1522.0,1522.0,1522.0,0.0,0.0,1522.0,1522.0,1522.0,1522.0,1522.0,4
