accepted_samples,accuracy,adaptation_harm_rate,auroc_ood,avg_bandwidth,avg_compute,avg_energy,avg_harq_full_payload_rounds,avg_harq_refinement_rounds,avg_harq_transmissions,avg_latency,avg_power,avg_repetitions,avg_resource_cost,bandwidth_per_accepted,bandwidth_per_correct_accepted,calibration_samples,certified_accept_rate,correct_accepted_samples,coverage,dataset_manifest,decision_accept,decision_reject/open,evaluated_samples,fpr95,goodput_per_bandwidth,goodput_per_resource_cost,harq_full_payload_sample_rate,harq_hit_max_refinements_rate,harq_refined_sample_rate,name,open_semantic_outage,open_semantic_risk,open_set_f1,prediction_set_size,regime,resource_cost_per_correct_accepted,risk_latency_product,risk_per_joule,samples,seed,semantic_goodput,semantic_outage,total_bandwidth,total_compute,total_energy,total_harq_full_payload_rounds,total_harq_refinement_rounds,total_harq_transmissions,total_latency,total_power,total_repetitions,total_resource_cost,users
91.0,0.9036458333333334,0.17391304347826086,0.5,1.0,1.0,3.0,0.0,0.0,1.0,3.0,1.0,3.0,1.8000000000000005,4.21978021978022,4.21978021978022,640,0.0,91.0,1.0,/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/manifests/opensemcom_rorqual_clip.csv,91,293,384,1.0,0.23697916666666666,0.13165509259259256,0.0,0.7630208333333334,0.0,channel-open_rorqual_clip_sionna_no_refinement_seed3_17325269_5,0.0,0.2839062500000001,0.0,2.5911458333333335,channel-open,7.595604395604397,0.8517187500000003,0.00024644639756944453,20000,3,0.07899305555555555,0.09635416666666667,384.0,384.0,1152.0,0.0,0.0,384.0,1152.0,384.0,1152.0,691.2000000000002,4
68.0,0.09539473684210531,0.039647577092511016,0.9703863804636438,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,53.64705882352941,54.44776119402985,640,0.0,67.0,0.07785087719298246,/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/manifests/opensemcom_rorqual_clip.csv,68,3580,3648,0.19791666666666666,0.01836622807017544,0.01836622807017544,0.0,0.15597587719298245,0.0,class-open_rorqual_clip_sionna_no_refinement_seed3_17325269_5,0.014705882352941176,0.7550624499343997,0.7169811320754718,0.22478070175438597,class-open,54.44776119402985,0.7550624499343997,0.00020697983824956133,20000,3,0.01836622807017544,0.9046052631578947,3648.0,3648.0,3648.0,0.0,0.0,3648.0,3648.0,3648.0,3648.0,3648.0,4
68.0,0.90625,0.08695652173913043,0.5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.647058823529412,5.731343283582089,640,0.0,67.0,0.7395833333333334,/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/manifests/opensemcom_rorqual_clip.csv,68,316,384,1.0,0.17447916666666666,0.17447916666666666,0.0,0.5729166666666666,0.0,closed-id_rorqual_clip_sionna_no_refinement_seed3_17325269_5,0.014705882352941176,0.3307395329641128,0.0,0.75,closed-id,5.731343283582089,0.3307395329641128,0.0008613008670940438,20000,3,0.17447916666666666,0.09375,384.0,384.0,384.0,0.0,0.0,384.0,384.0,384.0,384.0,384.0,4
68.0,0.09116022099447518,0.13306451612903225,0.970419040670743,1.0,1.0,3.0,0.0,0.0,1.0,3.0,1.0,3.0,1.8000000000000003,58.55882352941177,59.43283582089552,640,0.0,67.0,0.07157207433450527,/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/manifests/opensemcom_rorqual_clip.csv,68,3914,3982,0.19791666666666666,0.016825715720743345,0.009347619844857413,0.0,0.14942240080361627,0.0,full-open_rorqual_clip_sionna_no_refinement_seed3_17325269_5,0.014705882352941176,0.8922937352738582,0.7124709250313115,0.2491210447011552,full-open,106.97910447761195,2.6768812058215747,7.469393397571222e-05,20000,3,0.005608571906914449,0.9088397790055248,3982.0,3982.0,11946.0,0.0,0.0,3982.0,11946.0,3982.0,11946.0,7167.600000000001,4
68.0,0.90625,0.08695652173913043,0.5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.647058823529412,5.731343283582089,640,0.0,67.0,0.7395833333333334,/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/manifests/opensemcom_rorqual_clip.csv,68,316,384,1.0,0.17447916666666666,0.17447916666666666,0.0,0.5729166666666666,0.0,resource-open_rorqual_clip_sionna_no_refinement_seed3_17325269_5,0.014705882352941176,0.3307395329641128,0.0,0.75,resource-open,5.731343283582089,0.3307395329641128,0.0008613008670940438,20000,3,0.17447916666666666,0.09375,384.0,384.0,384.0,0.0,0.0,384.0,384.0,384.0,384.0,384.0,4
68.0,0.5266544117647058,0.029850746268656716,0.9922984730113636,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,16.0,16.238805970149254,640,0.0,67.0,0.45496323529411764,/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/manifests/opensemcom_rorqual_clip.csv,68,1020,1088,0.03125,0.06158088235294118,0.06158088235294118,0.0,0.21875,0.0,source-open_rorqual_clip_sionna_no_refinement_seed3_17325269_5,0.014705882352941176,0.4132914030748863,0.8717948717948718,0.7619485294117647,source-open,16.238805970149254,0.4132914030748863,0.00037986342194382936,20000,3,0.06158088235294118,0.4733455882352941,1088.0,1088.0,1088.0,0.0,0.0,1088.0,1088.0,1088.0,1088.0,1088.0,4
68.0,0.28515111695137974,0.06315789473684211,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,22.38235294117647,22.71641791044776,640,0.0,67.0,0.2345597897503285,/lustre10/scratch/nickyun/scratch/ahmed/opensemcomm/manifests/opensemcom_rorqual_clip.csv,68,1454,1522,0.0,0.04402102496714849,0.04402102496714849,0.0,0.1445466491458607,0.0,task-open_rorqual_clip_sionna_no_refinement_seed3_17325269_5,0.014705882352941176,0.5494095731388815,0.8014744602422327,0.8797634691195795,task-open,22.71641791044776,0.5494095731388815,0.00036097869457219547,20000,3,0.04402102496714849,0.7148488830486203,1522.0,1522.0,1522.0,0.0,0.0,1522.0,1522.0,1522.0,1522.0,1522.0,4
