accepted,accepted_correct,accepted_known_accuracy,accepted_open_outage,accepted_unsafe,accuracy,auroc,backbone,coverage,detector_control,fpr95,known_id_accuracy,method,open_fraction,seed,semantic_goodput,severity,threshold
90,90,1.0,0.0,0,0.72265625,0.9530436197916666,DINOv3,0.3515625,msp,0.24479166666666666,0.9635416666666666,dino_msp,0.25,0,0.3515625,mild,0.005090445525314599
103,103,1.0,0.0,0,0.72265625,0.9530436197916666,DINOv3,0.40234375,msp,0.24479166666666666,0.9635416666666666,dino_msp,0.25,0,0.40234375,mild,0.008147477612447829
115,115,1.0,0.0,0,0.72265625,0.9530436197916666,DINOv3,0.44921875,msp,0.24479166666666666,0.9635416666666666,dino_msp,0.25,0,0.44921875,mild,0.013367972477758533
128,126,0.984375,0.015625,2,0.72265625,0.9530436197916666,DINOv3,0.5,msp,0.24479166666666666,0.9635416666666666,dino_msp,0.25,0,0.4921875,mild,0.021436934446463385
142,139,0.9788732394366197,0.02112676056338028,3,0.72265625,0.9530436197916666,DINOv3,0.5546875,msp,0.24479166666666666,0.9635416666666666,dino_msp,0.25,0,0.54296875,mild,0.035083638451161026
154,149,0.9675324675324676,0.032467532467532464,5,0.72265625,0.9530436197916666,DINOv3,0.6015625,msp,0.24479166666666666,0.9635416666666666,dino_msp,0.25,0,0.58203125,mild,0.05968871507933528
166,160,0.963855421686747,0.03614457831325301,6,0.72265625,0.9530436197916666,DINOv3,0.6484375,msp,0.24479166666666666,0.9635416666666666,dino_msp,0.25,0,0.625,mild,0.09483896774271497
179,171,0.9553072625698324,0.0446927374301676,8,0.72265625,0.9530436197916666,DINOv3,0.69921875,msp,0.24479166666666666,0.9635416666666666,dino_msp,0.25,0,0.66796875,mild,0.137085395873134
192,178,0.9270833333333334,0.07291666666666667,14,0.72265625,0.9530436197916666,DINOv3,0.75,msp,0.24479166666666666,0.9635416666666666,dino_msp,0.25,0,0.6953125,mild,0.2877669033834921
205,182,0.8878048780487805,0.11219512195121951,23,0.72265625,0.9530436197916666,DINOv3,0.80078125,msp,0.24479166666666666,0.9635416666666666,dino_msp,0.25,0,0.7109375,mild,0.41783556549952927
217,184,0.847926267281106,0.15207373271889402,33,0.72265625,0.9530436197916666,DINOv3,0.84765625,msp,0.24479166666666666,0.9635416666666666,dino_msp,0.25,0,0.71875,mild,0.48604042801785846
230,185,0.8043478260869565,0.1956521739130435,45,0.72265625,0.9530436197916666,DINOv3,0.8984375,msp,0.24479166666666666,0.9635416666666666,dino_msp,0.25,0,0.72265625,mild,0.5942555347745353
243,185,0.7613168724279835,0.23868312757201646,58,0.72265625,0.9530436197916666,DINOv3,0.94921875,msp,0.24479166666666666,0.9635416666666666,dino_msp,0.25,0,0.72265625,mild,0.6463963667527479
256,185,0.72265625,0.27734375,71,0.72265625,0.9530436197916666,DINOv3,1.0,msp,0.24479166666666666,0.9635416666666666,dino_msp,0.25,0,0.72265625,mild,0.7425132098120907
1,1,1.0,0.0,0,0.72265625,0.9620768229166666,DINOv3,0.00390625,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.00390625,mild,-9.78682487331132
13,13,1.0,0.0,0,0.72265625,0.9620768229166666,DINOv3,0.05078125,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.05078125,mild,-7.576337306468171
26,26,1.0,0.0,0,0.72265625,0.9620768229166666,DINOv3,0.1015625,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.1015625,mild,-7.1544223729806085
39,39,1.0,0.0,0,0.72265625,0.9620768229166666,DINOv3,0.15234375,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.15234375,mild,-6.883470792842926
52,52,1.0,0.0,0,0.72265625,0.9620768229166666,DINOv3,0.203125,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.203125,mild,-6.63647146830922
64,64,1.0,0.0,0,0.72265625,0.9620768229166666,DINOv3,0.25,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.25,mild,-6.473386607946701
77,77,1.0,0.0,0,0.72265625,0.9620768229166666,DINOv3,0.30078125,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.30078125,mild,-6.195269015965965
90,90,1.0,0.0,0,0.72265625,0.9620768229166666,DINOv3,0.3515625,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.3515625,mild,-6.037044234381291
103,103,1.0,0.0,0,0.72265625,0.9620768229166666,DINOv3,0.40234375,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.40234375,mild,-5.6501231823759905
115,115,1.0,0.0,0,0.72265625,0.9620768229166666,DINOv3,0.44921875,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.44921875,mild,-5.293640454437016
128,127,0.9921875,0.0078125,1,0.72265625,0.9620768229166666,DINOv3,0.5,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.49609375,mild,-4.948533239156094
141,138,0.9787234042553191,0.02127659574468085,3,0.72265625,0.9620768229166666,DINOv3,0.55078125,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.5390625,mild,-4.543018876711658
154,149,0.9675324675324676,0.032467532467532464,5,0.72265625,0.9620768229166666,DINOv3,0.6015625,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.58203125,mild,-4.227412118293539
166,160,0.963855421686747,0.03614457831325301,6,0.72265625,0.9620768229166666,DINOv3,0.6484375,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.625,mild,-3.8533652604082445
179,169,0.9441340782122905,0.055865921787709494,10,0.72265625,0.9620768229166666,DINOv3,0.69921875,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.66015625,mild,-3.5054359935832164
192,178,0.9270833333333334,0.07291666666666667,14,0.72265625,0.9620768229166666,DINOv3,0.75,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.6953125,mild,-3.1894073305979376
205,183,0.8926829268292683,0.1073170731707317,22,0.72265625,0.9620768229166666,DINOv3,0.80078125,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.71484375,mild,-2.6288567859290923
217,184,0.847926267281106,0.15207373271889402,33,0.72265625,0.9620768229166666,DINOv3,0.84765625,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.71875,mild,-2.31775873563
230,185,0.8043478260869565,0.1956521739130435,45,0.72265625,0.9620768229166666,DINOv3,0.8984375,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.72265625,mild,-2.159794538779746
243,185,0.7613168724279835,0.23868312757201646,58,0.72265625,0.9620768229166666,DINOv3,0.94921875,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.72265625,mild,-2.0291297724416606
256,185,0.72265625,0.27734375,71,0.72265625,0.9620768229166666,DINOv3,1.0,energy,0.22916666666666666,0.9635416666666666,dino_energy,0.25,0,0.72265625,mild,-1.8626909107456342
13,13,1.0,0.0,0,0.72265625,0.9478352864583334,DINOv3,0.05078125,mahalanobis,0.2604166666666667,0.9635416666666666,dino_mahalanobis,0.25,0,0.05078125,mild,0.0
13,13,1.0,0.0,0,0.72265625,0.9478352864583334,DINOv3,0.05078125,mahalanobis,0.2604166666666667,0.9635416666666666,dino_mahalanobis,0.25,0,0.05078125,mild,0.00039268697449083926
26,26,1.0,0.0,0,0.72265625,0.9478352864583334,DINOv3,0.1015625,mahalanobis,0.2604166666666667,0.9635416666666666,dino_mahalanobis,0.25,0,0.1015625,mild,0.012176893114158944
39,39,1.0,0.0,0,0.72265625,0.9478352864583334,DINOv3,0.15234375,mahalanobis,0.2604166666666667,0.9635416666666666,dino_mahalanobis,0.25,0,0.15234375,mild,0.428497346897919
52,52,1.0,0.0,0,0.72265625,0.9478352864583334,DINOv3,0.203125,mahalanobis,0.2604166666666667,0.9635416666666666,dino_mahalanobis,0.25,0,0.203125,mild,0.5164047387350572
64,64,1.0,0.0,0,0.72265625,0.9478352864583334,DINOv3,0.25,mahalanobis,0.2604166666666667,0.9635416666666666,dino_mahalanobis,0.25,0,0.25,mild,0.5545463522293693
77,77,1.0,0.0,0,0.72265625,0.9478352864583334,DINOv3,0.30078125,mahalanobis,0.2604166666666667,0.9635416666666666,dino_mahalanobis,0.25,0,0.30078125,mild,0.5792643764952049
90,89,0.9888888888888889,0.011111111111111112,1,0.72265625,0.9478352864583334,DINOv3,0.3515625,mahalanobis,0.2604166666666667,0.9635416666666666,dino_mahalanobis,0.25,0,0.34765625,mild,0.6039223614554257
103,101,0.9805825242718447,0.019417475728155338,2,0.72265625,0.9478352864583334,DINOv3,0.40234375,mahalanobis,0.2604166666666667,0.9635416666666666,dino_mahalanobis,0.25,0,0.39453125,mild,0.6170334457686338
115,111,0.9652173913043478,0.034782608695652174,4,0.72265625,0.9478352864583334,DINOv3,0.44921875,mahalanobis,0.2604166666666667,0.9635416666666666,dino_mahalanobis,0.25,0,0.43359375,mild,0.6373071841683265
128,122,0.953125,0.046875,6,0.72265625,0.9478352864583334,DINOv3,0.5,mahalanobis,0.2604166666666667,0.9635416666666666,dino_mahalanobis,0.25,0,0.4765625,mild,0.6534560824722856
141,134,0.950354609929078,0.04964539007092199,7,0.72265625,0.9478352864583334,DINOv3,0.55078125,mahalanobis,0.2604166666666667,0.9635416666666666,dino_mahalanobis,0.25,0,0.5234375,mild,0.680351722968999
155,144,0.9290322580645162,0.07096774193548387,11,0.72265625,0.9478352864583334,DINOv3,0.60546875,mahalanobis,0.2604166666666667,0.9635416666666666,dino_mahalanobis,0.25,0,0.5625,mild,0.7067979004889147
166,151,0.9096385542168675,0.09036144578313253,15,0.72265625,0.9478352864583334,DINOv3,0.6484375,mahalanobis,0.2604166666666667,0.9635416666666666,dino_mahalanobis,0.25,0,0.58984375,mild,0.72681599113197
179,162,0.9050279329608939,0.09497206703910614,17,0.72265625,0.9478352864583334,DINOv3,0.69921875,mahalanobis,0.2604166666666667,0.9635416666666666,dino_mahalanobis,0.25,0,0.6328125,mild,0.7622506103834632
192,172,0.8958333333333334,0.10416666666666667,20,0.72265625,0.9478352864583334,DINOv3,0.75,mahalanobis,0.2604166666666667,0.9635416666666666,dino_mahalanobis,0.25,0,0.671875,mild,0.7840685764203721
205,182,0.8878048780487805,0.11219512195121951,23,0.72265625,0.9478352864583334,DINOv3,0.80078125,mahalanobis,0.2604166666666667,0.9635416666666666,dino_mahalanobis,0.25,0,0.7109375,mild,0.820975860250316
217,185,0.8525345622119815,0.14746543778801843,32,0.72265625,0.9478352864583334,DINOv3,0.84765625,mahalanobis,0.2604166666666667,0.9635416666666666,dino_mahalanobis,0.25,0,0.72265625,mild,0.8655535595298233
230,185,0.8043478260869565,0.1956521739130435,45,0.72265625,0.9478352864583334,DINOv3,0.8984375,mahalanobis,0.2604166666666667,0.9635416666666666,dino_mahalanobis,0.25,0,0.72265625,mild,0.9317128265837419
243,185,0.7613168724279835,0.23868312757201646,58,0.72265625,0.9478352864583334,DINOv3,0.94921875,mahalanobis,0.2604166666666667,0.9635416666666666,dino_mahalanobis,0.25,0,0.72265625,mild,0.9908416749413036
256,185,0.72265625,0.27734375,71,0.72265625,0.9478352864583334,DINOv3,1.0,mahalanobis,0.2604166666666667,0.9635416666666666,dino_mahalanobis,0.25,0,0.72265625,mild,1.0
13,13,1.0,0.0,0,0.72265625,0.9444986979166666,DINOv3,0.05078125,vim,0.2708333333333333,0.9635416666666666,dino_vim,0.25,0,0.05078125,mild,0.0
13,13,1.0,0.0,0,0.72265625,0.9444986979166666,DINOv3,0.05078125,vim,0.2708333333333333,0.9635416666666666,dino_vim,0.25,0,0.05078125,mild,0.0009495768172200769
26,26,1.0,0.0,0,0.72265625,0.9444986979166666,DINOv3,0.1015625,vim,0.2708333333333333,0.9635416666666666,dino_vim,0.25,0,0.1015625,mild,0.07040740922093391
39,39,1.0,0.0,0,0.72265625,0.9444986979166666,DINOv3,0.15234375,vim,0.2708333333333333,0.9635416666666666,dino_vim,0.25,0,0.15234375,mild,0.5115260630846026
52,52,1.0,0.0,0,0.72265625,0.9444986979166666,DINOv3,0.203125,vim,0.2708333333333333,0.9635416666666666,dino_vim,0.25,0,0.203125,mild,0.5817928910255432
64,64,1.0,0.0,0,0.72265625,0.9444986979166666,DINOv3,0.25,vim,0.2708333333333333,0.9635416666666666,dino_vim,0.25,0,0.25,mild,0.6127557307481766
77,77,1.0,0.0,0,0.72265625,0.9444986979166666,DINOv3,0.30078125,vim,0.2708333333333333,0.9635416666666666,dino_vim,0.25,0,0.30078125,mild,0.6298987269401551
90,89,0.9888888888888889,0.011111111111111112,1,0.72265625,0.9444986979166666,DINOv3,0.3515625,vim,0.2708333333333333,0.9635416666666666,dino_vim,0.25,0,0.34765625,mild,0.6447605639696121
103,101,0.9805825242718447,0.019417475728155338,2,0.72265625,0.9444986979166666,DINOv3,0.40234375,vim,0.2708333333333333,0.9635416666666666,dino_vim,0.25,0,0.39453125,mild,0.669239342212677
115,111,0.9652173913043478,0.034782608695652174,4,0.72265625,0.9444986979166666,DINOv3,0.44921875,vim,0.2708333333333333,0.9635416666666666,dino_vim,0.25,0,0.43359375,mild,0.6855702549219131
128,121,0.9453125,0.0546875,7,0.72265625,0.9444986979166666,DINOv3,0.5,vim,0.2708333333333333,0.9635416666666666,dino_vim,0.25,0,0.47265625,mild,0.6964322626590729
141,134,0.950354609929078,0.04964539007092199,7,0.72265625,0.9444986979166666,DINOv3,0.55078125,vim,0.2708333333333333,0.9635416666666666,dino_vim,0.25,0,0.5234375,mild,0.7148241400718689
155,142,0.9161290322580645,0.08387096774193549,13,0.72265625,0.9444986979166666,DINOv3,0.60546875,vim,0.2708333333333333,0.9635416666666666,dino_vim,0.25,0,0.5546875,mild,0.7382482886314392
166,150,0.9036144578313253,0.0963855421686747,16,0.72265625,0.9444986979166666,DINOv3,0.6484375,vim,0.2708333333333333,0.9635416666666666,dino_vim,0.25,0,0.5859375,mild,0.7596294432878494
179,162,0.9050279329608939,0.09497206703910614,17,0.72265625,0.9444986979166666,DINOv3,0.69921875,vim,0.2708333333333333,0.9635416666666666,dino_vim,0.25,0,0.6328125,mild,0.7835629880428314
192,173,0.9010416666666666,0.09895833333333333,19,0.72265625,0.9444986979166666,DINOv3,0.75,vim,0.2708333333333333,0.9635416666666666,dino_vim,0.25,0,0.67578125,mild,0.807264968752861
205,182,0.8878048780487805,0.11219512195121951,23,0.72265625,0.9444986979166666,DINOv3,0.80078125,vim,0.2708333333333333,0.9635416666666666,dino_vim,0.25,0,0.7109375,mild,0.8300147652626038
217,185,0.8525345622119815,0.14746543778801843,32,0.72265625,0.9444986979166666,DINOv3,0.84765625,vim,0.2708333333333333,0.9635416666666666,dino_vim,0.25,0,0.72265625,mild,0.8725249320268631
230,185,0.8043478260869565,0.1956521739130435,45,0.72265625,0.9444986979166666,DINOv3,0.8984375,vim,0.2708333333333333,0.9635416666666666,dino_vim,0.25,0,0.72265625,mild,0.9317234754562378
243,185,0.7613168724279835,0.23868312757201646,58,0.72265625,0.9444986979166666,DINOv3,0.94921875,vim,0.2708333333333333,0.9635416666666666,dino_vim,0.25,0,0.72265625,mild,0.9964860826730729
256,185,0.72265625,0.27734375,71,0.72265625,0.9444986979166666,DINOv3,1.0,vim,0.2708333333333333,0.9635416666666666,dino_vim,0.25,0,0.72265625,mild,1.0
1,1,1.0,0.0,0,0.72265625,0.9615885416666666,DINOv3,0.00390625,react_energy,0.25,0.9635416666666666,dino_react_energy,0.25,0,0.00390625,mild,-8.933571290747507
14,14,1.0,0.0,0,0.72265625,0.9615885416666666,DINOv3,0.0546875,react_energy,0.25,0.9635416666666666,dino_react_energy,0.25,0,0.0546875,mild,-6.727987723849788
26,26,1.0,0.0,0,0.72265625,0.9615885416666666,DINOv3,0.1015625,react_energy,0.25,0.9635416666666666,dino_react_energy,0.25,0,0.1015625,mild,-6.450789570981163
39,39,1.0,0.0,0,0.72265625,0.9615885416666666,DINOv3,0.15234375,react_energy,0.25,0.9635416666666666,dino_react_energy,0.25,0,0.15234375,mild,-6.2618314976356535
52,52,1.0,0.0,0,0.72265625,0.9615885416666666,DINOv3,0.203125,react_energy,0.25,0.9635416666666666,dino_react_energy,0.25,0,0.203125,mild,-5.991475592979446
64,64,1.0,0.0,0,0.72265625,0.9615885416666666,DINOv3,0.25,react_energy,0.25,0.9635416666666666,dino_react_energy,0.25,0,0.25,mild,-5.783969380454552
78,78,1.0,0.0,0,0.72265625,0.9615885416666666,DINOv3,0.3046875,react_energy,0.25,0.9635416666666666,dino_react_energy,0.25,0,0.3046875,mild,-5.635665508039064
90,90,1.0,0.0,0,0.72265625,0.9615885416666666,DINOv3,0.3515625,react_energy,0.25,0.9635416666666666,dino_react_energy,0.25,0,0.3515625,mild,-5.415935961516783
103,103,1.0,0.0,0,0.72265625,0.9615885416666666,DINOv3,0.40234375,react_energy,0.25,0.9635416666666666,dino_react_energy,0.25,0,0.40234375,mild,-5.046585895439215
115,115,1.0,0.0,0,0.72265625,0.9615885416666666,DINOv3,0.44921875,react_energy,0.25,0.9635416666666666,dino_react_energy,0.25,0,0.44921875,mild,-4.729703324105147
128,128,1.0,0.0,0,0.72265625,0.9615885416666666,DINOv3,0.5,react_energy,0.25,0.9635416666666666,dino_react_energy,0.25,0,0.5,mild,-4.465994382600566
141,140,0.9929078014184397,0.0070921985815602835,1,0.72265625,0.9615885416666666,DINOv3,0.55078125,react_energy,0.25,0.9635416666666666,dino_react_energy,0.25,0,0.546875,mild,-4.159407895178653
154,149,0.9675324675324676,0.032467532467532464,5,0.72265625,0.9615885416666666,DINOv3,0.6015625,react_energy,0.25,0.9635416666666666,dino_react_energy,0.25,0,0.58203125,mild,-3.8102076125619715
166,159,0.9578313253012049,0.04216867469879518,7,0.72265625,0.9615885416666666,DINOv3,0.6484375,react_energy,0.25,0.9635416666666666,dino_react_energy,0.25,0,0.62109375,mild,-3.4888782725929017
179,168,0.9385474860335196,0.061452513966480445,11,0.72265625,0.9615885416666666,DINOv3,0.69921875,react_energy,0.25,0.9635416666666666,dino_react_energy,0.25,0,0.65625,mild,-3.171904326843112
192,177,0.921875,0.078125,15,0.72265625,0.9615885416666666,DINOv3,0.75,react_energy,0.25,0.9635416666666666,dino_react_energy,0.25,0,0.69140625,mild,-2.9589403504376928
205,184,0.8975609756097561,0.1024390243902439,21,0.72265625,0.9615885416666666,DINOv3,0.80078125,react_energy,0.25,0.9635416666666666,dino_react_energy,0.25,0,0.71875,mild,-2.435505904413323
217,184,0.847926267281106,0.15207373271889402,33,0.72265625,0.9615885416666666,DINOv3,0.84765625,react_energy,0.25,0.9635416666666666,dino_react_energy,0.25,0,0.71875,mild,-2.19994733635949
230,185,0.8043478260869565,0.1956521739130435,45,0.72265625,0.9615885416666666,DINOv3,0.8984375,react_energy,0.25,0.9635416666666666,dino_react_energy,0.25,0,0.72265625,mild,-2.092301951809059
243,185,0.7613168724279835,0.23868312757201646,58,0.72265625,0.9615885416666666,DINOv3,0.94921875,react_energy,0.25,0.9635416666666666,dino_react_energy,0.25,0,0.72265625,mild,-1.9886756267348944
256,185,0.72265625,0.27734375,71,0.72265625,0.9615885416666666,DINOv3,1.0,react_energy,0.25,0.9635416666666666,dino_react_energy,0.25,0,0.72265625,mild,-1.8304223850886001
1,1,1.0,0.0,0,0.7265625,0.9645182291666666,DINOv3,0.00390625,ash_energy,0.18229166666666666,0.96875,dino_ash_energy,0.25,0,0.00390625,mild,-13.39228447248694
13,13,1.0,0.0,0,0.7265625,0.9645182291666666,DINOv3,0.05078125,ash_energy,0.18229166666666666,0.96875,dino_ash_energy,0.25,0,0.05078125,mild,-10.97903807693029
27,27,1.0,0.0,0,0.7265625,0.9645182291666666,DINOv3,0.10546875,ash_energy,0.18229166666666666,0.96875,dino_ash_energy,0.25,0,0.10546875,mild,-10.007208503506888
39,39,1.0,0.0,0,0.7265625,0.9645182291666666,DINOv3,0.15234375,ash_energy,0.18229166666666666,0.96875,dino_ash_energy,0.25,0,0.15234375,mild,-9.521867551750548
53,53,1.0,0.0,0,0.7265625,0.9645182291666666,DINOv3,0.20703125,ash_energy,0.18229166666666666,0.96875,dino_ash_energy,0.25,0,0.20703125,mild,-9.307224648405809
64,64,1.0,0.0,0,0.7265625,0.9645182291666666,DINOv3,0.25,ash_energy,0.18229166666666666,0.96875,dino_ash_energy,0.25,0,0.25,mild,-9.1351304019672
77,77,1.0,0.0,0,0.7265625,0.9645182291666666,DINOv3,0.30078125,ash_energy,0.18229166666666666,0.96875,dino_ash_energy,0.25,0,0.30078125,mild,-8.581676399726362
90,90,1.0,0.0,0,0.7265625,0.9645182291666666,DINOv3,0.3515625,ash_energy,0.18229166666666666,0.96875,dino_ash_energy,0.25,0,0.3515625,mild,-8.400401377976658
