accepted_known_accuracy_mean,accepted_known_accuracy_std,accepted_mean,accepted_open_outage_mean,accepted_open_outage_std,accepted_std,auroc_mean,auroc_std,backbone,coverage_mean,coverage_std,detector_control,fpr95_mean,fpr95_std,goodput_per_resource_proxy_mean,goodput_per_resource_proxy_std,method,refine_rate_mean,refine_rate_std,reject_rate_mean,reject_rate_std,resource_units_proxy_mean,resource_units_proxy_std,seeds,semantic_goodput_mean,semantic_goodput_std,severity,target_openout
0.9956392169728784,0.004004845457846242,383.0,0.00436078302712161,0.0040048454578462435,1.7320508075688772,0.996980455186632,0.0031225278025080257,dino+siglip2+openclip,0.5984375000000001,0.002706329386826345,learned_selective_risk+semantic_harq_refine,0.001736111111111111,0.0015035163260146505,0.9284899143506257,0.005984551139639343,opensemcom,0.0020833333333333333,0.0009021097956087903,0.39947916666666666,0.0018042195912175742,410.7,0.6928203230275772,3,0.5958333333333333,0.004773516348912352,mild,openout<=0.01
0.9956459435626103,0.00299517129269875,382.0,0.0043540564373897705,0.002995171292698747,3.4641016151377544,0.9991997612847223,0.0007228460816715724,dino+siglip2+openclip,0.5968749999999999,0.005412658773652755,learned_risk_head_only,0.0026041666666666665,0.0026041666666666665,0.921356755533488,0.007821450773363749,opensemcom_risk_head,0.005208333333333333,0.003932205435036849,0.3979166666666667,0.00238675817445617,412.8,1.5394804318340682,3,0.5942708333333333,0.0047735163489122925,mild,openout<=0.01
0.9965002204585538,0.0030311798515084126,382.0,0.0034997795414462075,0.003031179851508386,3.4641016151377544,0.9995524088541666,0.0004581026305825888,dino+siglip2+openclip,0.5968749999999999,0.005412658773652755,mixed_open_calibration,0.0008680555555555555,0.0015035163260146505,0.9221842847003875,0.010308736786107513,opensemcom_calibrated,0.005208333333333333,0.0032526031241658323,0.3979166666666667,0.0054873196629441285,412.8,3.750999866702222,3,0.5947916666666667,0.006505206248331651,mild,openout<=0.01
0.9956392169728784,0.004004845457846242,383.0,0.00436078302712161,0.0040048454578462435,1.7320508075688772,0.9969770643446182,0.0031222129575031086,dino+siglip2+openclip,0.5984375000000001,0.002706329386826345,semantic_harq_refine,0.001736111111111111,0.0015035163260146505,0.9284899143506257,0.005984551139639343,opensemcom_harq_refine,0.0020833333333333333,0.0009021097956087903,0.39947916666666666,0.0018042195912175742,410.7,0.6928203230275772,3,0.5958333333333333,0.004773516348912352,mild,openout<=0.01
0.9956321649029981,0.001527940906012721,382.0,0.004367835097001764,0.0015279409060126726,3.4641016151377544,0.9999864366319445,1.553879019828637e-05,DINOv3,0.5968749999999999,0.005412658773652755,one_vs_rest,0.0,0.0,0.9158651700424598,0.009435666680430528,dino_one_vs_rest,0.0078125,0.004133986423538423,0.3953125,0.0078125,415.3,5.793962374748404,3,0.5942708333333333,0.005915529526875267,mild,openout<=0.01
0.9965277777777777,0.0030070326520293222,384.0,0.003472222222222222,0.003007032652029301,0.0,0.9992201063368055,0.0007635043843043155,OpenCLIP-DFN5B,0.6,0.0,best_ood:one_vs_rest,0.0008680555555555555,0.0015035163260146505,0.9285802831993365,0.0010981546623788593,openclip_best_ood,0.0026041666666666665,0.0018042195912175802,0.39739583333333334,0.0018042195912175742,412.1000000000001,1.7320508075688772,3,0.5979166666666667,0.001804219591217542,mild,openout<=0.01
0.9935228106319552,0.0033495943398011313,365.0,0.006477189368044825,0.003349594339801148,22.516660498395403,0.999881320529514,7.635043843043228e-05,SigLIP2,0.5703125,0.03518228202874281,best_ood:one_vs_rest,0.0,0.0,0.8673858530862647,0.08250405555613945,siglip2_best_ood,0.02760416666666667,0.03564190023109506,0.40208333333333335,0.0009021097956088031,419.0,13.96316583014037,3,0.5666666666666668,0.0361182050991371,mild,openout<=0.01
0.9934621710526316,0.0018026570901959567,382.0,0.0065378289473684206,0.0018026570901959684,2.8284271247461903,0.9968884785970051,0.0011994431128220034,dino+siglip2+openclip,0.4263392857142857,0.0031567267017256475,learned_selective_risk+semantic_harq_refine,0.0013020833333333333,0.0018414239093399675,0.8651512228505476,0.001907298121640784,opensemcom,0.00390625,0.0007891816754314146,0.5697544642857142,0.002367545026294255,438.65,1.4849242404918062,2,0.42354910714285715,0.002367545026294255,medium,openout<=0.01
0.9937943262411347,0.00153550603507877,376.0,0.006205673758865248,0.0015355060350787915,0.0,0.9991624620225695,0.0005138468383289311,dino+siglip2+openclip,0.41964285714285715,0.0,learned_risk_head_only,0.0026041666666666665,0.0026041666666666665,0.8257863292061417,0.0028532057580132864,opensemcom_risk_head,0.018229166666666664,0.0006443641397205641,0.5621279761904762,0.0006443641397205461,452.5,0.8660254037844386,3,0.4170386904761905,0.0006443641397205782,medium,openout<=0.01
0.9965160725799024,0.00396097133432632,379.0,0.003483927420097633,0.003960971334326315,5.196152422706632,0.9994998508029515,0.0004919321826513095,dino+siglip2+openclip,0.42299107142857145,0.005799277257485076,mixed_open_calibration,0.0008680555555555555,0.0015035163260146505,0.8598941930949615,0.004865685549618808,opensemcom_calibrated,0.006324404761904761,0.002323287945832737,0.5706845238095238,0.004510548978043933,439.2,3.3719430600174585,3,0.4215029761904762,0.004225378233482341,medium,openout<=0.01
