method,target_outage,n_seeds,top1_accuracy_mean,top1_accuracy_std,top1_accuracy_ci95,top3_accuracy_mean,top3_accuracy_std,top3_accuracy_ci95,top5_accuracy_mean,top5_accuracy_std,top5_accuracy_ci95,semantic_goodput_mean,semantic_goodput_std,semantic_goodput_ci95,coverage_mean,coverage_std,coverage_ci95,accepted_open_outage_mean,accepted_open_outage_std,accepted_open_outage_ci95,accepted_mean,accepted_std,accepted_ci95
dino_logistic,0.05,5,0.4971830985915493,0.02419093526382769,0.021204289670172485,0.747887323943662,0.039019423034352296,0.03420203228027208,0.7957746478873238,0.03521126760563381,0.030864036872532315,0.009859154929577466,0.011783944035691205,0.010329082363488626,0.009859154929577466,0.011783944035691205,0.010329082363488626,0.0,0.0,0.0,1.4,1.6733200530681511,1.466729695615385
dino_logistic,0.1,5,0.4971830985915493,0.02419093526382769,0.021204289670172485,0.747887323943662,0.039019423034352296,0.03420203228027208,0.7957746478873238,0.03521126760563381,0.030864036872532315,0.06338028169014084,0.13004355853957314,0.11398820487673984,0.0732394366197183,0.15207028621663707,0.1332954829565939,0.02857142857142857,0.06388765649999399,0.056,10.4,21.593980642762464,18.927958579836336
ensemble_logistic,0.05,5,0.4563380281690141,0.03672790087438112,0.03219342454618813,0.6943661971830986,0.061513993808232276,0.05391939291530174,0.7746478873239436,0.050537676388758175,0.044298226493418545,0.015492957746478875,0.01526724182301324,0.013382327493712683,0.015492957746478875,0.01526724182301324,0.013382327493712683,0.0,0.0,0.0,2.2,2.16794833886788,1.9002905041072007
ensemble_logistic,0.1,5,0.4563380281690141,0.03672790087438112,0.03219342454618813,0.6943661971830986,0.061513993808232276,0.05391939291530174,0.7746478873239436,0.050537676388758175,0.044298226493418545,0.015492957746478875,0.01526724182301324,0.013382327493712683,0.015492957746478875,0.01526724182301324,0.013382327493712683,0.0,0.0,0.0,2.2,2.16794833886788,1.9002905041072007
opensemcom_channel_mlp,0.05,5,0.3774647887323943,0.04687200364026405,0.041085122661449223,0.5830985915492958,0.06004527816138649,0.052632006889123555,0.6676056338028169,0.058370044465076355,0.05116359981124966,0.007042253521126761,0.012197540898372376,0.01069161599798104,0.007042253521126761,0.012197540898372376,0.01069161599798104,0.0,0.0,0.0,1.0,1.7320508075688772,1.5182094717133072
opensemcom_channel_mlp,0.1,5,0.3774647887323943,0.04687200364026405,0.041085122661449223,0.5830985915492958,0.06004527816138649,0.052632006889123555,0.6676056338028169,0.058370044465076355,0.05116359981124966,0.007042253521126761,0.012197540898372376,0.01069161599798104,0.007042253521126761,0.012197540898372376,0.01069161599798104,0.0,0.0,0.0,1.0,1.7320508075688772,1.5182094717133072
