task,target_openout,resource_budget,method,n_seeds,semantic_goodput_mean,semantic_goodput_std,semantic_goodput_ci95,accepted_open_outage_mean,accepted_open_outage_std,accepted_open_outage_ci95,coverage_mean,coverage_std,coverage_ci95,accepted_known_accuracy_mean,accepted_known_accuracy_std,accepted_known_accuracy_ci95,accepted_mean,accepted_std,accepted_ci95,resource_per_sample_mean,resource_per_sample_std,resource_per_sample_ci95,goodput_per_resource_mean,goodput_per_resource_std,goodput_per_resource_ci95,refine_rate_mean,refine_rate_std,refine_rate_ci95,reject_rate_mean,reject_rate_std,reject_rate_ci95,accuracy_mean,accuracy_std,accuracy_ci95
full-open,0.05,0.6,opensemcom_progressive,3,0.4233630952380952,0.0023232879458327557,0.0026290478050258466,0.024566441638695608,0.018193761063409974,0.0205881787811617,0.43415178571428575,0.010228963604812137,0.011575161985907577,0.9754335583613044,0.018193761063409954,0.020588178781161683,389.0,9.16515138991168,10.371345139373195,0.5803571428571428,0.06945614781449024,0.07859703024963793,0.7366736769418908,0.09008026153802254,0.10193541196539245,0.08407738095238095,0.06529097348925937,0.07388369179456618,0.5658482142857143,0.010228963604812132,0.011575161985907571,0.9732142857142856,0.0033482142857143016,0.0037888611415569373
full-open,0.05,0.6,ensemble_detector,3,0.41592261904761907,0.007261615065455051,0.008217291009072154,0.0061544942389860245,0.0055052852554660185,0.0062298167314496075,0.41852678571428575,0.009135438361464783,0.010337721682427576,0.9938455057610139,0.005505285255466012,0.0062298167314496005,375.0,8.18535277187245,9.262598627455114,0.5603794642857142,0.010048982197611222,0.011371493850670288,0.7422226872832617,0.0022390890387543436,0.002533767772158147,0.0,0.0,0.0,0.5814732142857143,0.009135438361464758,0.010337721682427548,0.9847470238095237,0.007175335387643554,0.008119656362460434
full-open,0.05,0.6,fixed_refine_all,3,0.41592261904761907,0.007261615065455051,0.008217291009072154,0.0061544942389860245,0.0055052852554660185,0.0062298167314496075,0.41852678571428575,0.009135438361464783,0.010337721682427576,0.9938455057610139,0.005505285255466012,0.0062298167314496005,375.0,8.18535277187245,9.262598627455114,0.7277901785714286,0.013703157542197192,0.015506582523641383,0.5714988578648739,0.001922472251556817,0.002175482149013992,0.0,0.0,0.0,0.5814732142857143,0.009135438361464758,0.010337721682427548,0.9836309523809524,0.007175335387643554,0.008119656362460434
full-open,0.05,0.6,witt_context_style,3,0.41592261904761907,0.007261615065455051,0.008217291009072154,0.0061544942389860245,0.0055052852554660185,0.0062298167314496075,0.41852678571428575,0.009135438361464783,0.010337721682427576,0.9938455057610139,0.005505285255466012,0.0062298167314496005,375.0,8.18535277187245,9.262598627455114,0.6440848214285714,0.011876069869904178,0.013439038187155803,0.6457675341964147,0.00205744170701215,0.0023282144658354387,0.0,0.0,0.0,0.5814732142857143,0.009135438361464758,0.010337721682427548,0.9836309523809524,0.007175335387643554,0.008119656362460434
full-open,0.05,0.6,dino_detector,3,0.3999255952380952,0.015875437718267774,0.017964748950684273,0.01331156279883619,0.01825422544774495,0.020656600673163182,0.4055059523809524,0.020710067946007108,0.023435648074982784,0.9866884372011638,0.018254225447744955,0.020656600673163186,363.3333333333333,18.556220879622373,20.99834067518458,0.46495535714285713,0.018639061151406414,0.02109208326748452,0.8601924565242781,0.01146778860585184,0.012977024443652636,0.0,0.0,0.0,0.5944940476190476,0.020710067946007136,0.023435648074982815,0.9728422619047619,0.001704827267468642,0.001929193664317876
full-open,0.05,0.6,deepjscc_pca,3,0.04575892857142857,0.04323966657993419,0.04893028895360555,0.0,0.0,0.0,0.04575892857142857,0.04323966657993419,0.04893028895360555,0.6666666666666666,0.5773502691896257,0.6533333333333333,41.0,38.742741255621034,43.84153890243058,0.12745535714285713,0.025943799947960516,0.029358173372163333,0.3198339256183808,0.29040404871413444,0.32862311716977094,0.0,0.0,0.0,0.9542410714285715,0.04323966657993419,0.04893028895360555,0.9308035714285715,0.007812500000000031,0.00884067599696618
full-open,0.05,1.0,opensemcom_progressive,3,0.4233630952380952,0.0023232879458327557,0.0026290478050258466,0.024566441638695608,0.018193761063409974,0.0205881787811617,0.43415178571428575,0.010228963604812137,0.011575161985907577,0.9754335583613044,0.018193761063409954,0.020588178781161683,389.0,9.16515138991168,10.371345139373195,0.5803571428571428,0.06945614781449024,0.07859703024963793,0.7366736769418908,0.09008026153802254,0.10193541196539245,0.08407738095238095,0.06529097348925937,0.07388369179456618,0.5658482142857143,0.010228963604812132,0.011575161985907571,0.9732142857142856,0.0033482142857143016,0.0037888611415569373
full-open,0.05,1.0,ensemble_detector,3,0.41592261904761907,0.007261615065455051,0.008217291009072154,0.0061544942389860245,0.0055052852554660185,0.0062298167314496075,0.41852678571428575,0.009135438361464783,0.010337721682427576,0.9938455057610139,0.005505285255466012,0.0062298167314496005,375.0,8.18535277187245,9.262598627455114,0.5603794642857142,0.010048982197611222,0.011371493850670288,0.7422226872832617,0.0022390890387543436,0.002533767772158147,0.0,0.0,0.0,0.5814732142857143,0.009135438361464758,0.010337721682427548,0.9847470238095237,0.007175335387643554,0.008119656362460434
full-open,0.05,1.0,fixed_refine_all,3,0.41592261904761907,0.007261615065455051,0.008217291009072154,0.0061544942389860245,0.0055052852554660185,0.0062298167314496075,0.41852678571428575,0.009135438361464783,0.010337721682427576,0.9938455057610139,0.005505285255466012,0.0062298167314496005,375.0,8.18535277187245,9.262598627455114,0.7277901785714286,0.013703157542197192,0.015506582523641383,0.5714988578648739,0.001922472251556817,0.002175482149013992,0.0,0.0,0.0,0.5814732142857143,0.009135438361464758,0.010337721682427548,0.9836309523809524,0.007175335387643554,0.008119656362460434
full-open,0.05,1.0,witt_context_style,3,0.41592261904761907,0.007261615065455051,0.008217291009072154,0.0061544942389860245,0.0055052852554660185,0.0062298167314496075,0.41852678571428575,0.009135438361464783,0.010337721682427576,0.9938455057610139,0.005505285255466012,0.0062298167314496005,375.0,8.18535277187245,9.262598627455114,0.6440848214285714,0.011876069869904178,0.013439038187155803,0.6457675341964147,0.00205744170701215,0.0023282144658354387,0.0,0.0,0.0,0.5814732142857143,0.009135438361464758,0.010337721682427548,0.9836309523809524,0.007175335387643554,0.008119656362460434
