accepted_known_accuracy_mean,accepted_known_accuracy_std,accepted_mean,accepted_open_outage_mean,accepted_open_outage_std,accepted_std,auroc_mean,auroc_std,backbone,calibration_settings_used,coverage_mean,coverage_std,detector_control,fpr95_mean,fpr95_std,goodput_per_resource_proxy_mean,goodput_per_resource_proxy_std,method,refine_rate_mean,refine_rate_std,reject_rate_mean,reject_rate_std,requested_openout,resource_units_proxy_mean,resource_units_proxy_std,seeds,semantic_goodput_mean,semantic_goodput_std,severity
0.9799890000255814,0.02436726561016414,391.6666666666667,0.020010999974418662,0.024367265610164134,10.016652800877813,0.996980455186632,0.0031225278025080257,dino+siglip2+openclip,openout<=0.02;openout<=0.05;openout<=0.10,0.6119791666666666,0.01565102000137157,learned_selective_risk+semantic_harq_refine,0.001736111111111111,0.0015035163260146505,0.6363590533601365,0.2578560319348704,opensemcom,0.2552083333333333,0.21997610251362154,0.1328125,0.2300379978802415,openout<=0.05,661.5000000000001,216.89944674894863,3,0.5994791666666667,0.0009021097956088031,mild
0.986251880523473,0.006430104940765168,387.3333333333333,0.013748119476526969,0.006430104940765175,2.0816659994661326,0.9999864366319445,1.553879019828637e-05,DINOv3,openout<=0.05,0.6052083333333332,0.0032526031241658163,one_vs_rest,0.0,0.0,0.48256743363312055,0.0013091658712734407,dino_one_vs_rest,0.3947916666666667,0.0032526031241658254,0.0,0.0,openout<=0.05,791.6,1.2489995996796632,3,0.5968749999999999,0.001562499999999967,mild
0.9837735411373115,0.003830797772510543,390.0,0.01622645886268861,0.003830797772510504,2.0,0.9992201063368055,0.0007635043843043155,OpenCLIP-DFN5B,openout<=0.05,0.609375,0.0031250000000000444,best_ood:one_vs_rest,0.0008680555555555555,0.0015035163260146505,0.4856553960807264,0.0014178719899500456,openclip_best_ood,0.390625,0.003124999999999989,0.0,0.0,openout<=0.05,790.0,1.2000000000000455,3,0.5994791666666667,0.0009021097956088031,mild
0.9744048790084596,0.006755550344295714,390.6666666666667,0.025595120991540432,0.006755550344295719,0.5773502691896258,0.999881320529514,7.635043843043228e-05,SigLIP2,openout<=0.05;openout<=0.10,0.6104166666666666,0.000902109795608803,best_ood:one_vs_rest,0.0,0.0,0.48210059661827226,0.0031707068667800532,siglip2_best_ood,0.38958333333333334,0.0009021097956088031,0.0,0.0,openout<=0.05,789.6,0.34641016151372295,3,0.5947916666666667,0.003932205435036853,mild
0.9813398533468211,0.013805058290229441,389.3333333333333,0.018660146653178857,0.013805058290229433,7.637626158259733,0.9991997612847223,0.0007228460816715724,dino+siglip2+openclip,openout<=0.05;openout<=0.10,0.6083333333333334,0.011933790872280834,learned_risk_head_only,0.0026041666666666665,0.0026041666666666665,0.7728141062399713,0.2475586819664763,opensemcom_risk_head,0.13072916666666665,0.21695881245545967,0.2609375,0.22614185087849176,openout<=0.05,539.9,213.5398089350087,3,0.5968749999999999,0.004133986423538419,mild
0.9765077415546003,0.019124477335500142,393.0,0.023492258445399716,0.019124477335500142,7.937253933193772,0.9995524088541666,0.0004581026305825888,dino+siglip2+openclip,openout<=0.05;openout<=0.10,0.6140625000000001,0.012401959270615276,mixed_open_calibration,0.0008680555555555555,0.0015035163260146505,0.48677594469351965,0.003266607620187478,opensemcom_calibrated,0.3859375,0.012401959270615267,0.0,0.0,openout<=0.05,788.1999999999999,4.762352359916272,3,0.5994791666666667,0.0009021097956088031,mild
0.9799890000255814,0.02436726561016414,391.6666666666667,0.020010999974418662,0.024367265610164134,10.016652800877813,0.9969770643446182,0.0031222129575031086,dino+siglip2+openclip,openout<=0.02;openout<=0.05;openout<=0.10,0.6119791666666666,0.01565102000137157,semantic_harq_refine,0.001736111111111111,0.0015035163260146505,0.6363590533601365,0.2578560319348704,opensemcom_harq_refine,0.2552083333333333,0.21997610251362154,0.1328125,0.2300379978802415,openout<=0.05,661.5000000000001,216.89944674894863,3,0.5994791666666667,0.0009021097956088031,mild
0.9774100106379618,0.023448137998605706,391.3333333333333,0.02258998936203822,0.023448137998605692,10.408329997330663,0.9966235690646701,0.0009642940793212487,dino+siglip2+openclip,openout<=0.02;openout<=0.05,0.4367559523809524,0.011616439729163671,learned_selective_risk+semantic_harq_refine,0.0008680555555555555,0.0015035163260146505,0.6845613002292649,0.31466666400542176,opensemcom,0.18563988095238096,0.3157561808535764,0.3776041666666667,0.3270152770389776,openout<=0.05,691.3000000000001,433.4515543864159,3,0.42671130952380953,0.0023232879458327336,medium
0.9744985720852329,0.006490707157915252,391.3333333333333,0.02550142791476714,0.006490707157915212,4.725815626252609,0.999845716688368,0.0001336374674407293,DINOv3,openout<=0.01;openout<=0.05,0.4367559523809524,0.005274347797156926,one_vs_rest,0.0,0.0,0.5001183981428189,0.31284808679711174,dino_one_vs_rest,0.3742559523809524,0.32218400294690214,0.18898809523809523,0.32733698297804675,openout<=0.05,944.8000000000001,437.1700355696854,3,0.4255952380952381,0.002323287945832725,medium
0.9616233677409851,0.009202835995250484,399.0,0.038376632259014914,0.009202835995250508,3.4641016151377544,0.9996863471137153,0.000345129588157652,OpenCLIP-DFN5B,openout<=0.05,0.4453125,0.0038661848383233733,best_ood:one_vs_rest,0.0008680555555555555,0.0015035163260146505,0.32127541959366385,0.0005255649235057063,openclip_best_ood,0.5546875,0.003866184838323405,0.0,0.0,openout<=0.05,1194.2,2.0784609690826,3,0.4281994047619047,0.0006443641397205461,medium
